<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20210304,37.9,38.9,37.5,38.25,90953,38046
21STCENMGM,20210304,12.05,12.1,11.75,11.9,656,588
3IINFOTECH,20210304,6.95,7.25,6.75,7.15,10948125,6848271
3MINDIA,20210304,25700,26532.65,25320.9,26190.9,5399,2302
3PLAND,20210304,9.65,9.85,9.25,9.65,7994,4833
5PAISA,20210304,267,272.45,265.05,268.5,22795,9142
63MOONS,20210304,80.4,85.9,79.7,83.15,180147,104479
A2ZINFRA,20210304,4.2,4.3,4.15,4.25,418060,267187
AAKASH,20210304,125.5,127.9,125.5,126.75,11018,0
AARON,20210304,61.95,61.95,57.5,59.25,7232,4317
AARTIDRUGS,20210304,684,705,681.2,691.35,763446,236158
AARTIIND,20210304,1285,1335,1280.25,1291.95,490759,171518
AARTISURF,20210304,982.3,1019.4,976.7,1019.4,61470,34654
AARVEEDEN,20210304,18.2,18.2,17.65,17.9,12369,11140
AARVI,20210304,52.8,62.5,52.8,57.6,158497,102209
AAVAS,20210304,2285,2339.5,2271.05,2310.6,23286,9492
ABAN,20210304,37.55,38.5,36.55,37.2,391630,237382
ABB,20210304,1522,1546.9,1506,1512.8,201501,152427
ABBOTINDIA,20210304,14613.9,14855,14590,14689.35,11316,6379
ABCAPITAL,20210304,127.9,134.9,126.35,130.65,3935421,1873350
ABFRL,20210304,205,219.9,204.6,217.85,5372710,1752176
ABMINTLTD,20210304,83.95,84.1,76.1,76.1,11326,7581
ABSLBANETF,20210304,359.95,361.73,353.6,360.29,426,34
ABSLNN50ET,20210304,364,380,346.1,355.9,829,46
ACC,20210304,1774.2,1863.9,1765.25,1853.7,1152626,313888
ACCELYA,20210304,909.6,918.75,903.05,913.5,2885,1526
ACCURACY,20210304,60.05,63,59.5,59.6,20801,16789
ACE,20210304,154.5,157.85,154.5,155.65,151288,71802
ACRYSIL,20210304,331,347.45,322.5,339.2,115569,61918
ADANIENT,20210304,910,938.7,905.4,918.4,8141787,986940
ADANIGREEN,20210304,1176,1198,1165,1184.65,641914,362639
ADANIPORTS,20210304,733.25,765.7,715.85,752.45,30607959,2462900
ADANIPOWER,20210304,63.7,71.35,63.2,71.35,29096275,12685044
ADANITRANS,20210304,823.9,854.95,805.4,834.25,893475,493297
ADFFOODS,20210304,879.75,906.95,867.4,881.9,33923,9929
ADHUNIKIND,20210304,21.95,21.95,20.5,21.3,16912,10188
ADL,20210304,30,32.75,29.75,32.6,12183,0
ADORWELD,20210304,314.5,325.6,306,307.7,83684,51565
ADROITINFO,20210304,10,10,10,10,3636,3636
ADSL,20210304,40.5,40.9,39.55,40.05,73638,57591
ADVANIHOTR,20210304,54,57.8,50.3,57.2,110796,78606
ADVENZYMES,20210304,361,364.85,355.35,357.3,120581,58798
AEGISCHEM,20210304,320,341,320,333.35,561255,208891
AFFLE,20210304,5695,6004.05,5621,6004.05,137382,73937
AFL-RE,20210304,41.05,41.05,26.05,40.05,214715,0
AGARIND,20210304,149.05,154,149.05,151.7,5344,0
AGCNET,20210304,997.1,1004.95,995,1002.45,3033,2699
AGRITECH,20210304,37.1,37.1,34.05,35,7055,4193
AGROPHOS,20210304,12.95,13,12.7,12.8,24424,19887
AHLADA,20210304,101.1,101.1,101.1,101.1,5755,5755
AHLEAST,20210304,160,162.05,157.5,158,10308,8587
AHLUCONT,20210304,287,296.55,286.85,291.4,188202,179402
AHLWEST,20210304,237.2,244.15,234,239.35,5516,3001
AIAENG,20210304,1850,1970,1846.35,1898.9,317142,133932
AIRAN,20210304,18.2,18.2,17.7,17.8,75368,61470
AJANTPHARM,20210304,1724,1760,1718.6,1742.4,79062,36517
AJMERA,20210304,134.85,136.8,132.35,133.45,89825,32848
AKASH,20210304,231.5,231.5,226.5,227.9,27434,948
AKG,20210304,96.25,97,96,96.85,157065,51796
AKSHARCHEM,20210304,252.65,263,239,252.45,32381,13811
AKSHOPTFBR,20210304,6.8,7,6.75,6.85,266729,181175
AKZOINDIA,20210304,2284,2284,2237.45,2258.4,26503,14571
ALANKIT,20210304,16.5,17.55,15.95,17.25,476835,294755
ALBERTDAVD,20210304,406,409.8,402.05,404.3,8947,6039
ALEMBICLTD,20210304,101.9,104.8,101.3,101.75,449454,167728
ALICON,20210304,473,479,454.7,473.45,9074,4884
ALKALI,20210304,51.95,53.25,51,52.15,15129,11086
ALKEM,20210304,2844.85,2858.7,2805.15,2829.65,115653,55288
ALKYLAMINE,20210304,5160,5234.7,5127,5151.15,21997,7785
ALLCARGO,20210304,136.3,139.9,134.15,134.85,1533999,563739
ALLSEC,20210304,330.1,343.3,330.1,337.35,9050,5734
ALMONDZ,20210304,29.35,29.65,27.5,29.3,22982,14305
ALOKINDS,20210304,21.7,22.7,21.3,21.95,20160340,6847730
ALPA,20210304,39.5,41.45,39.5,40.6,36818,23761
ALPHAGEO,20210304,219.95,223,212.5,214.6,21061,16361
ALPSINDUS,20210304,1.85,1.85,1.75,1.75,20170,0
AMARAJABAT,20210304,914.2,929.7,906.6,919,1391787,477492
AMBER,20210304,3280,3509.1,3270.45,3478.6,248747,87841
AMBIKCO,20210304,980,999.95,978.7,993.6,15880,9779
AMBUJACEM,20210304,281.5,294.3,278.75,292,10478749,3650458
AMDIND,20210304,24,25.55,23.25,24.75,112495,54974
AMJLAND,20210304,26.8,27,25.4,25.65,33562,21063
AMRUTANJAN,20210304,565,571.95,561,562.75,41172,16015
ANANTRAJ,20210304,56.8,56.8,54.5,56.8,1080454,677808
ANDHRACEMT,20210304,5.65,5.9,5.55,5.85,361955,223091
ANDHRAPAP,20210304,256,264,256,259.15,107527,77519
ANDHRSUGAR,20210304,315,334.5,315,332.05,271428,97882
ANGELBRKG,20210304,330,346.35,328,335.95,303488,103224
ANIKINDS,20210304,16.5,17.25,16.3,17,11748,8147
ANKITMETAL,20210304,1.3,1.3,1.3,1.3,7108,7108
ANSALAPI,20210304,8.15,8.85,8.15,8.85,197267,158988
ANSALHSG,20210304,6.25,6.3,6.1,6.2,78067,44610
ANUP,20210304,646,653.9,638.25,649.1,40297,29505
APARINDS,20210304,458,464,448.6,451.05,79629,59496
APCL,20210304,220,238.7,218.2,232.55,465673,182737
APCOTEXIND,20210304,182.4,191.25,181.1,185.05,211759,74223
APEX,20210304,248.85,254.95,246.9,250.75,244639,200038
APLAPOLLO,20210304,1215,1320,1210,1313.85,803885,600712
APLLTD,20210304,927,936,916.8,922.7,468509,287030
APOLLO,20210304,113.95,116.95,113.2,114.85,147118,64769
APOLLOHOSP,20210304,3058,3081.3,3017,3042.1,687383,260737
APOLLOPIPE,20210304,725.15,747,725.15,740.45,31691,18502
APOLLOTYRE,20210304,243,261.25,242.7,259.05,12623097,2642598
APOLSINHOT,20210304,559.95,561.6,552.25,561,1201,1112
APTECHT,20210304,223.7,230.95,220,221.45,552904,182745
ARCHIDPLY,20210304,37.2,38.3,35.4,37.9,39234,0
ARCHIES,20210304,12.25,12.5,12.1,12.4,36061,27703
ARENTERP,20210304,11.05,11.5,11.05,11.1,4085,3963
ARIES,20210304,93.35,97.2,93.35,94.85,57789,30694
ARIHANT,20210304,22.4,22.55,21.2,21.65,4950,4490
ARIHANTSUP,20210304,38.95,39,37,37.5,26028,14406
ARMANFIN,20210304,609.95,630,602.4,610.45,21283,11598
AROGRANITE,20210304,49.4,52,49.4,50.2,64568,28179
ARROWGREEN,20210304,77.1,78.85,74.2,75.8,13687,0
ARSHIYA,20210304,41.65,41.65,38.15,40.05,167046,0
ARSSINFRA,20210304,24.5,24.5,23.5,23.7,21251,12297
ARTEMISMED,20210304,243,243,229,231.45,8211,7194
ARVIND,20210304,75.9,80.15,75.6,77.6,2103276,822408
ARVINDFASN,20210304,160.3,173.3,160.3,168.65,600110,323008
ARVSMART,20210304,104,108.35,103.9,104.25,181134,79120
ASAHIINDIA,20210304,317,328,314.95,320,145136,64910
ASAHISONG,20210304,281.8,284.85,276.4,278.5,30266,22841
ASAL,20210304,38,39.5,37.75,39.05,7728,0
ASALCBR,20210304,356,362.55,352.95,357.5,28106,17742
ASHAPURMIN,20210304,119.75,128.5,118.1,127.4,453358,232772
ASHIANA,20210304,117.5,119.85,114.1,115.35,93858,30729
ASHIMASYN,20210304,15.1,15.95,14.3,14.85,330296,233353
ASHOKA,20210304,110.25,118.4,110.25,116.25,2203348,706993
ASHOKLEY,20210304,129.4,132.4,128.3,130.95,19603450,5278650
ASIANHOTNR,20210304,72.05,76.95,72,74.2,30595,14030
ASIANPAINT,20210304,2380,2435,2350,2417.1,2149984,1052551
ASIANTILES,20210304,184,189,180.2,182.1,754401,358907
ASPINWALL,20210304,165.55,180,165.5,177.25,14417,9245
ASTEC,20210304,1078,1078,1050,1073.8,21181,13578
ASTERDM,20210304,143.1,145.55,142.1,142.35,271126,186084
ASTRAL,20210304,2207.25,2224.9,2186.5,2215.35,101769,57937
ASTRAMICRO,20210304,132,145,130.65,142.6,3058319,1448769
ASTRAZEN,20210304,3488,3540.05,3445,3498.85,17081,6624
ASTRON,20210304,44.1,45.15,44.05,44.35,41746,29337
ATFL,20210304,820.4,824.9,800.1,817.15,9098,5550
ATGL,20210304,645,701.7,630,688.75,4035492,1321940
ATLANTA,20210304,8.55,8.6,8.15,8.45,48513,37280
ATUL,20210304,6630,6730,6518.15,6674.25,22480,8259
ATULAUTO,20210304,202.05,207.95,202.05,205.15,119062,59708
AUBANK,20210304,1187.65,1290,1176.8,1268,2247523,636622
AURIONPRO,20210304,83.25,83.4,81.2,82.55,10027,6758
AUROPHARMA,20210304,874.9,884.8,868.55,874.9,1523420,678303
AUSOMENT,20210304,51.95,52.45,51.5,52.3,3095,2939
AUTOAXLES,20210304,1212,1233.25,1202.1,1224.35,9567,7054
AUTOIND,20210304,34.8,34.8,33,33.85,24534,16045
AVADHSUGAR,20210304,205.9,217.7,203.85,212.95,336162,141026
AVANTIFEED,20210304,486,501,485.35,492.4,237436,94330
AVTNPL,20210304,47.65,49.25,45.9,47.05,399590,192836
AWHCL,20210304,302.5,302.5,299.05,300.2,65941,27711
AXISBANK,20210304,731.1,751.45,731.1,736.8,16896947,6062735
AXISBNKETF,20210304,362.9,362.9,354.58,357.13,1549,1404
AXISCADES,20210304,47.75,48.25,45,47.3,60771,39362
AXISGOLD,20210304,39.4,39.49,39.04,39.1,357848,274601
AXISNIFTY,20210304,156.78,158.3,155.56,157.76,2635,1753
AYMSYNTEX,20210304,48.95,51.35,48.95,51.35,19316,17414
BAFNAPH,20210304,123.35,126.9,120,122.2,4092,2368
BAGFILMS,20210304,2.75,2.8,2.65,2.65,56908,42710
BAJAJ-AUTO,20210304,3875,3927.6,3841,3879.05,611769,182593
BAJAJCON,20210304,247,250,242.6,243.4,514329,319136
BAJAJELEC,20210304,1040,1099.8,1040,1060.5,496213,117782
BAJAJFINSV,20210304,10150,10280,10077.75,10129.95,412117,79987
BAJAJHIND,20210304,7.7,8.2,7.4,7.8,43043896,16161321
BAJAJHLDNG,20210304,3620,3676.6,3611.25,3639.55,24759,16405
BAJFINANCE,20210304,5430,5567.15,5401,5485.9,2234698,575347
BALAJITELE,20210304,60.25,61.8,59.8,60.45,187617,87544
BALAMINES,20210304,1824.65,1877.35,1741,1759.25,251755,102233
BALAXI,20210304,642.95,642.95,610.05,623.05,18323,2257
BALKRISHNA,20210304,19.3,21.3,19.3,21.3,7462,0
BALKRISIND,20210304,1628.05,1643.45,1600,1636.15,595935,226802
BALMLAWRIE,20210304,127,152.4,126,144.5,15609891,2664520
BALPHARMA,20210304,53.3,54.55,53,53.45,17565,13960
BALRAMCHIN,20210304,190,213.35,187.6,209.05,7812256,2836227
BANARBEADS,20210304,54.45,56,51.65,54.55,6204,4907
BANARISUG,20210304,1855.85,1880,1790,1812.55,4461,2488
BANCOINDIA,20210304,153.05,157,153,154.55,83477,35010
BANDHANBNK,20210304,350,362.65,346,357.4,12043621,2903179
BANG,20210304,31.25,31.25,28.75,30.85,8814,4789
BANKA,20210304,75.8,75.9,71.8,72.5,6325,5424
BANKBARODA,20210304,85,87.8,84.15,85.8,62171034,13291882
BANKBEES,20210304,358.4,365.5,357,360.6,894776,277087
BANKINDIA,20210304,80.05,81.85,79.5,79.7,4502499,1515661
BANSWRAS,20210304,120.05,122.5,117.05,119.1,10953,9288
BASF,20210304,2198.95,2318.8,2165.05,2248,126352,39877
BASML,20210304,67.1,69.25,66,66.85,79022,52637
BATAINDIA,20210304,1514.95,1534,1501,1523.9,359713,116690
BAYERCROP,20210304,5140,5225,5132.65,5185.4,21564,13764
BBL,20210304,1128,1142,1121,1136.9,6388,2697
BBTC,20210304,1195.25,1262,1195.25,1242.85,161974,52076
BCG,20210304,8.75,9.5,8.7,9.5,7894045,4527660
BCLIND,20210304,126.95,148,125.8,128.3,831565,380123
BCP,20210304,4.65,4.8,4.45,4.45,3348506,1773127
BDL,20210304,374.8,379.7,371.75,376.55,358805,140193
BEARDSELL,20210304,9.95,10.4,9.8,10,4160,3630
BECTORFOOD,20210304,394.05,400,393,395.9,354768,151648
BEDMUTHA,20210304,22.7,23.7,22.65,22.85,49293,13537
BEL,20210304,151.5,154.95,150.05,152.8,10111300,2604637
BEML,20210304,1167,1236,1150,1195.15,595932,95346
BEPL,20210304,140.05,145,139.5,141.95,589630,231266
BERGEPAINT,20210304,729.9,739.95,720.6,730.8,1062909,328139
BESTAGRO,20210304,413.95,414.85,402.55,414.8,1123,773
BFINVEST,20210304,316,330,310.1,325.25,68760,34345
BFUTILITIE,20210304,293.95,305.4,291.3,297.2,427876,90413
BGRENERGY,20210304,46.4,48.5,46.3,46.9,216693,75315
BHAGERIA,20210304,169.1,171,166.95,168.3,48823,18294
BHAGYANGR,20210304,46.15,47.1,46.15,46.15,26922,25489
BHAGYAPROP,20210304,28.55,28.75,28.4,28.5,30344,28401
BHANDARI,20210304,2.7,2.8,2.7,2.8,133561,0
BHARATFORG,20210304,632,648.8,615,641.5,3679029,756452
BHARATGEAR,20210304,79.85,82.5,76,81.05,44742,28306
BHARATRAS,20210304,10250,10250,10065,10074.9,2542,1258
BHARATWIRE,20210304,42.8,43.05,41.5,42.1,11734,0
BHARTIARTL,20210304,540,546,538,539.6,17352483,8188706
BHEL,20210304,50.35,56.1,49.9,54.25,213396105,32616597
BIGBLOC,20210304,156.05,157,140.1,154.05,100769,40989
BIL,20210304,151.85,152.85,150.35,151.2,5701,4197
BINDALAGRO,20210304,18.9,19.4,18.45,18.6,104765,63851
BIOCON,20210304,399,407.1,398.3,399.75,1939204,638260
BIOFILCHEM,20210304,99.8,99.8,94.7,94.7,265112,187595
BIRLACABLE,20210304,63.15,63.15,61.1,62.4,47108,28537
BIRLACORPN,20210304,852,882.3,843.05,878.25,318763,128628
BIRLAMONEY,20210304,45.55,47.15,45.15,45.85,251531,117892
BIRLATYRE,20210304,28.75,28.95,28.5,28.9,347093,222641
BKMINDST,20210304,1.15,1.15,1.1,1.15,126426,87553
BLBLIMITED,20210304,6.65,7.35,6.15,7.3,236215,179773
