<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20210215,37.9,38.5,36.9,37.1,256441,189365
21STCENMGM,20210215,12.45,12.45,12.45,12.45,4463,3463
3IINFOTECH,20210215,7.2,7.2,6.7,7.1,21048081,9027594
3MINDIA,20210215,20939,21115.55,20695.4,21010.05,5794,3658
3PLAND,20210215,10.4,10.4,9.05,9.7,13687,5811
5PAISA,20210215,255,258,250.95,252.05,27652,19568
63MOONS,20210215,83.7,83.7,79.2,79.8,61268,38619
A2ZINFRA,20210215,4.45,4.5,4.1,4.3,339082,216550
AAKASH,20210215,112.2,113.5,110.5,112.9,12594,0
AARON,20210215,59.3,59.3,53.35,53.8,19528,10282
AARTIDRUGS,20210215,659,662.4,642,644.45,279871,140577
AARTIIND,20210215,1220.05,1235,1209.85,1215.95,263350,189782
AARTISURF,20210215,903,928.85,875.05,888.9,17350,9833
AARVEEDEN,20210215,19.65,19.65,18.25,18.6,13871,8045
AARVI,20210215,50,50,44.7,46.45,8598,6569
AAVAS,20210215,2339.95,2356.25,2212.3,2228.55,80727,41779
ABAN,20210215,29,31.8,29,31.25,746968,356759
ABB,20210215,1475,1503.75,1465,1474.15,139523,52739
ABBOTINDIA,20210215,14469.1,14599,14400,14448.95,13660,9384
ABCAPITAL,20210215,89.95,95,89.6,94.1,13155903,4145713
ABFRL,20210215,166.9,169.95,166.05,166.9,1388376,618496
ABMINTLTD,20210215,44.85,44.85,43.15,44.85,2114,1797
ABSLBANETF,20210215,355,373.3,355,370.71,374,179
ABSLNN50ET,20210215,333.68,370,333.68,349.05,480,50
ACC,20210215,1785,1798,1766.65,1788.05,911884,103248
ACCELYA,20210215,910,923.65,902,913.15,3552,1723
ACCURACY,20210215,56.5,56.5,53.85,54.2,30995,27441
ACE,20210215,165.3,166.3,161.1,161.4,232066,120776
ACRYSIL,20210215,279.1,279.1,274.05,279.1,83928,57457
ADANIENT,20210215,725,787.95,707.65,763.45,21579566,1172107
ADANIGREEN,20210215,1068,1079.95,1037,1062.85,4525422,2660403
ADANIPORTS,20210215,617.95,639.9,610.8,627.75,15146033,2272380
ADANIPOWER,20210215,57.55,59.1,56.1,56.9,27142746,9497358
ADANITRANS,20210215,629.1,706,629.1,682.85,5279347,979116
ADFFOODS,20210215,809.8,822,790.25,809.6,96161,39525
ADHUNIKIND,20210215,21.7,21.7,21.15,21.45,15518,8277
ADL,20210215,28.1,28.1,26.7,27.25,5052,0
ADORWELD,20210215,304.6,305.9,295.05,296.9,28523,18467
ADROITINFO,20210215,8.15,8.85,8.15,8.25,15122,14037
ADSL,20210215,39.5,40.7,38.75,39.25,107851,67638
ADVANIHOTR,20210215,53.4,53.4,49.7,51.3,24019,15728
ADVENZYMES,20210215,379.3,379.65,357.55,360.05,283705,156487
AEGISCHEM,20210215,297.4,304,292.25,297.3,120801,56238
AFFLE,20210215,5614.5,5614.5,5079.8,5151.45,589570,285200
AGARIND,20210215,150,150.45,150,150.45,7094,0
AGCNET,20210215,901.95,921,879.75,916.65,6346,4973
AGRITECH,20210215,35.3,37.35,34.6,34.7,8302,4930
AGROPHOS,20210215,13.15,14.1,12.5,13.2,31735,22878
AHLADA,20210215,74.95,75,72.1,74.35,13047,11873
AHLEAST,20210215,166.8,166.8,154.55,163.35,1204,703
AHLUCONT,20210215,309,312,304.9,307.4,174076,113619
AHLWEST,20210215,240.1,257.95,240.1,252,4470,850
AIAENG,20210215,1977.5,2000,1950.5,1970.3,40081,25733
AIRAN,20210215,19.45,19.5,18.6,18.7,112756,89835
AJANTPHARM,20210215,1810.4,1819,1790,1807.9,59380,34723
AJMERA,20210215,128.15,144.8,127,132.45,74006,39291
AKASH,20210215,210,233,210,218.95,113254,56107
AKSHARCHEM,20210215,282,285.7,261.05,265.15,96568,58094
AKSHOPTFBR,20210215,6.9,6.95,6.7,6.8,154852,98076
AKZOINDIA,20210215,2200,2245.95,2181,2192.65,14219,7135
ALANKIT,20210215,17.8,17.8,16,16.1,247779,170691
ALBERTDAVD,20210215,415,419.95,410,411.1,18011,13800
ALEMBICLTD,20210215,102.15,102.7,100.5,100.9,192561,99681
ALICON,20210215,423.9,438,406.65,407.95,5799,2497
ALKALI,20210215,53.75,55.9,52.2,52.75,16598,10850
ALKEM,20210215,2869.25,2915.45,2858,2885.95,163974,132544
ALKYLAMINE,20210215,5384,5384,5201,5224.55,24936,12357
ALLCARGO,20210215,130.3,131.5,128,128.35,478458,337645
ALLSEC,20210215,377,386.6,355.15,362.55,35221,15437
ALMONDZ,20210215,22.9,23.75,21.5,23.1,18571,13177
ALOKINDS,20210215,20.9,21.15,20.5,20.55,7249180,4437877
ALPA,20210215,40,40.8,38.65,39.2,110631,77086
ALPHAGEO,20210215,212.05,217.75,209.5,209.9,18136,12140
ALPSINDUS,20210215,2.3,2.3,2.1,2.1,31817,0
AMARAJABAT,20210215,957,957,914,928.4,4314026,908980
AMBER,20210215,3225,3264.9,3111,3232.6,164835,45302
AMBIKCO,20210215,960,1019,940.55,948.15,24022,13305
AMBUJACEM,20210215,281,285.9,279,283.4,7339663,1907092
