<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20210226,36.9,37.15,36.3,36.45,101364,71361
21STCENMGM,20210226,11.95,12.1,11.7,11.75,559,558
3IINFOTECH,20210226,6.1,6.25,6,6.15,8550234,5328046
3MINDIA,20210226,21872,23223.75,21872,22832.75,12004,7583
3PLAND,20210226,10,10,9.1,9.2,7126,5966
5PAISA,20210226,260,264,254.15,261,27918,10364
63MOONS,20210226,81.5,82.6,79.7,80.8,90211,57745
A2ZINFRA,20210226,4.3,4.3,4.15,4.2,221036,161291
AAKASH,20210226,125.75,125.75,123,125.5,9216,0
AARON,20210226,61.2,62.6,58,60.6,2828,2017
AARTIDRUGS,20210226,631.95,644.6,628,630.9,256470,91634
AARTIIND,20210226,1228,1239,1212.65,1235,255356,148805
AARTISURF,20210226,934.8,934.8,909.1,918.5,11169,7369
AARVEEDEN,20210226,17.25,18.3,17.25,17.95,17995,14209
AARVI,20210226,53.45,54.7,51.9,53.45,11014,7695
AAVAS,20210226,2245.05,2274.5,2165.95,2255.55,54426,32830
ABAN,20210226,41,42.5,40.35,40.35,1098131,644201
ABB,20210226,1521,1564,1500,1528.15,139972,32263
ABBOTINDIA,20210226,14352.55,14484.1,14228,14389.45,11859,5677
ABCAPITAL,20210226,117.5,125.45,114.95,123.65,13262514,2976035
ABFRL,20210226,177.5,185,176.25,183.6,4766228,2052246
ABMINTLTD,20210226,69.3,69.3,69.3,69.3,4935,4785
ABSLBANETF,20210226,359.95,361.2,344.42,345.59,1874,1140
ABSLNN50ET,20210226,369.17,369.17,350,352,90,85
ACC,20210226,1780,1847,1712,1733.2,2973895,511328
ACCELYA,20210226,903.1,905,890,893.75,2887,1722
ACCURACY,20210226,63.35,69.3,62.85,65,28300,12916
ACE,20210226,150.6,160,150.6,156.35,298484,148464
ACRYSIL,20210226,303,317.15,303,307.1,236369,128785
ADANIENT,20210226,833.9,861,819.85,833.65,11355426,1083310
ADANIGREEN,20210226,1125,1184.95,1101.55,1159.85,6662742,4198961
ADANIPORTS,20210226,697.1,703.45,668,675.9,19909990,3346842
ADANIPOWER,20210226,55.9,56.25,55.05,55.2,5637928,2785932
ADANITRANS,20210226,734,769.85,721,750,825368,346000
ADFFOODS,20210226,851,851,815.2,823.9,34229,18952
ADHUNIKIND,20210226,22.5,22.5,20.25,21.15,19092,11678
ADL,20210226,27.7,30.25,27.7,30.2,23622,0
