<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20210114,39,40.8,37.9,39.85,374980,156697
21STCENMGM,20210114,10.6,10.8,10.4,10.75,3428,2747
3IINFOTECH,20210114,8.15,8.15,8.15,8.15,3617241,3611720
3MINDIA,20210114,21489,21489,21000,21100.2,3041,1944
3PLAND,20210114,10.2,10.65,9.7,10.4,7118,5193
5PAISA,20210114,359.5,369.7,326,328.1,219497,112536
63MOONS,20210114,78,80.85,78,80.35,18328,0
8KMILES,20210114,83.5,83.5,80.5,80.75,12454,0
A2ZINFRA,20210114,5.25,5.55,5.05,5.1,1127602,760555
AAKASH,20210114,84.2,84.2,82,83.75,60764,19773
AARON,20210114,52.85,53.8,50.4,50.6,9017,5015
AARTIDRUGS,20210114,708.4,726.75,708,716.75,337959,108954
AARTIIND,20210114,1280.4,1287.45,1254.3,1265.15,276643,144194
AARTISURF,20210114,980.05,1008,967,970.15,16526,11857
AARVEEDEN,20210114,18.4,18.65,17.4,18.65,42471,0
AARVI,20210114,49.35,49.35,46.5,47.45,7238,5645
AAVAS,20210114,1980,1980,1911,1927.65,71011,46494
ABAN,20210114,30.5,31.25,30.1,30.15,55910,0
ABB,20210114,1284.05,1298.65,1265.1,1274.4,45754,17233
ABBOTINDIA,20210114,15100,15198.4,14992.1,15003.5,26752,18121
ABCAPITAL,20210114,90.6,92.4,90.3,91.55,2111500,763016
ABFRL,20210114,181.5,182.35,177.15,180.4,1854475,769332
ABMINTLTD,20210114,24.5,24.5,24.5,24.5,1,0
ABSLBANETF,20210114,323.8,324.74,322.83,324.74,144,141
ABSLNN50ET,20210114,337.9,338,335,335,40,28
ACC,20210114,1790,1805,1773,1785.5,627682,197345
ACCELYA,20210114,969,976.95,959,962.45,3428,1999
ACCURACY,20210114,39.3,40.45,37.1,40.35,21051,16930
ACE,20210114,137.1,139.9,133.25,135.3,249116,144642
ACRYSIL,20210114,204,204,197.05,199,33647,23016
ADANIENT,20210114,534.95,541,528.4,532.1,3161306,393110
ADANIGREEN,20210114,925.95,968.25,925.05,968.25,1514658,836657
ADANIPORTS,20210114,537.95,542.45,530.1,536.95,6066782,921742
ADANIPOWER,20210114,52.75,54.8,52.75,53.95,4383524,2221230
ADANITRANS,20210114,449.1,455,432.95,443.45,426825,168825
ADFFOODS,20210114,616.15,635,616.15,623.9,23616,10592
ADHUNIKIND,20210114,24.9,25.2,24,24.55,12608,0
ADL,20210114,28.7,29.7,27.3,28,8250,0
ADORWELD,20210114,296.65,296.7,290.6,291.55,17243,9415
ADROITINFO,20210114,11.15,12,11.15,11.25,4965,0
ADSL,20210114,42.7,42.7,39.75,41.3,246178,130240
ADVANIHOTR,20210114,51.8,51.8,48.25,49.95,2997,0
ADVENZYMES,20210114,327.9,329.05,323.5,325.45,111350,47396
AEGISCHEM,20210114,281,288.95,280.1,282.8,646257,251921
AFFLE,20210114,3799,3812,3730,3742.9,39775,25776
AGARIND,20210114,148.9,154.85,141.5,153.45,71866,32070
AGCNET,20210114,735.05,744,725,742.5,4666,0
AGRITECH,20210114,39,39,37.85,38,4961,0
AGROPHOS,20210114,15.3,15.3,14.95,15.25,54962,44655
AHLEAST,20210114,168.9,168.95,164.4,164.95,3125,2524
AHLUCONT,20210114,260.95,277.85,259.7,272.5,3575820,3452410
AHLWEST,20210114,262.8,262.8,255.05,257.2,806,563
AIAENG,20210114,2069,2146.05,2055.5,2098.8,89585,41698
AIRAN,20210114,18.6,19.15,18.5,18.8,42424,32895
AJANTPHARM,20210114,1784.9,1784.9,1750.3,1765,67648,27546
AJMERA,20210114,136.9,140.05,136.05,136.45,113893,28324
AKASH,20210114,242,242,230,232.7,2272,1428
AKSHARCHEM,20210114,279.35,279.35,271.65,273.6,15202,7059
AKSHOPTFBR,20210114,8.25,8.3,7.95,8.1,288977,160924
AKZOINDIA,20210114,2366,2385,2336,2351.55,103750,96885
ALANKIT,20210114,18.65,19.3,18.4,19,133340,74390
ALBERTDAVD,20210114,450.9,453,445,448.5,8440,4200
ALEMBICLTD,20210114,105.7,106.45,104,104.25,212924,110501
ALICON,20210114,400,405.1,385.25,402.35,15102,10011
ALKALI,20210114,64,64.7,61.25,61.9,89956,39879
ALKEM,20210114,3112,3125,3071,3108.5,87367,68894
ALKYLAMINE,20210114,4785,4865,4705.2,4789.25,26221,9941
ALLCARGO,20210114,133.5,134.5,133.4,133.55,186593,108495
ALLSEC,20210114,276.95,285.9,271.6,282.85,10565,5129
ALMONDZ,20210114,20.3,20.9,20.3,20.3,36280,28905
ALOKINDS,20210114,23.45,23.45,23,23.2,5830748,2827265
ALPA,20210114,37.9,37.9,36.45,36.65,32090,0
ALPHAGEO,20210114,206.25,206.25,201,201.8,7755,0
ALPSINDUS,20210114,2,2,2,2,21725,0
AMARAJABAT,20210114,988,1023,973,1013.75,1191620,153318
AMBER,20210114,2535,2590,2508.05,2565.85,172619,37411
AMBIKCO,20210114,1125,1125,1052,1072.45,45193,24140
AMBUJACEM,20210114,265,270.5,263.15,267.05,4747011,1193653
AMDIND,20210114,19.4,20.95,19,20.25,66200,20225
AMJLAND,20210114,27.8,28.15,26.4,26.9,15887,10698
AMRUTANJAN,20210114,537.1,548.95,536.7,538.15,35267,11390
ANANTRAJ,20210114,30.75,33.45,29.6,33.45,1875444,1215378
ANDHRACEMT,20210114,6.35,6.35,6.2,6.2,189992,107597
ANDHRAPAP,20210114,218,219.9,215.65,216.75,24503,13974
ANDHRSUGAR,20210114,347,348.55,339.05,341.05,70856,37520
ANGELBRKG,20210114,349,360,349,355.65,461488,230607
ANIKINDS,20210114,16.2,16.9,16.2,16.25,18345,0
ANKITMETAL,20210114,1.55,1.55,1.55,1.55,6000,0
ANSALAPI,20210114,9.2,10.1,9.2,10.1,621806,0
ANSALHSG,20210114,7.3,7.55,7.2,7.45,72126,54425
ANUP,20210114,723.5,735,716.95,727.65,14960,11335
APARINDS,20210114,380,389.45,380,384.05,56676,26114
APCL,20210114,228,229.95,218.7,220.2,318782,168139
APCOTEXIND,20210114,172.7,174.3,168.5,168.95,76984,41001
APEX,20210114,304.9,304.9,300,300.85,44390,19220
APLAPOLLO,20210114,945.1,977,945.1,956.75,229758,154699
APLLTD,20210114,1094,1095.95,1073.3,1090.45,120336,66915
APOLLO,20210114,139.7,148.6,136.05,142.6,715308,186617
APOLLOHOSP,20210114,2481.9,2528.9,2475,2512,603193,117705
APOLLOPIPE,20210114,748,769.9,736.15,742.6,81426,48367
APOLLOTYRE,20210114,192.85,194.9,188.5,190,7759849,1951767
APOLSINHOT,20210114,573.95,587,570.5,578.15,492,368
APTECHT,20210114,153.35,157.8,149.7,155.1,948282,233156
ARCHIDPLY,20210114,39,39,35.7,36.75,22616,0
ARCHIES,20210114,14.4,14.4,14,14.05,41318,29853
ARENTERP,20210114,12.6,12.75,12.35,12.65,4530,4343
ARIES,20210114,103.55,107,103.35,105.05,212700,60007
ARIHANT,20210114,22.15,23.85,21.05,23.85,17820,10392
ARIHANTSUP,20210114,37.1,40.45,37.1,40.45,34884,17291
ARMANFIN,20210114,702.75,712.1,698.5,701.5,4995,2214
AROGRANITE,20210114,55.5,55.5,50.4,51.9,129922,67491
ARROWGREEN,20210114,63.35,66.4,60.5,64.85,74447,24561
ARSHIYA,20210114,30.85,30.95,28.35,28.35,237453,171344
ARSSINFRA,20210114,26,26.55,25.1,25.3,36055,18955
ARTEMISMED,20210114,218,236.35,218,231,2234,0
ARVIND,20210114,55.85,55.95,53.5,53.85,1536688,736122
ARVINDFASN,20210114,171,171.5,166,168.85,343441,111667
ARVSMART,20210114,112,114.2,110.35,112.2,194373,76025
ASAHIINDIA,20210114,277.95,284.5,277.35,278.4,44612,22912
ASAHISONG,20210114,240.6,242.9,235,237.45,16236,8929
ASAL,20210114,35.35,35.35,35.35,35.35,5882,5882
ASALCBR,20210114,328.15,336,327.1,333.9,63332,29826
ASHAPURMIN,20210114,125.8,126.9,118.6,120.3,415861,229395
ASHIANA,20210114,102.5,102.7,99.7,100.25,64793,44130
ASHIMASYN,20210114,13.15,13.55,13.15,13.5,25975,0
ASHOKA,20210114,94.7,95.45,93,95,763223,297150
ASHOKLEY,20210114,122.45,123.5,118.5,119.1,28128837,6676126
ASIANHOTNR,20210114,75.25,83.3,74.45,77,17029,12346
ASIANPAINT,20210114,2713,2736.65,2648,2663.9,2124950,1058846
ASIANTILES,20210114,293,294.7,290.55,293.9,232190,60017
ASPINWALL,20210114,173.05,173.05,165.15,169.8,2343,1994
ASTEC,20210114,1259.95,1269,1237.05,1255.5,22624,12825
ASTERDM,20210114,164,165,161.75,162.6,146891,93801
ASTRAL,20210114,1735,1735,1686,1699.7,321723,82278
ASTRAMICRO,20210114,123.65,128,123.55,127.4,706402,379441
ASTRAZEN,20210114,4277,4300,4150.05,4231,49634,17285
ASTRON,20210114,51,51.9,50.15,50.75,18113,11525
ATFL,20210114,849.55,862,825,830.05,132032,115571
ATGL,20210114,364.6,364.6,353,361.1,949106,778467
ATLANTA,20210114,9.7,9.7,9.2,9.25,11551,8373
ATUL,20210114,6658,6725,6602.4,6628.25,24141,17282
ATULAUTO,20210114,192,193.75,188,189.9,106562,56885
AUBANK,20210114,896.4,931.5,896.4,914,1015700,508971
AURIONPRO,20210114,81,82.9,78.95,80.2,23079,13489
AUROPHARMA,20210114,941,968.75,928.85,959.25,2058721,562819
AUSOMENT,20210114,51.2,51.5,48.25,48.95,23780,15459
AUTOAXLES,20210114,1088,1093.5,1055.05,1065.3,10532,4571
AUTOIND,20210114,35.85,35.95,34.25,34.85,16699,8905
AUTOLITIND,20210114,42.2,43.3,37.15,37.2,315479,172783
AVADHSUGAR,20210114,216.7,218.5,211.25,213.1,61073,29350
AVANTIFEED,20210114,518.65,525,516.05,522.55,165751,89230
AVTNPL,20210114,47.5,48.9,46.25,47.35,217070,118368
AWHCL,20210114,375.4,376.95,365.65,368.35,154429,68840
AXISBANK,20210114,678.5,687.8,674.65,676,9337503,2905765
AXISBNKETF,20210114,325.67,325.85,323.48,325.58,758,400
AXISCADES,20210114,55.8,56.35,54.9,55.85,34995,22874
AXISGOLD,20210114,42.98,43.25,42.31,42.75,177305,150730
AXISNIFTY,20210114,150.47,151.12,150,151.06,2317,1281
AYMSYNTEX,20210114,43,45,43,44.7,21953,0
BAFNAPH,20210114,149,153.5,141.35,144.45,2459,0
BAGFILMS,20210114,3.4,3.45,3.2,3.2,124246,0
BAJAJ-AUTO,20210114,3600,3658.65,3545,3576.05,743848,198141
BAJAJCON,20210114,224.85,226.5,220.8,222.65,197220,85162
BAJAJELEC,20210114,820,857.95,742.25,767.3,2375802,244244
BAJAJFINSV,20210114,8814,8929.95,8675,8747.35,568437,79769
BAJAJHIND,20210114,6.65,6.9,6.6,6.75,5079324,3010954
BAJAJHLDNG,20210114,3220,3257.45,3181,3210.15,47498,26797
BAJFINANCE,20210114,4902.9,4966.8,4834,4877.35,2680811,476743
BALAJITELE,20210114,68.8,68.8,67.25,68.1,145495,64254
BALAMINES,20210114,1160,1184,1130.8,1152.9,145627,34475
BALAXI,20210114,635,645.4,610,643.05,2929,2132
BALKRISHNA,20210114,23,23.5,22.5,22.65,23052,0
BALKRISIND,20210114,1696,1717,1680.2,1711.05,574159,225326
BALMLAWRIE,20210114,123,125.85,122,124.1,387800,161642
BALPHARMA,20210114,56,56.9,55.1,56.45,5769,0
BALRAMCHIN,20210114,183.45,187.9,181.1,182.2,973810,357882
BANARBEADS,20210114,59.35,60.7,58.8,59.6,7859,4119
BANARISUG,20210114,1502.05,1535,1476.05,1528.1,1477,1220
BANCOINDIA,20210114,139.35,142.5,139.35,141.1,108738,51934
BANDHANBNK,20210114,374.9,379.8,369.3,373.15,12123283,5071503
BANG,20210114,29.9,29.9,28.15,28.75,4989,2799
BANKA,20210114,64.75,64.75,59.2,59.55,12077,5946
BANKBARODA,20210114,75.35,77.9,74.7,76.2,73557480,12122195
BANKBEES,20210114,328,329,326.5,327.25,391995,120638
BANKINDIA,20210114,54.3,55.5,53.75,54.85,9496409,2125630
BANSWRAS,20210114,117.5,126,115,122.1,67407,31200
BASF,20210114,1662,1699.45,1657,1661.8,37958,13710
BASML,20210114,155.1,159.75,150.1,155.05,24889,0
BATAINDIA,20210114,1644.45,1655,1625.05,1632.05,456894,89177
BAYERCROP,20210114,5768.4,5768.4,5615,5692.35,23933,11640
BBL,20210114,922.2,928,902.2,923.7,12154,8825
BBTC,20210114,1304.55,1323.05,1299,1305.75,60618,18190
BCG,20210114,7.8,7.85,7.65,7.85,3541434,1757243
BCP,20210114,6.75,6.8,6.55,6.7,79957,0
BDL,20210114,347.1,355,345.25,348.15,1555183,489289
BEARDSELL,20210114,9.45,9.45,8.85,9.05,35854,26325
BECTORFOOD,20210114,428,445.4,422.45,438.85,1253003,332513
BEDMUTHA,20210114,27.4,27.5,25.2,25.8,20956,15817
BEL,20210114,134.75,141,134.55,139.15,31434222,5070464
BEML,20210114,963.95,978.7,957.25,962.8,292173,60508
BEPL,20210114,156.95,167,156.85,163.3,1370305,544183
BERGEPAINT,20210114,798.9,803,785.1,794.1,779167,206307
BFINVEST,20210114,309.6,311.55,297.25,302.95,53692,16290
BFUTILITIE,20210114,305,311.9,299.25,304.35,534700,141857
BGRENERGY,20210114,46.2,46.2,45,45.8,30393,0
BHAGERIA,20210114,161.5,163,160.35,160.95,17289,9399
BHAGYANGR,20210114,33.3,34.4,32.75,33.55,16434,0
BHAGYAPROP,20210114,25.05,25.65,24.2,24.8,35502,25418
BHANDARI,20210114,3.9,3.9,3.8,3.9,702659,438741
BHARATFORG,20210114,632.8,640,611.15,622.45,2579015,331498
BHARATGEAR,20210114,75.5,77.3,74,75,10561,0
BHARATRAS,20210114,10625,10625,10462.9,10479.15,5939,2631
BHARATWIRE,20210114,36.2,37.1,35,35.25,19988,12884
BHARTIARTL,20210114,582.7,584.8,570.05,580.55,16661518,6968221
BHEL,20210114,40.4,40.7,39.6,40.2,34995707,10332367
BIGBLOC,20210114,98,102.2,97,102.2,15317,0
BIL,20210114,151.45,154.05,148,149.65,4061,3148
BINDALAGRO,20210114,19.8,19.85,18.75,18.95,66745,48555
BIOCON,20210114,463.1,469.3,458.55,466.45,3484973,1713093
BIOFILCHEM,20210114,167.9,169.8,155.8,155.8,104036,0
BIRLACABLE,20210114,66.8,69.7,65.15,67.4,155465,69934
BIRLACORPN,20210114,725.3,732.85,721,723.15,220844,146309
BIRLAMONEY,20210114,50.85,51.4,49,49.95,310127,183777
BIRLATYRE,20210114,28.95,28.95,28.1,28.25,300349,180764
BKMINDST,20210114,1.3,1.4,1.3,1.35,58702,0
BLBLIMITED,20210114,6.15,6.15,5.7,5.7,14542,13282
BLISSGVS,20210114,206,210.7,203.05,205.75,853191,388688
BLKASHYAP,20210114,12,12.2,11.15,11.85,76492,0
BLS,20210114,114,116,113,113.1,109231,75528
BLUECOAST,20210114,4.65,4.65,4.6,4.6,3,0
BLUEDART,20210114,3974,3999,3935.8,3972.7,6971,5124
BLUESTARCO,20210114,790,799.95,781.55,787.2,24741,11039
