<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20210202,38,38.35,36.85,37.5,113010,67587
21STCENMGM,20210202,10.8,11,10.8,10.8,1380,1310
3IINFOTECH,20210202,7.15,7.2,6.75,7.2,18740036,8065733
3MINDIA,20210202,19328,20709.3,19245,20617,24991,14887
3PLAND,20210202,9.75,9.8,9.3,9.3,4691,3748
5PAISA,20210202,278,289.4,251.25,262.55,77841,41007
63MOONS,20210202,76.85,78,75.4,77.4,45785,32287
A2ZINFRA,20210202,4.75,4.8,4.5,4.6,320624,213341
AAKASH,20210202,95,97.6,93,97.1,14702,0
AARON,20210202,49.8,49.8,47.1,49.35,14712,9994
AARTIDRUGS,20210202,684.85,692.9,675,678.05,271545,114742
AARTIIND,20210202,1175.1,1187.4,1153,1181.55,305988,173309
AARTISURF,20210202,874.05,910,833,884.45,34466,19901
AARVEEDEN,20210202,20.4,20.4,19.25,19.35,21421,20276
AARVI,20210202,43.75,45,42.05,43.9,10976,7682
AAVAS,20210202,1914,1999,1885,1982.2,91738,46167
ABAN,20210202,26.6,28.35,26.6,28.35,72765,54026
ABB,20210202,1389.9,1507.35,1389.9,1445.4,415804,236321
ABBOTINDIA,20210202,14350,14462,13959.8,14093.85,56037,36447
ABCAPITAL,20210202,86.5,87.5,83.8,84.75,3655563,1254874
ABFRL,20210202,154.8,156.15,150.55,150.95,2578907,1476442
ABMINTLTD,20210202,29.6,29.6,27.35,29.6,6669,4050
ABSLBANETF,20210202,315.6,341.95,315.6,341.77,2116,1573
ABSLNN50ET,20210202,331,331,321.07,323,80,70
ACC,20210202,1700,1784,1691.05,1762.85,1697944,480697
ACCELYA,20210202,969.9,979.8,956.85,970.95,7421,4685
ACCURACY,20210202,37.85,38.45,36.3,38.05,11531,4162
ACE,20210202,146.65,155.35,142.7,155.35,1538509,967415
ACRYSIL,20210202,195.25,196.7,187.7,194.25,55626,34576
ADANIENT,20210202,542.05,566.9,540.8,564.2,5144708,784251
ADANIGREEN,20210202,1033.5,1046.95,1014,1031.95,353217,182310
ADANIPORTS,20210202,548.7,554.85,540,550.8,7160471,1459412
ADANIPOWER,20210202,53,53.85,51.4,52.5,4066305,2098718
ADANITRANS,20210202,488.3,498.7,472.5,491.35,790371,293246
ADFFOODS,20210202,686,698.75,661,670.3,72421,27020
ADHUNIKIND,20210202,22.2,23.8,22.1,22.85,10350,7668
ADL,20210202,27.1,29.35,27.1,27.6,1546,0
ADORWELD,20210202,284,309.95,276.35,303.45,93277,28726
ADROITINFO,20210202,9.75,9.75,8.95,9.4,5827,5826
ADSL,20210202,41.15,43,39.7,40.05,153151,99217
ADVANIHOTR,20210202,47.35,48.25,45.05,47.4,8828,6526
ADVENZYMES,20210202,317.1,330,316.1,327.4,270784,117889
AEGISCHEM,20210202,284,292.6,280,280.75,167620,75336
AFFLE,20210202,3854,3854,3746.5,3801.65,62134,36267
AGARIND,20210202,136.05,145.5,134.2,139.75,11721,0
AGCNET,20210202,740,812.35,740,806.95,18891,15653
AGRITECH,20210202,36.9,38,36.2,36.8,5929,3660
AGROPHOS,20210202,14.1,14.1,13.75,14.1,54695,43796
AHLADA,20210202,70.9,70.95,64.35,66.4,38525,18207
AHLEAST,20210202,158.9,181.6,158.5,159.8,1060,479
AHLUCONT,20210202,281.9,284.75,275,281,75097,29984
AHLWEST,20210202,252,260,246.2,249,899,477
AIAENG,20210202,1955,1960.55,1935.05,1939.3,34268,25143
AIRAN,20210202,19,19.15,18.55,18.9,25084,16601
AJANTPHARM,20210202,1762.05,1790,1721.45,1747.15,250509,144712
AJMERA,20210202,132.7,135,129.85,130.8,102319,40845
AKASH,20210202,246.1,246.1,232.5,234.35,14815,14199
AKSHARCHEM,20210202,264.8,274.45,263.9,267.6,18149,12391
AKSHOPTFBR,20210202,7.2,7.45,6.5,6.85,596074,397827
AKZOINDIA,20210202,2212.2,2345,2212.2,2272.3,39021,13350
ALANKIT,20210202,16.95,17.4,16.8,17,72925,47574
ALBERTDAVD,20210202,433.85,436,419.9,427.7,6013,3397
ALEMBICLTD,20210202,96.25,96.8,95,96.15,318470,148131
ALICON,20210202,423.7,428.9,416.3,421.4,4762,2693
ALKALI,20210202,53.8,55.25,53.1,53.5,13105,7608
ALKEM,20210202,2950,2972.95,2860,2902.75,171959,116197
ALKYLAMINE,20210202,5048,5189,5025,5149.2,105327,32738
ALLCARGO,20210202,131.4,132.55,129,129.85,221274,141869
ALLSEC,20210202,295,304.95,291.35,299.55,29763,15768
ALMONDZ,20210202,20,20.7,18.95,19.75,16238,10556
ALOKINDS,20210202,21.5,21.6,21.15,21.2,5951509,2761054
ALPA,20210202,36.4,36.75,35.35,35.7,23253,15378
