<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20210312,38.6,39.25,37.6,37.75,106676,72160
21STCENMGM,20210312,13,13,13,13,10392,10392
3IINFOTECH,20210312,8.45,8.45,8.15,8.45,19992750,12211552
3MINDIA,20210312,25804,27749.85,25804,27335.35,8718,4802
3PLAND,20210312,9.4,9.6,9.1,9.5,8624,6565
5PAISA,20210312,289,289,275,279.65,26445,14811
63MOONS,20210312,80.95,81,78.9,79.05,41751,29124
A2ZINFRA,20210312,4.3,4.35,4.15,4.2,410126,284556
AAKASH,20210312,126.7,131,126,128.95,7964,0
AARON,20210312,62.2,63.35,62,63,2305,1858
AARTIDRUGS,20210312,676.5,709.9,668,688.3,1427665,279942
AARTIIND,20210312,1284.5,1292.85,1266.5,1283.5,165582,76262
AARTISURF,20210312,1045,1045,999,1006.05,8809,5750
AARVEEDEN,20210312,17.65,18.5,17.25,17.7,5106,3237
AARVI,20210312,56,57.2,55.8,55.85,7356,5525
AAVAS,20210312,2233,2275,2207.4,2249.95,48262,31660
ABAN,20210312,40.55,40.55,37.9,38.15,173896,114265
ABB,20210312,1473,1481.25,1455,1471.1,61753,20346
ABBOTINDIA,20210312,14689.4,14718.9,14503.3,14616.25,17952,14667
ABCAPITAL,20210312,134.8,135.2,128.5,131.3,2937746,1239898
ABFRL,20210312,220.1,221.25,216.65,218.65,1417112,713550
ABMINTLTD,20210312,63.8,65.65,60.15,60.95,2269,1157
ABSLBANETF,20210312,360,361.2,349.52,350.5,701,97
ABSLNN50ET,20210312,366,386,355.1,364.9,116,63
ACC,20210312,1843.9,1848,1782,1787.65,1032982,343681
ACCELYA,20210312,904.35,910.05,892.35,898,2718,1787
ACCURACY,20210312,54.9,56.9,53.55,53.8,29079,22449
ACE,20210312,165.7,175,159.1,166.9,3278642,2040328
ACRYSIL,20210312,366.3,374.5,348,350.65,132965,103803
ADANIENT,20210312,905,923.8,889.3,894.1,6049852,1093106
ADANIGREEN,20210312,1200,1200,1154.2,1160.6,296923,175131
ADANIPORTS,20210312,749,752.1,723,728.15,10961076,3300543
ADANIPOWER,20210312,75.5,79.3,73.95,75.55,38391001,10869032
ADANITRANS,20210312,737,785.5,734.5,773.7,1537523,798093
