<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20201202,33.6,34.55,32.15,32.7,298100,156322
21STCENMGM,20201202,9.85,9.85,9.55,9.8,732,550
3IINFOTECH,20201202,3.7,3.7,3.65,3.7,2710646,1615336
3MINDIA,20201202,22149.4,22599.4,21945.5,22420.1,13083,8903
3PLAND,20201202,8.95,8.95,8.95,8.95,6530,6430
5PAISA,20201202,328.05,340.15,327,329.7,14946,10113
63MOONS,20201202,89.45,92.5,88.8,90.4,202923,108329
8KMILES,20201202,80.15,84.95,80.15,83.05,61096,0
A2ZINFRA,20201202,4.4,4.45,4.15,4.45,665371,476050
AAKASH,20201202,53.5,53.9,52.8,53.45,100450,52223
AARON,20201202,55.6,55.6,55.6,55.6,3544,3544
AARTIDRUGS,20201202,709.95,730,705.1,717,854129,293311
AARTIIND,20201202,1158,1185,1140.55,1178.6,390786,253704
AARTISURF,20201202,1154.85,1154.85,1068,1154.85,150119,66626
AARVEEDEN,20201202,11.35,11.8,11,11.1,11930,10332
AARVI,20201202,41.2,42.7,38.15,41.35,28113,27058
AAVAS,20201202,1657,1699,1635,1653.25,231610,149403
ABAN,20201202,29.45,29.45,28.3,28.5,139692,92768
ABB,20201202,1142,1200,1116.05,1190.8,294829,87419
ABBOTINDIA,20201202,15450,15450,15133.05,15215.2,14017,9446
ABCAPITAL,20201202,94.3,95.45,90.05,91.2,6964835,2766941
ABFRL,20201202,162,165.2,161.1,164.05,1712879,873565
ABMINTLTD,20201202,24.6,24.6,24.5,24.5,122,0
ABSLBANETF,20201202,295.08,296.99,291.41,295.38,365,232
ABSLNN50ET,20201202,298.97,298.97,290,296.3,31,16
ACC,20201202,1745,1748.85,1701.3,1729.25,1326419,371978
ACCELYA,20201202,856.05,876,856.05,874.85,2200,1612
ACE,20201202,128,133,117.15,123.05,1690269,661318
ADANIENT,20201202,420.55,461.9,419.35,453.75,16821595,1122639
ADANIGAS,20201202,361,377.95,354,374.05,8405469,2315625
ADANIGREEN,20201202,1140,1155,1112,1146,875255,370507
ADANIPORTS,20201202,424.9,442,420.35,438.2,13049398,3050076
ADANIPOWER,20201202,41.9,45.7,41.6,45.15,38840737,13190555
ADANITRANS,20201202,380,433.9,375.6,419.2,4614719,937027
ADFFOODS,20201202,479.75,487.3,470.45,477.35,63924,37854
ADHUNIKIND,20201202,17.25,17.6,17,17.35,43872,34993
ADL,20201202,21.4,22.45,20.8,22.45,9620,0
ADORWELD,20201202,265,271.9,263.25,267.35,34480,17610
ADROITINFO,20201202,6.15,6.5,6.1,6.1,10345,0
ADSL,20201202,28.9,30.35,28.6,30.35,304147,191706
ADVANIHOTR,20201202,58.85,59.65,57.8,58.35,79648,38726
ADVENZYMES,20201202,361,364,348.1,352.35,156172,91610
