<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20201023,27.5,28.45,27.5,27.95,21073,12045
21STCENMGM,20201023,9.7,9.7,9.6,9.6,8,8
3IINFOTECH,20201023,3.05,3.15,3.05,3.15,11261295,5581022
3MINDIA,20201023,19148,19148,18822.05,18898.25,2800,2024
3PLAND,20201023,6.25,6.55,6,6.4,695,695
5PAISA,20201023,361.5,361.5,345.5,351.05,3682,0
63MOONS,20201023,72.3,75.5,72.3,73.75,20520,9524
8KMILES,20201023,92.2,92.2,92.2,92.2,9090,0
A2ZINFRA,20201023,3.75,3.85,3.7,3.85,73419,56483
AAKASH,20201023,53,53.5,52.4,52.9,38302,21500
AARTIDRUGS,20201023,754.9,769.8,736,750.3,584081,211192
AARTIIND,20201023,1003,1005,991,994.65,87150,39121
AARTISURF,20201023,572,589,568,577.7,11452,0
AARVEEDEN,20201023,10.45,10.9,9.75,10.7,5693,5422
AARVI,20201023,37.25,39.85,36.7,38.8,624,450
AAVAS,20201023,1493.8,1510,1475.2,1482.2,16086,9036
ABAN,20201023,22.8,23.25,22.75,23.1,40760,28071
ABB,20201023,919.9,924.45,905.2,918,45456,19225
ABBOTINDIA,20201023,15790,15961.05,15588.05,15624.6,6950,4975
ABCAPITAL,20201023,66.35,70.6,65.2,68.75,5814650,1399764
ABFRL,20201023,153.95,178.95,149.8,164.95,59258955,11272181
ABMINTLTD,20201023,32,32,29.8,29.8,2089,0
ABSLBANETF,20201023,248.8,248.8,242.46,242.62,105,103
ABSLNN50ET,20201023,284.9,284.9,284.9,284.9,45,45
ACC,20201023,1635,1635.3,1595,1604.55,1189152,287771
ACCELYA,20201023,978.05,991.45,973.65,981.3,2341,836
ACE,20201023,72,73.05,71.05,72.05,224632,96215
ADANIENT,20201023,314,322.45,313.3,315.45,4159352,317823
ADANIGAS,20201023,195.9,198.2,192.8,196.35,1504693,526461
ADANIGREEN,20201023,734.8,734.8,712.2,720.3,665517,296882
ADANIPORTS,20201023,360,369,357.65,364.35,6357073,1082234
ADANIPOWER,20201023,35.1,35.55,35.1,35.35,830409,400578
ADANITRANS,20201023,294.05,295.9,290.65,293.35,225096,145026
ADFFOODS,20201023,436.7,436.7,421.5,424.15,25549,15531
ADHUNIKIND,20201023,18.95,19,17.95,18.05,4530,2648
ADL,20201023,19.15,19.15,17.75,18.45,3348,0
ADORWELD,20201023,243.85,245,242.95,243.9,3073,1776
ADROITINFO,20201023,8.15,8.15,7.75,7.75,2262,0
ADSL,20201023,23.25,23.25,22.2,22.6,231893,20231
ADVANIHOTR,20201023,40.65,41.65,39.8,41.45,1992,1760
ADVENZYMES,20201023,328.45,332,315,319.1,271070,115778
AEGISCHEM,20201023,206.5,215.45,203.9,213.9,280940,136237
AFFLE,20201023,2745,2865.75,2740.1,2799.05,142530,64563
AGARIND,20201023,87.7,87.7,85,86.65,4296,3045
AGCNET,20201023,525,565,521.2,534.15,224602,118893
AGRITECH,20201023,27.65,28.8,27.2,28.35,2211,1555
AGROPHOS,20201023,9.15,9.15,8.45,9,31620,15417
AHLEAST,20201023,135.65,138.25,132.25,138.15,1811,743
AHLUCONT,20201023,227.4,227.4,224,224.8,9617,3889
AHLWEST,20201023,254.95,265.55,254.95,256.55,1026,625
AIAENG,20201023,1797.2,1806.15,1735.2,1748.3,17321,8740
AIRAN,20201023,11.2,11.55,11.15,11.45,60312,57515
AJANTPHARM,20201023,1640,1649.5,1575,1605.95,184354,79769
AJMERA,20201023,90.65,91.35,89,89.85,59031,23713
AKASH,20201023,255,255,247,248.9,157,0
AKSHARCHEM,20201023,210.05,215,205.65,209.65,7146,4033
AKSHOPTFBR,20201023,5.5,5.65,5.5,5.65,208286,157483
AKZOINDIA,20201023,2045,2064.6,1989.05,2001.15,8781,4954
ALANKIT,20201023,15.55,16,15.5,15.8,60900,44179
ALBERTDAVD,20201023,403.2,406.5,402.65,403.75,2832,1587
ALCHEM,20201023,4.6,4.7,4.55,4.65,13944,13344
ALEMBICLTD,20201023,98.05,99.8,96.5,96.9,527660,145547
ALICON,20201023,306,322,292.65,318.8,2118,1649
ALKALI,20201023,48.05,49.9,47,48.1,23843,7913
ALKEM,20201023,2629,2641.45,2591,2601.1,69721,42040
ALKYLAMINE,20201023,3031,3079.95,2988,2991.2,32800,18241
ALLCARGO,20201023,118.9,120,117.7,118.7,128317,84432
ALLSEC,20201023,257.1,265,247.35,262.8,26594,14165
ALMONDZ,20201023,11,11.9,11,11.65,3171,2001
ALOKINDS,20201023,22.8,23.2,22.15,23.2,16503143,4961103
ALPA,20201023,42.7,43,41.05,41.55,153503,54770
ALPHAGEO,20201023,160,165,159.5,160.35,19915,9638
ALPSINDUS,20201023,1,1.1,1,1.1,22049,22049
AMARAJABAT,20201023,754.75,763.7,744.15,761,1559471,409797
AMBER,20201023,2342,2362,2282,2332.3,231249,30252
AMBIKCO,20201023,724.95,729.3,717.2,723.55,65597,24781
AMBUJACEM,20201023,255.5,256,245,247.4,15337715,3722102
AMDIND,20201023,15.95,16.4,15.8,16.35,2812,1238
AMJLAND,20201023,19.5,20.25,18.7,19.9,57476,34296
AMRUTANJAN,20201023,421.1,426,416.6,419.6,20521,9459
