<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20210112,40.3,41.9,39.5,39.9,262240,163107
21STCENMGM,20210112,10.9,10.9,10.75,10.8,1902,1809
3IINFOTECH,20210112,9.3,9.3,8.6,9,55506983,25936167
3MINDIA,20210112,21727,21778.15,21502,21588.4,2681,1402
3PLAND,20210112,10.15,10.85,10.15,10.3,2817,1706
5PAISA,20210112,354.4,377.3,351,377.3,227778,89822
63MOONS,20210112,79.5,81,78.55,79.1,59594,0
8KMILES,20210112,82.35,85,80.55,83.35,58976,0
A2ZINFRA,20210112,5.6,6.05,5.35,5.5,2597997,1670082
AAKASH,20210112,79.25,80,77.5,79.85,43755,15614
AARON,20210112,53.7,56.35,51.1,55.1,10386,6564
AARTIDRUGS,20210112,722,729.85,715.55,717.2,335300,151556
AARTIIND,20210112,1306.9,1320.05,1278,1283.05,440596,156949
AARTISURF,20210112,1030,1030,995.05,1000.35,9324,6197
AARVEEDEN,20210112,18,18.25,17.4,18.1,9669,0
AARVI,20210112,46.75,52.95,46.3,48.95,125357,36563
AAVAS,20210112,1938,1990,1914.45,1965.4,433025,412616
ABAN,20210112,30.1,31.3,28.85,31.3,108073,0
ABB,20210112,1288,1301,1265,1269.3,162360,114929
ABBOTINDIA,20210112,15566.85,15566.85,15383,15405.4,21062,16624
ABCAPITAL,20210112,90.7,92.25,87.3,90.45,2518994,769828
ABFRL,20210112,168.4,175.9,167.4,174.55,5215456,2464159
ABMINTLTD,20210112,22.55,24,22.55,24,874,0
ABSLBANETF,20210112,318.57,322.17,316,320.04,179,88
ABSLNN50ET,20210112,330,339.75,325.7,333.8,62,58
ACC,20210112,1783,1814,1775.1,1795.1,1505259,430021
ACCELYA,20210112,965.45,969.95,958.85,961.65,3325,1704
ACCURACY,20210112,41.2,41.2,38.35,38.45,37048,36036
ACE,20210112,138.7,141.75,137.95,139.25,170212,90992
ADANIENT,20210112,519,536.6,517.1,525.4,4878024,524943
