<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20210318,38.3,38.3,36.25,36.8,72000,43996
21STCENMGM,20210318,14,14,14,14,950,950
3IINFOTECH,20210318,7.75,8.25,7.65,7.65,17044644,7838636
3MINDIA,20210318,28220,28434.7,26700,27556.45,5536,2597
3PLAND,20210318,9.5,9.5,8.6,8.95,4494,4228
5PAISA,20210318,282.85,282.85,267.9,269.75,16083,8951
63MOONS,20210318,78,78.3,75,75.8,63499,36564
A2ZINFRA,20210318,4,4.05,3.8,3.85,264377,189933
AAKASH,20210318,127,130.5,127,129,11267,0
AARON,20210318,63.6,63.9,58.5,59.15,1850,1145
AARTIDRUGS,20210318,682.4,689,668,683.3,409208,153895
AARTIIND,20210318,1288,1304,1232.5,1240.75,119276,46680
AARTISURF,20210318,985,985,935,939.7,8097,4979
AARVEEDEN,20210318,17.2,18.45,17,17.35,11275,9319
AARVI,20210318,54.15,54.15,52,52,5453,5016
AAVAS,20210318,2247.75,2247.75,2190,2205.55,46501,27912
ABAN,20210318,36.1,36.1,34.05,34.05,108395,85256
ABB,20210318,1454.85,1467.55,1416.15,1427.3,45465,13082
ABBOTINDIA,20210318,14725,14783.2,14400,14484.8,8180,4752
ABCAPITAL,20210318,128.7,130.5,121.55,124.6,3157114,1118007
ABFRL,20210318,206.05,215,199.1,202.75,3001514,1417149
ABMINTLTD,20210318,60.5,61.35,55.55,56.05,1379,1161
ABSLBANETF,20210318,343.8,345.9,332.81,335.18,1279,1057
ABSLNN50ET,20210318,347,369.99,347,366.46,91,81
ACC,20210318,1744.95,1749,1711.05,1731.75,933344,451849
ACCELYA,20210318,883.75,895.4,875.45,881.4,1830,1161
ACCURACY,20210318,52.25,54.85,51.1,53.9,20182,14731
ACE,20210318,167.7,168.3,148.85,154.3,807619,534733
ACRYSIL,20210318,337.6,344.75,314.9,319.5,68724,40183
ADANIENT,20210318,876,891,857.75,871.05,4465851,572045
ADANIGREEN,20210318,1179.4,1183,1120.1,1135.85,269255,121452
ADANIPORTS,20210318,695,705.5,675.4,679.65,10925357,1781340
ADANIPOWER,20210318,90.35,91.4,85.5,89.25,49924318,15485467
ADANITRANS,20210318,750.25,785,745,771.2,901859,356321
ADFFOODS,20210318,872.2,892,829.15,871.55,39414,17729
ADHUNIKIND,20210318,20.3,20.85,19.6,19.95,17676,10044
ADL,20210318,28.35,29.65,27.3,28.8,4363,0
ADORWELD,20210318,312.9,316.95,300.1,305.55,20075,10008
ADROITINFO,20210318,11.9,12.25,11.35,11.35,501,0
ADSL,20210318,52.7,53.15,48.15,48.5,1040750,388038
ADVANIHOTR,20210318,63.05,64.75,60,61.55,21326,15234
ADVENZYMES,20210318,376,380,358.1,366.55,307874,128365
AEGISCHEM,20210318,281.35,292.45,280,288.05,303525,147356
AFFLE,20210318,5875,5877.2,5525,5590.8,66470,38207
