<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20210122,37.3,38.4,37,37.55,87701,62089
21STCENMGM,20210122,11.35,11.35,11.1,11.15,2004,1674
3IINFOTECH,20210122,7.9,8,7.4,7.4,16655036,8675756
3MINDIA,20210122,20792,20871.3,20410.05,20473.7,4163,2529
3PLAND,20210122,10,10.4,9.5,9.6,9029,5636
5PAISA,20210122,294.5,297.9,285,287.75,32643,20710
63MOONS,20210122,78.1,79.9,77.5,77.9,23222,0
A2ZINFRA,20210122,4.85,4.9,4.75,4.85,288123,205066
AAKASH,20210122,90.6,92.35,90.6,91.45,81559,32414
AARON,20210122,49.55,52,47.65,48.25,5819,3376
AARTIDRUGS,20210122,694,700,684.1,686.1,270538,119820
AARTIIND,20210122,1185,1190.9,1132.5,1143.25,447812,281446
AARTISURF,20210122,968.35,972,940,950.3,11448,7387
AARVEEDEN,20210122,19.4,20.55,19.05,20.25,23250,0
AARVI,20210122,45.95,45.95,38.2,41.85,28356,25002
AAVAS,20210122,1954.35,1954.4,1844.05,1857.3,139276,83943
ABAN,20210122,28.6,29.45,28,28.3,35364,0
ABB,20210122,1380,1405,1367,1377.85,223509,68135
ABBOTINDIA,20210122,14549,14569.95,14350,14399.9,17701,9972
ABCAPITAL,20210122,87.45,88.55,85.55,86.5,2150929,553298
ABFRL,20210122,173.8,175.6,170.15,171.55,1348636,363152
ABMINTLTD,20210122,24.5,24.5,24.5,24.5,25,0
ABSLBANETF,20210122,317.95,317.95,308.46,308.46,435,74
ABSLNN50ET,20210122,342,347.95,328.15,328.69,327,77
ACC,20210122,1674,1708.95,1653.25,1694.85,1280708,333592
ACCELYA,20210122,945,947.8,911.5,918.9,7073,4310
ACCURACY,20210122,38.05,39.35,37.15,37.65,4911,4523
ACE,20210122,132.7,133.65,128.5,130.3,298590,168097
ACRYSIL,20210122,192.2,196.65,186.3,189.7,47500,36305
ADANIENT,20210122,534.05,546.75,521.6,526.8,4179558,498556
ADANIGREEN,20210122,1047.8,1065.45,1035,1047.85,651810,375816
ADANIPORTS,20210122,549.5,557.5,531.7,535.8,6843849,879819
ADANIPOWER,20210122,53.8,54.6,52.6,52.85,4805723,2630438
ADANITRANS,20210122,475.1,486,462.65,477.2,1428525,422560
ADFFOODS,20210122,583.1,619,583.1,609.8,39672,22148
ADHUNIKIND,20210122,24.4,24.4,22.85,23.05,9974,0
ADL,20210122,27.6,30,27.6,29,1149,0
ADORWELD,20210122,281.65,282.05,272,273.85,18012,10932
ADROITINFO,20210122,10.5,10.7,10.25,10.45,2748,0
ADSL,20210122,38.85,39.65,36.9,37,219913,138922
ADVANIHOTR,20210122,48.2,49.6,45.35,47.6,23696,0
ADVENZYMES,20210122,315.05,319.05,306.6,308.9,127432,68397
AEGISCHEM,20210122,277.9,286,274.7,284.1,588073,196923
AFFLE,20210122,3740,3860,3711,3777.95,53650,26492
AGARIND,20210122,159.85,160,150.2,155.8,23978,11994
AGCNET,20210122,750,762,750,760.3,3384,0
AGRITECH,20210122,37.5,37.5,35.5,35.8,1821,0
AGROPHOS,20210122,13.4,14.15,13.4,13.7,23048,18799
AHLEAST,20210122,165.05,165.85,163.05,164.55,848,726
AHLUCONT,20210122,276.6,286,272.25,284.9,95703,53199
AHLWEST,20210122,250.55,253.9,249.5,251.15,926,817
AIAENG,20210122,2193.5,2218,2050.05,2077.6,42449,24361
AIRAN,20210122,19.25,19.25,18.5,18.7,29207,21844
AJANTPHARM,20210122,1725,1740,1700,1721.15,43831,12849
AJMERA,20210122,131.2,133,128,129,78835,19725
AKASH,20210122,242.3,242.3,221.1,222.25,1156,597
AKSHARCHEM,20210122,273.65,277.6,261.95,263.95,14753,8181
AKSHOPTFBR,20210122,7.4,7.4,6.95,7.05,327911,190151
AKZOINDIA,20210122,2437,2530,2437,2480.6,30261,17443
ALANKIT,20210122,17.9,18.4,17.15,17.3,62376,46842
ALBERTDAVD,20210122,435.3,441.9,427,429.55,9035,5902
ALEMBICLTD,20210122,99.1,101.25,97.15,97.75,286271,127242
ALICON,20210122,416.7,427,412.9,418.35,14773,5376
ALKALI,20210122,60,60.15,55.85,57.05,46469,22695
ALKEM,20210122,3050,3110,2986,3034.9,116389,66086
ALKYLAMINE,20210122,4905,4939.95,4785,4800.95,29982,13532
ALLCARGO,20210122,133.8,134.1,130.8,132.65,412418,316347
ALLSEC,20210122,274.15,276.8,260.1,263.8,13282,6732
ALMONDZ,20210122,19.75,19.75,19.2,19.75,10587,7220
ALOKINDS,20210122,21.8,21.8,21.3,21.45,9431526,4798863
ALPA,20210122,36.8,36.8,35,36.05,40236,0
ALPHAGEO,20210122,193,195.45,188,189.7,12266,0
ALPSINDUS,20210122,2.6,2.6,2.4,2.6,88089,0
AMARAJABAT,20210122,975,1009.2,974,979.15,1633086,234138
AMBER,20210122,2528.4,2553.4,2471.2,2492.15,63601,20795
AMBIKCO,20210122,1005.95,1032.35,980.05,993.1,11223,7061
AMBUJACEM,20210122,255,259.9,250.9,257.7,6396348,1355721
AMDIND,20210122,19.3,20.05,19.2,19.35,11166,6964
AMJLAND,20210122,26.9,27.55,26.35,26.75,12512,9746
AMRUTANJAN,20210122,524.75,524.75,506,509.05,29419,13993
ANANTRAJ,20210122,36.95,39,36.35,39,1773725,984308
