<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20201020,28.2,28.25,27.1,27.85,28219,14134
21STCENMGM,20201020,9.7,9.7,9.55,9.7,289,159
3IINFOTECH,20201020,3.25,3.25,3.1,3.1,8674480,4564642
3MINDIA,20201020,18950,19265,18698.75,19073.45,2378,1347
3PLAND,20201020,6.6,6.6,6,6.6,247,246
5PAISA,20201020,336.5,355,336.5,350.55,26303,0
63MOONS,20201020,74.3,74.7,73,73.5,9529,5952
8KMILES,20201020,107.5,107.5,107.5,107.5,24353,0
A2ZINFRA,20201020,3.65,3.65,3.45,3.55,224863,102116
AAKASH,20201020,53,55.75,51.6,53.1,43248,20384
AARTIDRUGS,20201020,776,804.9,760,778.7,1118913,326194
AARTIIND,20201020,978.05,987.55,968.55,976.7,199723,97757
AARTISURF,20201020,583,583,570,583,60932,0
AARVEEDEN,20201020,10.85,10.9,10.45,10.75,7808,5843
AARVI,20201020,41,41,38.75,38.75,1110,1110
AAVAS,20201020,1478.9,1497,1455.85,1487.35,19668,8683
ABAN,20201020,22.8,24.25,22.8,22.95,23228,17034
ABB,20201020,895,895.9,882,884.85,33587,13748
ABBOTINDIA,20201020,15890,15890.1,15731,15796.05,18997,16217
ABCAPITAL,20201020,60.65,62.7,60.45,62.1,1536086,644741
ABFRL,20201020,145.95,148.8,142.2,144.55,4045614,1782977
ABMINTLTD,20201020,28.55,28.55,28.55,28.55,274,0
ABSLBANETF,20201020,244,244.89,224.64,233.99,229,155
ACC,20201020,1582.1,1622.1,1562,1579.55,6433390,414349
ACCELYA,20201020,1015,1015,964.95,981.75,4341,1559
ACE,20201020,70.05,71.8,67.2,69.95,183327,76021
ADANIENT,20201020,315.3,327.85,313.5,321.9,7199010,752965
ADANIGAS,20201020,186.25,192,184.65,191.2,1421782,428441
ADANIGREEN,20201020,694.95,707.6,685,688.7,261009,119446
ADANIPORTS,20201020,346.7,352.3,345.65,348.95,1999765,700933
ADANIPOWER,20201020,35.35,35.75,35.35,35.45,937414,548136
ADANITRANS,20201020,286.3,292,286,289.65,263102,184359
