<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20210127,36.35,37.6,36.35,37.4,76020,49027
21STCENMGM,20210127,10.75,11.15,10.75,10.85,3955,3140
3IINFOTECH,20210127,6.7,7,6.7,6.7,27424269,11371028
3MINDIA,20210127,20299.85,20299.9,19796,19845.85,9886,5510
3PLAND,20210127,10.4,10.4,9.5,9.7,4692,3949
5PAISA,20210127,282.55,286,272,276.15,26518,14923
63MOONS,20210127,76.85,79.35,73,75.15,34471,0
A2ZINFRA,20210127,4.65,4.75,4.35,4.7,428312,252721
AAKASH,20210127,91.5,91.5,89.7,90,34466,12535
AARON,20210127,50,50,47.2,47.2,1625,1325
AARTIDRUGS,20210127,719.3,725.1,692.05,695.9,586200,199322
AARTIIND,20210127,1145.5,1158.55,1122.65,1131.1,345588,224221
AARTISURF,20210127,910,949.95,910,915.8,10408,6561
AARVEEDEN,20210127,20.5,20.5,19,20.05,14385,0
AARVI,20210127,40.85,42.65,38.5,40.05,6474,5411
AAVAS,20210127,1825,1875,1777,1853.05,78320,30605
ABAN,20210127,27.2,29,27.05,27.45,30486,0
ABB,20210127,1350.05,1399.9,1346,1388.8,184995,78950
ABBOTINDIA,20210127,14600,14667,14403.1,14527,23458,14459
ABCAPITAL,20210127,84.1,84.4,80,80.4,3228975,1218066
ABFRL,20210127,164,171,161.05,162.1,2041719,590280
ABMINTLTD,20210127,24.45,24.45,24.45,24.45,5085,0
ABSLBANETF,20210127,311.95,311.95,295.1,297.97,225,158
ABSLNN50ET,20210127,339.13,339.13,326.21,326.21,11,8
ACC,20210127,1657.7,1675.95,1624.2,1637.85,891651,181316
ACCELYA,20210127,910.1,924.95,910,914.95,1188,715
ACCURACY,20210127,38.95,39.55,36.4,37.75,6569,5928
ACE,20210127,128.8,133.5,126.7,132.55,294953,129426
ACRYSIL,20210127,184.95,192.5,183,185.1,47263,32880
ADANIENT,20210127,513.1,521.55,507.05,512.8,2792007,328464
ADANIGREEN,20210127,1030.2,1050,1020.8,1028.55,510466,322122
ADANIPORTS,20210127,528.25,536,512.5,518.85,8920054,2047910
ADANIPOWER,20210127,50.95,51.15,49.4,49.6,4252119,2285104
ADANITRANS,20210127,468.35,487.45,461,464.05,600672,251637
ADFFOODS,20210127,610.2,610.2,595.05,604.8,17093,10229
ADHUNIKIND,20210127,22.95,22.95,21.55,21.95,11938,0
ADL,20210127,29.3,29.3,27,27.95,10732,0
ADORWELD,20210127,272.65,272.7,266.8,268.35,7273,3018
ADROITINFO,20210127,9.95,9.95,9.5,9.5,445,0
ADSL,20210127,37.8,37.8,35.7,36.1,103396,65917
ADVANIHOTR,20210127,46.8,46.8,44.5,45.55,6789,0
ADVENZYMES,20210127,306.05,329.5,305.75,321.55,375835,124879
AEGISCHEM,20210127,280.25,285,278.1,283.5,471086,223631
AFFLE,20210127,3788,3811,3700,3723.4,31549,14788
AGARIND,20210127,153.05,155.9,152.65,153.9,16347,11882
AGCNET,20210127,760,770,760,760,4413,0
AGRITECH,20210127,35.85,35.85,32.65,35.5,5488,0
AGROPHOS,20210127,13.4,13.4,12.6,12.65,49368,31914
AHLEAST,20210127,160.15,160.65,153,157,1859,1246
AHLUCONT,20210127,277.85,277.85,267.1,268.2,23639,9229
AHLWEST,20210127,254.45,254.5,247,247.15,426,212
AIAENG,20210127,1982,1996.9,1959.15,1982.65,52891,21656
AIRAN,20210127,18.35,19.65,17.9,19.25,289776,234800
AJANTPHARM,20210127,1760,1777.95,1721.15,1731.9,88649,34033
AJMERA,20210127,131,131.65,126.25,127.25,52808,14606
AKASH,20210127,233,243.1,220.5,236.35,15728,9383
AKSHARCHEM,20210127,265.65,274,259.9,263.15,32411,20453
AKSHOPTFBR,20210127,6.85,7,6.5,6.8,311829,153291
AKZOINDIA,20210127,2400,2412.8,2262,2297.8,30116,14668
ALANKIT,20210127,16.7,17,16.55,16.85,48410,34818
ALBERTDAVD,20210127,424,432.9,418,421.4,4882,2740
ALEMBICLTD,20210127,96,96.4,93.65,94,329500,113826
ALICON,20210127,421.45,424.75,405,417.95,10456,3126
ALKALI,20210127,55.55,58.4,54.35,56.95,40280,20941
ALKEM,20210127,3119,3151.5,2999.55,3049.6,107290,64451
ALKYLAMINE,20210127,4771,4813.85,4695,4707.75,22113,8974
ALLCARGO,20210127,130.7,132,130,130.45,397594,346548
ALLSEC,20210127,253.35,262.65,246.6,261.8,7541,4128
ALMONDZ,20210127,20.35,20.5,19.6,19.95,7209,4411
ALOKINDS,20210127,20.9,22.4,20.55,21.55,17054510,4246004
ALPA,20210127,36.55,36.55,35.15,35.6,14248,0
ALPHAGEO,20210127,184.6,189.8,176.4,183.85,3946,0
ALPSINDUS,20210127,2.55,2.65,2.55,2.65,29891,0
AMARAJABAT,20210127,971,981.9,952.7,956.25,582753,104689
AMBER,20210127,2511,2594.95,2481.45,2559.6,226599,129979
AMBIKCO,20210127,944.2,986.05,938.5,966.95,13268,5658
AMBUJACEM,20210127,256.1,260.5,251.2,252.5,9165809,4894308
AMDIND,20210127,18.85,18.95,18.2,18.3,10601,7462
AMJLAND,20210127,26.35,26.9,24.05,25.85,21193,10283
AMRUTANJAN,20210127,501,501,491.25,493.9,35653,17545
ANANTRAJ,20210127,39.65,40.3,37.7,37.85,1826045,1395347
ANDHRACEMT,20210127,5.6,5.7,5.35,5.45,215374,159655
ANDHRAPAP,20210127,204,209.6,202,208.45,21287,15592
ANDHRSUGAR,20210127,319.65,321.75,314.3,317.6,18287,9550
ANGELBRKG,20210127,366.2,370,355.75,367,144752,73904
ANIKINDS,20210127,15.45,15.75,14.65,14.85,7064,0
ANKITMETAL,20210127,1.35,1.35,1.35,1.35,5,0
ANSALAPI,20210127,8,8.45,7.9,7.9,96351,0
ANSALHSG,20210127,5.9,6.2,5.7,6.2,27957,17237
ANUP,20210127,700,713.6,691,697.65,17031,5847
APARINDS,20210127,354.2,367.45,352.95,355.45,64861,26725
APCL,20210127,201.8,207,200.05,201.2,39306,20783
APCOTEXIND,20210127,189.75,192.75,186,187.7,117209,52311
APEX,20210127,278.25,285,277.05,279.15,81579,29378
APLAPOLLO,20210127,957,957.95,901.1,939.55,363967,220167
APLLTD,20210127,954.6,968,944,951.05,495630,258474
APOLLO,20210127,128,128,120.85,121.4,122754,68220
APOLLOHOSP,20210127,2698,2749.65,2587.25,2600.4,1665899,483491
APOLLOPIPE,20210127,687.5,706.9,650.5,699,71941,45202
APOLLOTYRE,20210127,211,211,200,201.85,23956044,1843500
APOLSINHOT,20210127,528.1,560,507.5,547.55,1755,813
APTECHT,20210127,205,207.85,177.6,181.8,2897174,635591
ARCHIDPLY,20210127,34,35.05,33.1,33.95,15352,0
ARCHIES,20210127,12.4,12.7,12.35,12.4,29527,24866
ARENTERP,20210127,12.05,12.35,11.25,11.25,1501,1018
