<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20210316,37.8,38.75,37.45,38.4,76451,53789
21STCENMGM,20210316,13.5,13.5,13.5,13.5,101,101
3IINFOTECH,20210316,9.1,9.15,8.45,8.45,25390015,10786726
3MINDIA,20210316,27719.9,28640.1,27630,28029.3,9375,5080
3PLAND,20210316,9.4,9.6,9.05,9.2,3409,2079
5PAISA,20210316,276.3,288.7,274.45,284.1,35611,20393
63MOONS,20210316,79.2,81.85,77,78.45,59732,34020
A2ZINFRA,20210316,4.15,4.15,3.95,4,285654,235567
AAKASH,20210316,128.7,130.8,126.75,129.85,7648,0
AARON,20210316,59.05,64,59.05,62.15,1565,1116
AARTIDRUGS,20210316,685,709,685,689.65,953414,223057
AARTIIND,20210316,1278.9,1300.9,1268.3,1288.3,162087,69513
AARTISURF,20210316,1009,1009,977.1,980.3,8138,5139
AARVEEDEN,20210316,18.45,18.45,17.25,17.75,5472,4159
AARVI,20210316,56.95,56.95,53.05,53.65,6997,6130
AAVAS,20210316,2225,2262.1,2183.5,2251.35,60706,36939
ABAN,20210316,39.75,39.75,37.25,37.65,117574,83308
ABB,20210316,1454,1469,1425.95,1442.05,87214,27319
ABBOTINDIA,20210316,14530,14800,14300,14771.8,11455,5391
ABCAPITAL,20210316,128.8,132.7,126.95,128.35,4777558,869013
ABFRL,20210316,217.25,218,210.75,212.85,1783266,1123975
ABMINTLTD,20210316,61.3,61.35,58.25,58.25,1022,907
ABSLBANETF,20210316,349.53,367,345.25,346.34,361,154
ABSLNN50ET,20210316,369.25,369.25,350.01,353.69,153,73
ACC,20210316,1771.1,1789.75,1760.9,1766.15,530988,89369
ACCELYA,20210316,896.05,904,882.95,890.5,3463,2084
ACCURACY,20210316,54.95,55,53.55,54.85,49511,42726
ACE,20210316,173.2,174.3,168.35,170.55,291294,168624
ACRYSIL,20210316,345.05,361,340,346.6,53995,30701
ADANIENT,20210316,900.7,904.4,888.05,897.8,2555026,322814
ADANIGREEN,20210316,1209.9,1244.4,1206.3,1219.8,648757,345423
ADANIPORTS,20210316,731.4,735.7,714.25,717.35,14979009,2382011
ADANIPOWER,20210316,81.5,83.25,80,83.1,33636791,11617023
ADANITRANS,20210316,782.3,792.8,762,780.3,469636,193706
ADFFOODS,20210316,900,915,883,890.1,35372,9837
ADHUNIKIND,20210316,21.45,21.45,20.55,20.8,12291,7313
ADL,20210316,31.95,31.95,29.3,29.8,726,0
ADORWELD,20210316,325.8,327.4,317.4,324.75,25122,15684
ADROITINFO,20210316,11.4,12.5,11.4,11.4,3638,0
ADSL,20210316,42.9,46.65,42.5,46.65,644109,336354
ADVANIHOTR,20210316,62.45,62.75,59.75,59.85,25432,18694
ADVENZYMES,20210316,370,375,362.35,364.5,256574,118401
AEGISCHEM,20210316,290,295.2,285.6,287.95,304902,169839
AFFLE,20210316,5925.5,6005,5892,5949.75,55300,39566
AGARIND,20210316,145.55,145.55,140,140.75,6453,0
AGCNET,20210316,986.05,1009,986.05,1000.85,3898,3153
AGRITECH,20210316,33.7,35.7,32.7,35.55,10319,7767
AGROPHOS,20210316,12.1,12.6,12,12.1,15409,12656
AHLADA,20210316,104.8,104.8,99.45,100.85,5946,5493
AHLEAST,20210316,164.9,169.05,160.4,162.9,1145,621
AHLUCONT,20210316,310,311.5,298.05,303.05,23561,10541
AHLWEST,20210316,226.95,230.7,221.5,224.8,3597,2325
AIAENG,20210316,1920,1920,1881,1900.75,26869,18006
AIRAN,20210316,15.5,15.75,15.3,15.7,161837,157818
AJANTPHARM,20210316,1832,1832,1785,1793.75,52304,20171
AJMERA,20210316,125.6,128.4,125.25,126.1,44616,17648
AKASH,20210316,204.5,220,199.45,217.95,108729,46779
AKG,20210316,108,112.7,102,110.8,603544,186883
AKSHARCHEM,20210316,247.9,252.65,240.05,244.7,55641,40857
AKSHOPTFBR,20210316,6.4,6.65,6.3,6.3,153627,117950
AKZOINDIA,20210316,2328.95,2415,2318.55,2402.6,48586,25326
ALANKIT,20210316,16,16.15,15.9,15.9,51116,39589
ALBERTDAVD,20210316,397.65,400,395.1,396.55,4602,3015
ALEMBICLTD,20210316,98.9,100.65,98.9,99.65,161274,72007
ALICON,20210316,449.5,450.3,440.95,443.15,764,481
ALKALI,20210316,52.8,52.8,50.5,50.9,12958,8811
ALKEM,20210316,2686,2702.3,2645.95,2657.5,86396,35720
ALKYLAMINE,20210316,5260,5295,5201.55,5226.6,18090,7504
ALLCARGO,20210316,133.95,135.5,132.1,132.5,193888,96746
ALLSEC,20210316,323.65,329.85,323,324.9,2966,1517
ALMONDZ,20210316,30.6,31,30.5,31,30170,22353
