<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20201102,28.85,28.85,27.35,27.95,35759,17498
21STCENMGM,20201102,9.7,10,9.7,10,633,500
3IINFOTECH,20201102,3,3,2.9,2.95,1553850,1232510
3MINDIA,20201102,18675.3,19299.9,18400,19214.6,6612,4893
3PLAND,20201102,6.5,6.5,6.5,6.5,520,520
5PAISA,20201102,324.4,330,310.2,321,12695,0
63MOONS,20201102,79.65,79.65,71.1,74.95,82244,36389
8KMILES,20201102,90.4,91.8,84,91.8,57371,0
A2ZINFRA,20201102,3.75,3.85,3.65,3.75,213916,113907
AAKASH,20201102,51.05,53.3,50.6,52.45,29525,12090
AARTIDRUGS,20201102,678.4,678.4,650,654.95,845797,237029
AARTIIND,20201102,1028,1028,990,1010,144126,70115
AARTISURF,20201102,555,588.85,542.6,577.5,13964,0
AARVEEDEN,20201102,10.65,10.65,10.3,10.45,199,131
AARVI,20201102,36.4,38.35,34.5,35.05,5280,4238
AAVAS,20201102,1431,1468,1399.95,1425.75,32336,20271
ABAN,20201102,22.65,22.9,22.3,22.6,17588,12114
ABB,20201102,888,900.4,868.6,875.65,86892,52985
ABBOTINDIA,20201102,15300,15550,15150,15512,6686,4014
ABCAPITAL,20201102,65,69.1,63.85,68.45,3470015,1099516
ABFRL,20201102,154.65,154.65,150.55,152.05,881009,323716
ABMINTLTD,20201102,22.05,22.05,22.05,22.05,187,0
ABSLBANETF,20201102,249.9,250,236,247.55,8332,7753
ABSLNN50ET,20201102,274.7,282.98,267.81,280,64,53
ACC,20201102,1649,1671,1630,1665.85,1106012,121900
ACCELYA,20201102,867.9,980,846.55,848.85,16197,2749
ACE,20201102,71.7,73.15,69.3,72.55,154012,86987
ADANIENT,20201102,339.1,344.3,333.05,341.1,4272022,404645
ADANIGAS,20201102,221.4,226.6,216.1,219.35,4461172,1889830
ADANIGREEN,20201102,860,899.2,835.15,859.2,2583066,923509
ADANIPORTS,20201102,360,362.7,351.2,356.9,9364431,3592391
ADANIPOWER,20201102,36,36.5,35.85,35.95,1588332,864027
ADANITRANS,20201102,291.8,296.85,286,287.2,217259,87574
ADFFOODS,20201102,419.9,419.9,405.05,407.15,14734,7800
ADHUNIKIND,20201102,18.35,18.4,16.7,18.2,5405,4016
ADL,20201102,19.2,19.2,17.8,18,624,0
ADORWELD,20201102,240.95,240.95,236.1,237.75,4213,3074
ADROITINFO,20201102,6.5,6.5,5.95,6.5,5322,0
ADSL,20201102,22.45,22.45,21.2,21.85,207822,9507
ADVANIHOTR,20201102,39.9,40.75,38.1,39.05,4063,3010
ADVENZYMES,20201102,314.7,314.8,301,303.2,154325,81362
AEGISCHEM,20201102,209,210.5,204.2,206.35,159027,86600
AFFLE,20201102,2661.6,2724,2601,2654.25,36679,18722
AGARIND,20201102,85.05,85.05,82.2,83.15,4870,4305
AGCNET,20201102,634.5,640,581.25,587.5,28071,13335
AGRITECH,20201102,27.3,29.05,27.15,27.35,2975,2491
AGROPHOS,20201102,8.2,8.7,8,8.2,22872,10245
AHLEAST,20201102,131.6,135,130,132.05,1605,878
AHLUCONT,20201102,217.6,217.6,203.55,213.55,24013,12000
AHLWEST,20201102,245,260,245,249.6,1661,699
AIAENG,20201102,1729,1729,1620,1661.05,84306,42836
AIRAN,20201102,11.95,12,11.35,11.5,11176,5370
AJANTPHARM,20201102,1585.75,1589.4,1570.25,1575.85,99590,62273
AJMERA,20201102,82.5,89,82.5,86.6,284947,57094
AKASH,20201102,245,250,240,249.95,128,0
AKSHARCHEM,20201102,203.95,208.05,202.8,203.2,2244,1423
AKSHOPTFBR,20201102,5.8,5.8,5.45,5.55,153532,137037
AKZOINDIA,20201102,1991.65,1998.95,1951,1961.45,3135,1877
ALANKIT,20201102,15.8,15.8,15.3,15.45,23154,12852
ALBERTDAVD,20201102,384.05,398.25,383.25,389.45,5738,2977
ALCHEM,20201102,4.55,4.55,4.35,4.4,19193,18472
