<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20201027,27.9,28.2,27.1,27.45,12199,5708
21STCENMGM,20201027,9.75,9.75,9.6,9.65,1423,1421
3IINFOTECH,20201027,3,3.05,2.95,3,2478774,1678001
3MINDIA,20201027,18525,18660.15,18400,18454,4614,2476
5PAISA,20201027,342.2,346.25,336,338.4,11698,0
63MOONS,20201027,74.2,75.5,73.35,74.1,37656,22575
8KMILES,20201027,98.4,101.6,92,92.05,149314,0
A2ZINFRA,20201027,3.9,3.95,3.8,3.85,136254,82905
AAKASH,20201027,52,53,51.75,52.1,46987,24043
AARTIDRUGS,20201027,698.5,698.5,677.2,677.2,577406,284636
AARTIIND,20201027,980,1001.5,975,994.55,161998,76707
AARTISURF,20201027,563,563,541.15,550.75,5300,0
AARVEEDEN,20201027,10.9,11,10.35,10.6,1727,1209
AARVI,20201027,40.4,40.4,35.1,37.2,816,565
AAVAS,20201027,1488.5,1510.2,1480,1489.9,25410,4544
ABAN,20201027,23,23.4,22.75,22.95,32532,25240
ABB,20201027,886.8,936.95,884.15,929.55,239419,169086
ABBOTINDIA,20201027,15560,15679.3,15510,15552.4,10467,8432
ABCAPITAL,20201027,65.65,66.75,64.4,65.2,2254103,440135
ABFRL,20201027,160,166.9,156.8,165.2,5933369,1223390
ABMINTLTD,20201027,26.95,26.95,26.95,26.95,279,0
ABSLBANETF,20201027,239.77,248,239.77,247.51,275,270
ABSLNN50ET,20201027,283.03,283.03,283.03,283.03,5,5
ACC,20201027,1579.8,1700,1579.8,1683.85,3953879,1263316
ACCELYA,20201027,950,980,935,962.35,6964,2543
ACE,20201027,69.6,70.55,68.3,69.95,76193,32943
ADANIENT,20201027,308,315.35,303,314.05,3550035,437481
ADANIGAS,20201027,192.5,198.4,192.5,197.35,1208489,493399
ADANIGREEN,20201027,720.05,739.9,717.05,739.9,930072,543295
ADANIPORTS,20201027,360.2,366.2,351,364.4,5869581,1342010
ADANIPOWER,20201027,35.15,35.55,34.85,35.4,1159020,289677
ADANITRANS,20201027,284,291.75,284,288.9,105493,57955
ADFFOODS,20201027,414.95,415,404,411.7,24120,10151
ADHUNIKIND,20201027,18.55,18.85,18.15,18.45,3551,1948
ADL,20201027,18,18.7,17.2,18.7,5116,0
ADORWELD,20201027,240,242.7,234.2,238.2,7930,4914
ADROITINFO,20201027,7.4,7.5,7.05,7.05,3603,0
ADSL,20201027,22.95,22.95,21.65,21.8,133441,20982
ADVANIHOTR,20201027,40.15,41.6,40.05,40.95,3304,2512
ADVENZYMES,20201027,309.9,318,300.1,309.05,325490,102836
AEGISCHEM,20201027,219.65,219.9,212.65,218.15,348373,101139
AFFLE,20201027,2691,2733.95,2620.35,2714.65,34805,16958
AGARIND,20201027,89.6,89.6,84.25,84.65,5982,4738
AGCNET,20201027,599.7,633,549,616.7,181397,56374
AGRITECH,20201027,27.65,29.05,27.65,28.75,5535,3722
