<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20201210,36,36,34.75,35.55,67123,36709
21STCENMGM,20201210,10.05,10.25,9.85,10.25,12780,11220
3IINFOTECH,20201210,4.5,4.5,4.5,4.5,1151446,1151446
3MINDIA,20201210,22300,23200,22073.15,22523.05,4689,2234
3PLAND,20201210,11.8,11.8,11.8,11.8,9408,9408
5PAISA,20201210,339.95,339.95,322,327.5,10375,6567
63MOONS,20201210,83.45,83.45,80.1,82.05,26060,0
8KMILES,20201210,75,75.75,71.85,73.2,36941,0
A2ZINFRA,20201210,4.8,4.8,4.35,4.35,1081985,703478
AAKASH,20201210,55.3,56,54,55.4,84171,29505
AARON,20201210,49.7,51,48.05,49.85,5390,3186
AARTIDRUGS,20201210,780,780,762,766.8,475398,186615
AARTIIND,20201210,1220,1239.95,1203,1211.9,336328,232627
AARTISURF,20201210,985,985,944.8,966.45,23408,13126
AARVEEDEN,20201210,13.7,13.7,13.05,13.65,10084,8971
AARVI,20201210,39.7,42,39.7,41.65,4330,3782
AAVAS,20201210,1683,1683,1590,1636.05,53406,27582
ABAN,20201210,29.6,29.75,28.65,29.05,40075,0
ABB,20201210,1167.25,1186.8,1144.2,1158.8,310277,108857
ABBOTINDIA,20201210,15399,15699.95,15250,15568.3,18274,10494
ABCAPITAL,20201210,96.45,96.45,90.75,93.4,4427513,1819665
ABFRL,20201210,160.95,161.15,156.75,159.3,1379987,839748
ABMINTLTD,20201210,26,26,25.95,25.95,25,0
ABSLBANETF,20201210,309.3,310,301.24,305.07,21,18
ABSLNN50ET,20201210,310,312,301.7,305.52,296,211
ACC,20201210,1629,1649.95,1618.25,1632.65,1873212,347711
ACCELYA,20201210,973.75,988.9,940.6,951.1,12324,7190
ACE,20201210,119.1,125,112,122.1,606188,264406
ADANIENT,20201210,448,452.25,438.05,447.25,3113868,269222
ADANIGAS,20201210,364.7,364.7,352,355.2,1892985,994156
ADANIGREEN,20201210,1064.7,1067,1030,1036.7,568627,353670
ADANIPORTS,20201210,463.9,474.1,457,471,4785102,862937
ADANIPOWER,20201210,49.7,51.4,45.95,46.75,38777345,14956350
ADANITRANS,20201210,425,435.95,415,430.25,550671,206048
ADFFOODS,20201210,595,595,571.05,580.65,56628,27506
ADHUNIKIND,20201210,36.4,36.4,29.8,30.1,702701,330541
ADL,20201210,25,26.15,24,25.9,4780,0
ADORWELD,20201210,261.05,264.9,257.15,262.8,22266,13205
ADROITINFO,20201210,7.95,8.05,7.7,8,5738,0
ADSL,20201210,29.3,29.7,27.8,28,90113,56141
ADVANIHOTR,20201210,57,57,54.8,55.6,1557,0
ADVENZYMES,20201210,344,348.6,340.2,342.5,97894,51426
AEGISCHEM,20201210,258.5,258.5,244.35,251.65,253919,143958
AFFLE,20201210,3713,3720,3641,3663.6,43302,26089
AGARIND,20201210,100.1,104.8,100,100.45,13014,9208
AGCNET,20201210,600,621,600,617.9,5439,0
AGRITECH,20201210,43.7,43.7,39.6,40.35,32936,22300
AGROPHOS,20201210,16.55,16.55,15.25,16.5,293697,211278
AHLEAST,20201210,158.2,159.05,153.2,157.65,4775,2858
AHLUCONT,20201210,260,260,250,254.35,17999,12619
AHLWEST,20201210,294.05,294.05,272.8,279.4,2733,1400
AIAENG,20201210,2025,2049.95,1970,1977.55,28192,17811
AIRAN,20201210,18.2,19.65,18.2,18.55,75791,39776
AJANTPHARM,20201210,1682,1724.3,1676.2,1683.5,232382,44304
AJMERA,20201210,119.7,119.7,115.65,117.1,116570,35855
AKASH,20201210,257.2,257.9,245.25,249.8,12809,10436
AKSHARCHEM,20201210,239.95,240,230,231.75,18244,9642
AKSHOPTFBR,20201210,8.15,8.3,7.55,7.95,1002139,583927
AKZOINDIA,20201210,2220,2227.75,2189.05,2204.5,13618,9371
ALANKIT,20201210,17.25,17.4,16.6,16.95,88704,56647
ALBERTDAVD,20201210,454.4,470,452.5,453.1,8376,4636
ALCHEM,20201210,8.65,8.65,8.65,8.65,65386,65385
ALEMBICLTD,20201210,103.4,103.8,100.7,101.85,234747,120905
ALICON,20201210,355,357.65,340,351,6272,3936
ALKALI,20201210,52.05,52.7,49.6,50.35,98509,56901
ALKEM,20201210,2914.85,2929,2855.8,2918.3,167641,123774
ALKYLAMINE,20201210,3882,3884.65,3751,3837.35,28228,13030
ALLCARGO,20201210,131.05,141,127.8,139.1,2152736,1069571
ALLSEC,20201210,250.05,251.95,245.2,249.1,7826,6557
ALMONDZ,20201210,17.4,17.4,16.25,16.6,9462,7890
ALOKINDS,20201210,24.3,24.8,23.8,24.05,7952647,4093241
ALPA,20201210,39,39,36.85,38.6,55092,0
ALPHAGEO,20201210,214.95,214.95,207,207.9,11262,0
ALPSINDUS,20201210,0.95,0.95,0.95,0.95,5690,5690
AMARAJABAT,20201210,930.8,945,923,941.5,919539,172758
AMBER,20201210,2330,2398.5,2285,2334.7,221840,85262
AMBIKCO,20201210,814.85,859.75,759.8,826.9,61146,31245
AMBUJACEM,20201210,250.7,251,245.2,248.3,11038230,4148617
AMDIND,20201210,17,17.4,16.6,16.9,3329,2232
AMJLAND,20201210,25.5,25.95,24.05,24.85,45232,42485
AMRUTANJAN,20201210,513.4,513.7,500,504.5,50796,21556
ANANTRAJ,20201210,26.6,26.85,25.7,26,416175,312166
ANDHRACEMT,20201210,6,6.1,5.85,5.85,249334,231492
ANDHRAPAP,20201210,211.9,215,206.05,213.95,45238,26524
ANDHRSUGAR,20201210,311,318.1,305.05,310.85,95241,33386
ANGELBRKG,20201210,360.3,368.75,353.75,360.7,291865,106672
ANIKINDS,20201210,13.65,16,13.15,15.45,272693,165376
ANKITMETAL,20201210,1.2,1.25,1.15,1.15,214249,184963
ANSALAPI,20201210,6.75,6.75,6.15,6.15,308968,242650
ANSALHSG,20201210,5.55,5.6,5.2,5.25,132437,89933
ANUP,20201210,655.15,715,643.1,698.25,78287,38703
APARINDS,20201210,361,401.25,361,378.55,199832,90645
APCL,20201210,211.1,213,205.75,208.75,36493,21170
APCOTEXIND,20201210,171.8,171.8,164.25,168.85,49891,25906
APEX,20201210,300,300,292,294.4,85509,38043
APLAPOLLO,20201210,3801.35,3805.95,3725.05,3766.65,29891,14191
APLLTD,20201210,1052.25,1070,1026.05,1060.9,332580,156544
APOLLO,20201210,130.1,130.9,125.3,128.9,141616,62362
APOLLOHOSP,20201210,2454.95,2454.95,2370,2393.05,1121002,327976
APOLLOPIPE,20201210,671.8,671.8,651.1,658.45,8920,6408
APOLLOTYRE,20201210,185,186.4,180.95,181.5,7314086,1472472
APOLSINHOT,20201210,590.65,608.9,580,582.95,2181,1391
APTECHT,20201210,127.9,140.7,124.3,134.7,2454027,615772
ARCHIDPLY,20201210,29.7,29.7,27.65,28.25,40822,28079
ARCHIES,20201210,14.7,14.7,14.25,14.55,60628,49684
ARCOTECH,20201210,2.7,2.7,2.7,2.7,12235,12234
ARENTERP,20201210,11.5,11.7,11.05,11.15,397,340
ARIES,20201210,111.95,113.25,107,109.25,234745,75225
ARIHANT,20201210,19.35,20,18.3,19.95,11363,9712
ARIHANTSUP,20201210,29.35,29.5,26.85,28.95,1423,1029
ARMANFIN,20201210,679.9,679.9,640,654.75,13798,7571
AROGRANITE,20201210,39.3,39.3,38,38.85,12357,9178
ARROWGREEN,20201210,53.45,54.85,51.3,53,5921,4589
ARSHIYA,20201210,17.35,17.35,16.15,16.2,53578,29536
ARSSINFRA,20201210,19.75,19.75,18.8,19.15,29166,25627
ARTEMISMED,20201210,231.5,245.1,202.3,235.75,10791,7886
ARVIND,20201210,45.7,45.7,43.6,45.05,2041957,535003
ARVINDFASN,20201210,155,162.7,147.1,158.9,1092326,554049
ARVSMART,20201210,95.1,96.9,93.55,94.15,190888,111638
ASAHIINDIA,20201210,273,273,264.15,269.6,142802,124837
ASAHISONG,20201210,232.95,233,228.65,230.2,30343,17986
ASAL,20201210,28.35,28.35,26.6,26.7,1369,947
ASALCBR,20201210,296.9,299,290.4,293.5,35994,17872
ASHAPURMIN,20201210,78.1,80.4,77.4,78.85,98629,82451
ASHIANA,20201210,104.5,107.5,102.1,104,53073,24510
ASHIMASYN,20201210,12.85,13.2,12.55,12.9,1195082,0
ASHOKA,20201210,95.3,95.3,90,92.6,2713135,966494
ASHOKLEY,20201210,95.35,95.7,93.8,94.9,17591152,4611356
ASIANHOTNR,20201210,69,69.05,62.5,67.95,11135,5061
ASIANPAINT,20201210,2515.95,2552,2501,2526.05,2372909,514085
ASIANTILES,20201210,295,296.3,285.05,288.4,117345,38447
ASPINWALL,20201210,133.7,141.5,132.3,136.55,2041,1384
ASTEC,20201210,1058,1069,1011,1058,100444,46428
ASTERDM,20201210,164,164.75,160,161.1,139406,65471
ASTRAL,20201210,1423.35,1465,1407,1450.75,770807,673805
ASTRAMICRO,20201210,128,128.35,125.6,127.2,363308,215631
ASTRAZEN,20201210,4548,4574.95,4440,4487.65,46584,20917
ASTRON,20201210,57,58,55.25,56.8,194192,75999
ATFL,20201210,792.1,792.1,771.7,781.2,7299,4523
ATLANTA,20201210,9.3,9.3,8.75,9,13537,8510
ATUL,20201210,6100,6197,6015,6135.6,35398,18649
ATULAUTO,20201210,195.95,195.95,189,190.85,274878,122751
AUBANK,20201210,920.1,925,901.35,911.05,298753,134005
AURIONPRO,20201210,82.8,82.85,80.55,81.3,5870,3529
AUROPHARMA,20201210,889,907.95,888.8,899,3428679,1197197
AUSOMENT,20201210,54.7,54.9,53.2,53.4,3868,2084
AUTOAXLES,20201210,891.5,941,881,908.4,20591,7162
AUTOIND,20201210,40.6,40.6,37.45,37.45,70619,58528
AUTOLITIND,20201210,25,26.2,23.95,24.3,21386,14011
AVADHSUGAR,20201210,221.5,237,214.1,227.35,810180,224719
AVANTIFEED,20201210,525,536.25,520.35,526.95,160508,69500
AVTNPL,20201210,47.35,47.35,45.6,45.95,123040,57337
AXISBANK,20201210,624.5,632.45,620.35,627.05,16126862,5887252
AXISBNKETF,20201210,315,315,298.5,300.95,2256,1496
AXISCADES,20201210,54.65,54.9,52.75,54.4,61827,37235
AXISGOLD,20201210,42.99,42.99,42.6,42.63,67992,50539
AXISNIFTY,20201210,139.24,139.24,137.2,138.63,3596,2056
AYMSYNTEX,20201210,42,44,41.75,43.2,7527,0
BAFNAPH,20201210,178.9,178.9,161.9,178.9,23988,0
BAGFILMS,20201210,3.35,3.35,3.05,3.3,222096,177895
BAJAJ-AUTO,20201210,3306.2,3319.95,3272.05,3290.85,469288,173609
BAJAJCON,20201210,202.15,202.35,197,199.65,376996,156738
BAJAJELEC,20201210,624,629.3,613,618.6,100660,41730
BAJAJFINSV,20201210,9010.65,9074,8939,9028.85,466726,49129
BAJAJHIND,20201210,6.1,6.5,5.8,6.4,8146210,4454177
BAJAJHLDNG,20201210,3060,3068.95,3033.75,3048.75,28149,13940
BAJFINANCE,20201210,4850,4860,4785,4794.8,1925963,246639
BALAJITELE,20201210,70.85,70.85,67.4,69.55,200206,116024
BALAMINES,20201210,950,953.55,905.55,912.8,156741,86523
BALAXI,20201210,645.05,658,623.05,646.25,1076,635
BALKRISHNA,20201210,18.8,19.5,18.8,18.85,34569,0
BALKRISIND,20201210,1668.5,1698.1,1652.75,1658.2,1261160,343257
BALMLAWRIE,20201210,117,117.25,114.2,114.6,204054,108533
BALPHARMA,20201210,57.5,58.9,56.55,57.25,18465,0
BALRAMCHIN,20201210,165.95,170.2,160.75,169.05,2086248,712869
BANARBEADS,20201210,53.85,55.7,53.5,53.55,12054,9166
BANARISUG,20201210,1490,1490,1450,1452.75,1017,822
BANCOINDIA,20201210,138.4,139.5,135.3,136.3,489163,121244
BANDHANBNK,20201210,399.95,417.3,395.55,414.9,14568462,6406384
BANG,20201210,25,25,23.15,24.25,10484,7154
BANKA,20201210,42,45.75,41.45,43.95,8478,3893
BANKBARODA,20201210,64.95,66.8,62.9,66.35,69017267,12446671
BANKBEES,20201210,302.1,309.5,302.1,306.78,587328,164045
BANKINDIA,20201210,53.05,53.05,50.65,51.6,5215158,1276218
BANSWRAS,20201210,99.25,107.35,97,106.25,102483,67567
BASF,20201210,1623.65,1648.7,1591.85,1602.9,13080,8493
BASML,20201210,104,104,98.5,101.05,24666,15143
BATAINDIA,20201210,1571,1574,1546.1,1556.3,594062,143102
BAYERCROP,20201210,5256.05,5257.05,5150,5196.55,16874,8474
BBL,20201210,930,934.65,897,903.25,24014,12247
BBTC,20201210,1363,1373.7,1333.4,1362.25,90647,25113
