<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20201106,28.85,30.5,28.15,29.9,178629,131403
3IINFOTECH,20201106,3,3,2.9,2.95,1872177,1242478
3MINDIA,20201106,20003.05,20500,20003.05,20183.1,4490,3007
3PLAND,20201106,6.3,6.3,6.3,6.3,519,519
5PAISA,20201106,312.05,321,307,310.6,5789,0
63MOONS,20201106,73.9,74.5,72,72.35,38169,29470
8KMILES,20201106,111.5,111.5,100.9,100.9,145572,0
A2ZINFRA,20201106,3.8,3.85,3.75,3.75,82530,57614
AAKASH,20201106,53.25,54.45,52.85,53.2,36430,14815
AARON,20201106,33,33,30.3,32.7,58838,34704
AARTIDRUGS,20201106,662.75,673.9,651.05,658.7,658217,188367
AARTIIND,20201106,1088.8,1134.8,1083,1105.05,452197,200967
AARTISURF,20201106,616,616,616,616,11553,0
AARVEEDEN,20201106,10,10.7,9.65,10.6,4396,2161
AARVI,20201106,35.4,35.9,33.75,35.1,2675,1789
AAVAS,20201106,1445.05,1466.9,1434,1450.05,300870,291354
ABAN,20201106,23,23.45,22.65,22.95,44462,29014
ABB,20201106,914,941.75,905.1,937.85,251858,101578
ABBOTINDIA,20201106,15800,15998.5,15780,15897.8,4116,2167
ABCAPITAL,20201106,70.9,72.8,70.5,71,7303535,3334058
ABFRL,20201106,155.7,157.5,150.1,153.1,3062922,983410
ABMINTLTD,20201106,21.9,21.9,21.9,21.9,4109,0
ABSLBANETF,20201106,261.73,275,253.71,265.35,547,270
ABSLNN50ET,20201106,291.6,291.6,284,287.29,132,114
ACC,20201106,1701.9,1702.65,1650.1,1654.2,1287283,396554
ACCELYA,20201106,806,833,806,815,4891,2827
ACE,20201106,71.35,74.2,71,72.8,332793,156307
ADANIENT,20201106,352,353.85,345.05,352.1,3863486,409513
ADANIGAS,20201106,235.1,242.7,233.05,239.85,2417397,872313
ADANIGREEN,20201106,855,875,855,860,911015,567330
ADANIPORTS,20201106,368.65,375.9,365.8,371.1,7290106,2404474
ADANIPOWER,20201106,38,39.95,37.5,37.7,22800047,6528571
ADANITRANS,20201106,299.7,299.9,289.4,291.85,598578,327497
ADFFOODS,20201106,417.45,419,412.3,416.7,14832,8325
