<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20201123,32.2,32.65,31.3,31.7,87144,62538
21STCENMGM,20201123,9.9,9.9,9.6,9.8,1988,1462
3IINFOTECH,20201123,3.5,3.55,3.4,3.55,11534944,7220575
3MINDIA,20201123,21785,22421,21413.55,22330.2,9923,6048
3PLAND,20201123,7.05,7.1,7.05,7.1,205,105
5PAISA,20201123,360.35,360.35,344.3,355.9,15715,12611
63MOONS,20201123,76,82.05,75.95,81,226988,152692
8KMILES,20201123,85,89,83,86.65,52794,0
A2ZINFRA,20201123,3.75,3.85,3.7,3.8,545151,385881
AAKASH,20201123,53.5,54,52.4,52.8,84408,31205
AARON,20201123,51,51,47.35,51,37268,22296
AARTIDRUGS,20201123,685,711.7,675.65,711.7,1138140,539522
AARTIIND,20201123,1124.75,1145,1116.45,1135.55,193753,112363
AARTISURF,20201123,862.45,862.45,862.45,862.45,7137,0
AARVEEDEN,20201123,10.45,10.7,9.6,10.65,7145,4178
AARVI,20201123,38.75,39,37.25,39,208,106
AAVAS,20201123,1500,1610,1494.15,1527.4,414213,229183
ABAN,20201123,24,26.3,23.65,25.55,379440,151536
ABB,20201123,1129,1163,1050,1072.75,176903,82084
ABBOTINDIA,20201123,15400,15450,15169.65,15197.6,19703,14434
ABCAPITAL,20201123,82.05,87.3,82.05,84.05,5153497,1953433
ABFRL,20201123,159,160.4,156.4,156.9,1022634,561864
ABMINTLTD,20201123,24.3,24.4,24.3,24.4,1794,0
ABSLBANETF,20201123,296.85,296.85,285.81,289.25,307,232
ABSLNN50ET,20201123,295.61,295.85,288,288.59,250,248
ACC,20201123,1704,1757,1697,1725.55,2654717,752610
ACCELYA,20201123,882,882,845.1,860.75,3889,2046
ACE,20201123,89.45,95.5,89.45,94.6,702289,404634
ADANIENT,20201123,390.1,413.7,383.1,409.05,7318547,961143
ADANIGAS,20201123,358,365.75,340.95,344.65,4884218,1649758
ADANIGREEN,20201123,1155,1191.25,1150.1,1180.3,3863685,2307426
ADANIPORTS,20201123,375.85,379.35,370.3,375.15,4065424,1050441
ADANIPOWER,20201123,38.45,39,38.1,38.4,3848826,1470437
ADANITRANS,20201123,385.6,389.6,375,379.65,806504,384585
ADFFOODS,20201123,442.9,443.95,434.1,436.5,30578,16789
ADHUNIKIND,20201123,17.45,18.3,15.2,15.2,691039,408088
ADL,20201123,18.8,19.5,18.8,19.2,1485,0
ADORWELD,20201123,262.2,267.85,257.2,259.65,30669,14744
ADROITINFO,20201123,6.3,6.6,6,6.1,10664,0
ADSL,20201123,23,24,22.2,23.65,108474,68510
ADVANIHOTR,20201123,45.8,51,45.55,49.2,34278,27022
ADVENZYMES,20201123,335,342.5,332,337.3,170681,88265
AEGISCHEM,20201123,223.7,228,218.25,223,258252,163564
AFFLE,20201123,3240,3303.3,3240,3303.3,192022,95881
AGARIND,20201123,81.05,82.5,78.8,80.05,25966,15486
AGCNET,20201123,625,630,602,603.25,2952,0
AGRITECH,20201123,28.15,30.95,28,30.95,29896,20319
AGROPHOS,20201123,8.3,8.35,8.1,8.2,22103,16835
AHLEAST,20201123,139.95,139.95,133.4,134.2,3460,2843
AHLUCONT,20201123,245.8,245.8,239,243.85,32642,24108
AHLWEST,20201123,253,254.5,241.5,244.6,3100,924
