<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20201105,28.65,28.8,27.85,28.55,44638,33104
21STCENMGM,20201105,9.95,10.15,9.85,10,957,843
3IINFOTECH,20201105,3,3,2.95,3,1529551,867500
3MINDIA,20201105,19870,20250,19650,20214.25,4231,2686
3PLAND,20201105,6.5,6.5,6.3,6.3,110,110
5PAISA,20201105,316.05,320,303.6,309.05,3351,0
63MOONS,20201105,75.65,75.65,72.5,72.9,17582,12240
8KMILES,20201105,106.15,106.2,105,106.2,57589,0
A2ZINFRA,20201105,3.75,3.85,3.65,3.8,71453,40410
AAKASH,20201105,54,55.15,52.85,52.9,36949,15003
AARTIDRUGS,20201105,640,665.55,639.95,657.2,945296,217394
AARTIIND,20201105,1025,1085,1018.6,1076.95,554495,334153
AARTISURF,20201105,562.05,588.75,562.05,586.7,24596,0
AARVEEDEN,20201105,10.3,10.75,9.3,10.3,10648,6762
AARVI,20201105,34.9,35.6,34.6,34.65,1334,1305
AAVAS,20201105,1475,1497,1429,1433.55,191561,175372
ABAN,20201105,22.6,23,22.55,22.9,22844,15608
ABB,20201105,892.75,905,881,894.15,70353,27208
ABBOTINDIA,20201105,15860,15979.95,15750,15775.05,5085,3075
ABCAPITAL,20201105,68.45,70.5,67.7,69.5,3767087,1398623
ABFRL,20201105,150,155.85,148.65,154.7,2646129,1098532
ABMINTLTD,20201105,19.95,20.9,19.95,20.9,141,0
ABSLBANETF,20201105,256.5,269,251.7,261.73,360,178
ABSLNN50ET,20201105,274.43,290,270.36,284.01,407,296
ACC,20201105,1692,1703.2,1668.65,1699.4,1203200,269129
ACCELYA,20201105,820,836.05,800,818.05,10130,4570
ACE,20201105,73,73,70.65,71.2,111364,59788
ADANIENT,20201105,353,354.95,345.25,352.75,5361436,764301
ADANIGAS,20201105,234,236.65,227.6,235.45,2425581,967345
ADANIGREEN,20201105,812.5,868,812,854.6,1581863,882301
ADANIPORTS,20201105,366.05,374.65,364.3,368.65,16920686,9077164
ADANIPOWER,20201105,36.8,36.8,36.2,36.4,1795868,795830
ADANITRANS,20201105,298.2,304.9,293.5,299.3,886645,414893
ADFFOODS,20201105,412.55,419.5,405.55,417.45,20865,10769
ADHUNIKIND,20201105,17.8,18.4,17.8,18,7106,5165
ADL,20201105,17.3,18.7,17.25,17.65,3811,0
ADORWELD,20201105,243.9,250,240.1,247.5,20996,8257
ADROITINFO,20201105,6.1,6.1,5.9,6.05,693,0
ADSL,20201105,21.85,22.25,21.4,21.9,90622,20558
ADVANIHOTR,20201105,40.1,40.8,39,40.7,1949,1743
ADVENZYMES,20201105,286,302.6,282,300.25,312753,105897
AEGISCHEM,20201105,205.2,207.3,203.85,206.55,139437,92771
AFFLE,20201105,2675.8,2779.85,2642.95,2740,101953,58228
AGARIND,20201105,83.65,85,75.15,77.25,55780,49369
AGCNET,20201105,599,599,579,584.2,20616,5798
AGRITECH,20201105,27.6,28,27,27.75,6057,4277
AGROPHOS,20201105,8.7,8.7,8,8.15,18288,15040
AHLEAST,20201105,133.95,138.85,132.05,133.15,504,439
AHLUCONT,20201105,213.95,219,209.3,215.5,8671,5440
AHLWEST,20201105,249.6,251.05,242.5,245.95,549,286
AIAENG,20201105,1695,1754.7,1695,1750.1,16684,9577
AIRAN,20201105,12.25,13,11.6,12.3,389399,294999
AJANTPHARM,20201105,1626.95,1626.95,1596.3,1611.45,142609,52892
AJMERA,20201105,89,89.65,87.95,88.85,83759,31255
AKASH,20201105,245,249.5,233.65,249,4258,0
AKSHARCHEM,20201105,207.5,211,206.55,207.5,6749,3863
AKSHOPTFBR,20201105,5.45,5.7,5.45,5.6,131695,90879
AKZOINDIA,20201105,1934.55,1952,1920.6,1932.75,11520,6468
ALANKIT,20201105,15.4,15.5,15.05,15.3,30882,17848
ALBERTDAVD,20201105,399.95,406.9,395.35,398.35,9463,4834
ALCHEM,20201105,4.5,4.5,4.35,4.5,6232,5206
ALEMBICLTD,20201105,90.2,92,90.2,91.45,275953,111423
ALICON,20201105,303.95,311.85,299.4,303.4,6193,1595
ALKALI,20201105,48.5,50.35,48,48.9,18622,8076
ALKEM,20201105,2709.7,2765,2706,2750.6,134350,87877
ALKYLAMINE,20201105,3032.3,3173.9,3005.45,3160,64548,28265
ALLCARGO,20201105,120.1,121,119,119.2,100725,79168
ALLSEC,20201105,235.55,245,233.05,240.05,4109,2393
ALMONDZ,20201105,12.6,13,12.1,12.75,5563,3753
ALOKINDS,20201105,22.8,23.15,22.4,22.85,10455864,3948730
ALPA,20201105,36.55,38,36.5,38,100079,45948
ALPHAGEO,20201105,146.3,155,143,148.95,9282,6212
ALPSINDUS,20201105,1.15,1.15,1.05,1.05,4246,4046
AMARAJABAT,20201105,792.5,805,787,801.15,731149,169653
AMBER,20201105,2278,2296.55,2247,2266.9,105195,26193
AMBIKCO,20201105,720,729,697.7,708.55,36752,27929
AMBUJACEM,20201105,251.85,258.7,251,255.75,12065738,4050717
AMDIND,20201105,15.7,15.95,15.4,15.7,4514,3361
AMJLAND,20201105,19.9,20.75,19.05,20,5671,4393
AMRUTANJAN,20201105,416.25,429.95,415.5,427.35,84306,42152
ANANTRAJ,20201105,17.95,18.5,17.95,18.4,234105,226401
ANDHRACEMT,20201105,5,5,4.85,4.85,119748,97253
ANDHRAPAP,20201105,184.3,188,183.6,186.65,9049,4947
ANDHRSUGAR,20201105,274.3,276.95,272,274.05,18772,12530
ANGELBRKG,20201105,315.2,320,304.8,311.2,288705,109443
ANIKINDS,20201105,11.3,11.7,11,11.65,4435,3888
ANKITMETAL,20201105,0.85,0.9,0.8,0.9,82968,0
ANSALAPI,20201105,4.35,4.45,4.25,4.35,75442,57038
ANSALHSG,20201105,3.9,3.95,3.8,3.85,24428,15348
ANUP,20201105,551.1,564,540,543.45,11724,7004
APARINDS,20201105,286.9,314.4,285.05,301.85,273970,68549
APCL,20201105,199.95,207,196.9,202.05,64694,32500
APCOTEXIND,20201105,152,153.6,148.5,152.35,54094,34879
APEX,20201105,254.95,258.1,252.8,254.1,68445,26899
APLAPOLLO,20201105,3249,3260,3221,3239.1,70286,54223
APLLTD,20201105,1008.75,1009,978.15,994.5,284152,185747
APOLLO,20201105,100.25,118.7,100.25,115.85,650855,133824
APOLLOHOSP,20201105,2132.05,2139.55,2104.5,2122.6,466474,188832
APOLLOPIPE,20201105,527.9,527.95,508.05,522.7,174620,147461
APOLLOTYRE,20201105,150,151.8,144.55,147.8,16279196,2082225
APOLSINHOT,20201105,580.35,596,580.35,585.75,1456,848
APTECHT,20201105,112.2,114.9,112.2,112.8,101363,42052
ARCHIDPLY,20201105,26.2,27.4,26,27,81268,49696
ARCHIES,20201105,11.6,11.75,11.35,11.7,16497,11366
