<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20210303,37.4,39.2,36.95,38.15,216918,117594
21STCENMGM,20210303,11.95,11.95,11.85,11.9,2189,2189
3IINFOTECH,20210303,7.05,7.05,6.85,7.05,8877209,6148246
3MINDIA,20210303,25150,26000,24900,25962.2,10555,4724
3PLAND,20210303,9.85,9.85,9.25,9.3,13273,10849
5PAISA,20210303,271,271,263.5,268.25,38408,14233
63MOONS,20210303,81.9,82,80.15,80.7,48066,29793
A2ZINFRA,20210303,4.25,4.4,4.15,4.3,715000,526440
AAKASH,20210303,127,127.9,125.6,127.5,9341,0
AARON,20210303,57.15,62.6,55.25,58.65,8096,4934
AARTIDRUGS,20210303,652.5,695,651,684.9,1376756,460879
AARTIIND,20210303,1305,1310.4,1295.1,1300.75,283821,145494
AARTISURF,20210303,935.9,970.9,925.65,970.9,21871,20177
AARVEEDEN,20210303,18.6,18.6,18.1,18.3,7805,5487
AARVI,20210303,52.3,52.8,52,52.1,13872,12131
AAVAS,20210303,2274.5,2424.9,2262.05,2279.05,149912,64121
ABAN,20210303,36.4,38.3,36.15,38.3,373661,221203
ABB,20210303,1532.85,1550.4,1510,1532.7,154956,54495
ABBOTINDIA,20210303,14630,14844,14537.65,14613.9,12011,6461
ABCAPITAL,20210303,127.4,130.9,125.25,129.65,3813453,1892757
ABFRL,20210303,209.8,216.9,207.35,209,6527775,2512239
ABMINTLTD,20210303,80.15,80.15,72.55,80.1,17348,8411
ABSLBANETF,20210303,353.5,362.92,350.01,362.68,580,313
ABSLNN50ET,20210303,362,397.9,338.13,354.69,718,160
ACC,20210303,1784,1817.75,1773.2,1796.4,841356,212289
ACCELYA,20210303,901.85,920,901.85,906.6,2345,1165
ACCURACY,20210303,66.45,66.45,62,62.55,5944,3292
ACE,20210303,156.3,158.4,154.5,155.05,145682,75557
ACRYSIL,20210303,349.95,350,324.95,330.95,173820,93698
ADANIENT,20210303,880.45,944.9,872.85,915.35,11670544,1013517
ADANIGREEN,20210303,1178.9,1190,1162.05,1176.3,494659,274694
ADANIPORTS,20210303,732,754.95,723.4,729.85,19961472,4189813
ADANIPOWER,20210303,64,66.65,63.25,64.9,37166788,18159383
ADANITRANS,20210303,788.85,852.55,782.25,828,1454549,548219
ADFFOODS,20210303,885.8,894.7,875,879.8,36338,17547
ADHUNIKIND,20210303,21.4,21.7,20.85,21.3,18797,10906
ADL,20210303,31.55,32.95,30,31.2,5332,0
ADORWELD,20210303,317.1,324.95,312.3,314.4,41048,22883
ADROITINFO,20210303,9.55,9.55,9.1,9.55,1725,1725
ADSL,20210303,41.4,41.75,40.6,40.9,77199,55382
ADVANIHOTR,20210303,52.05,53.45,52.05,53,9152,7563
ADVENZYMES,20210303,355.95,368.95,354.55,361.9,300865,111349
AEGISCHEM,20210303,326.95,331.65,321,325.95,343694,140781
AFFLE,20210303,5898.9,5898.9,5618,5718.15,210265,99295
AGARIND,20210303,157,157,154.15,155.55,3335,0
AGCNET,20210303,1002.85,1005.9,989,1001.8,4977,3816
