<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20201209,36.6,37,35.25,36,137009,88245
21STCENMGM,20201209,9.9,10.05,9.85,10.05,436,436
3IINFOTECH,20201209,4.3,4.3,4.3,4.3,656035,656035
3MINDIA,20201209,22894,22894,22500,22550.5,2130,1193
3PLAND,20201209,11.25,11.25,11.25,11.25,6051,5940
5PAISA,20201209,355,357,333.05,334.8,28148,21540
63MOONS,20201209,84.5,85,80.1,83.65,58764,0
8KMILES,20201209,77,79.85,74.75,75,138184,0
A2ZINFRA,20201209,5,5,4.8,4.8,347073,288233
AAKASH,20201209,54,55.8,53.25,55.25,72644,31143
AARON,20201209,49,51,47.1,49.7,8768,5820
AARTIDRUGS,20201209,797,799.7,780,781.25,424056,193552
AARTIIND,20201209,1260,1260,1241.1,1254.1,400509,274758
AARTISURF,20201209,1000,1029,975,989.4,40455,20955
AARVEEDEN,20201209,13.3,14.4,13.1,13.7,30036,23338
AARVI,20201209,40.7,40.7,40,40.7,4014,3901
AAVAS,20201209,1651,1694.85,1651,1683.2,33215,17827
ABAN,20201209,29.7,30,29,29.75,67020,0
ABB,20201209,1162.95,1177,1152,1155.15,111606,50188
ABBOTINDIA,20201209,15480,15480,15350,15399.35,7754,4000
ABCAPITAL,20201209,93.4,97.9,93.25,96.25,7641674,2246900
ABFRL,20201209,161.55,164,159.65,161.25,1760366,920072
ABMINTLTD,20201209,26,26,23.6,25.95,2194,0
ABSLBANETF,20201209,310,310,297.51,304.72,396,161
ABSLNN50ET,20201209,307.5,311,307.5,311,11,10
ACC,20201209,1695,1699.1,1653,1656.6,1662078,439576
ACCELYA,20201209,893,967.5,892.65,954.4,15069,9046
ACE,20201209,123.95,125.25,120,120.9,195837,130227
ADANIENT,20201209,454,458.1,447.3,449.1,2798049,331029
ADANIGAS,20201209,355.95,368.95,350.1,362.85,2324761,1058501
ADANIGREEN,20201209,1100,1110,1050,1070.1,1080870,623923
ADANIPORTS,20201209,467.65,469.9,458.15,463.9,5811412,1003390
ADANIPOWER,20201209,53.05,54.2,48.65,49.25,47961895,17995167
ADANITRANS,20201209,432.65,435,425.1,426.55,336825,142634
ADFFOODS,20201209,586.95,618,580,595.85,157630,48121
ADHUNIKIND,20201209,33.1,33.1,33.1,33.1,59738,59366
ADL,20201209,23.25,25,23.25,24.95,1543,0
ADORWELD,20201209,257,266,257,260.2,42278,23149
ADROITINFO,20201209,7.7,7.7,7.35,7.7,1187,0
ADSL,20201209,30.05,30.05,28.6,29.1,101549,80999
ADVANIHOTR,20201209,56,57.4,55.25,56.6,6499,0
ADVENZYMES,20201209,343,359.7,343,346.05,281406,112215
AEGISCHEM,20201209,269.65,269.8,255,258.85,220792,138252
AFFLE,20201209,3686,3825,3676.15,3699.5,72038,31559
AGARIND,20201209,105.8,105.8,101,101.75,12223,7623
AGCNET,20201209,600.5,610,592.5,608,10431,0
AGRITECH,20201209,47.7,47.7,42,42.45,103693,65303
AGROPHOS,20201209,15.8,15.8,15.55,15.8,278607,265784
AHLEAST,20201209,162.45,164.85,154,158.05,3283,1957
AHLUCONT,20201209,260,263.9,257.8,260.2,13801,8390
AHLWEST,20201209,304.95,314.5,289,294.85,2345,1229
AIAENG,20201209,2049.35,2074,2020.55,2044.25,28099,16754
AIRAN,20201209,19.05,19.45,17.8,18.8,78145,54674
AJANTPHARM,20201209,1691.5,1700,1672.8,1680.45,234131,112571
AJMERA,20201209,117,123.25,117,119.05,301766,69699
AKASH,20201209,253.55,256.4,240.75,255.45,27604,16070
AKSHARCHEM,20201209,236.65,244.75,231.95,238.1,68115,29963
AKSHOPTFBR,20201209,8.15,8.2,7.3,7.95,976633,485200
AKZOINDIA,20201209,2245.75,2272.85,2219.75,2224.3,4807,2231
ALANKIT,20201209,17.85,17.85,17,17.25,430088,354207
ALBERTDAVD,20201209,458.45,462,450.5,452.2,13960,7952
ALCHEM,20201209,7.85,7.9,7.1,7.9,144452,109195
ALEMBICLTD,20201209,104,105.6,103,103.35,352932,161141
ALICON,20201209,358.05,367,356.3,359.45,5063,3922
ALKALI,20201209,48.3,52.6,48.05,51.75,175558,84880
ALKEM,20201209,2939,2939,2889.95,2906.55,70722,45164
ALKYLAMINE,20201209,3939,3940,3870,3882.25,25505,13254
ALLCARGO,20201209,130,132,128.7,130.75,401947,293765
ALLSEC,20201209,247.25,252.15,245.5,250.1,8825,7766
ALMONDZ,20201209,16.9,17.2,16.3,16.8,13060,10572
ALOKINDS,20201209,24.3,25.25,23.8,24.55,12104016,5439659
ALPA,20201209,37.5,39.55,37.5,38.15,45571,0
ALPHAGEO,20201209,211.7,215.2,210.5,211.55,19174,0
ALPSINDUS,20201209,1,1,0.95,0.95,3340,2440
AMARAJABAT,20201209,924.2,934.9,913.5,928.3,663466,135290
AMBER,20201209,2350,2386,2300,2308.85,102546,42397
AMBIKCO,20201209,827,827,795,801.3,22497,12299
AMBUJACEM,20201209,258.9,259.6,251,252.85,13190004,7497697
AMDIND,20201209,17.05,17.45,16.8,16.95,11551,8683
AMJLAND,20201209,25.25,25.6,24,25.1,34980,25650
AMRUTANJAN,20201209,516,527.9,510,512.9,97457,36137
ANANTRAJ,20201209,26.3,27.6,26.05,26.6,842962,581977
ANDHRACEMT,20201209,6.15,6.35,6.15,6.15,401999,329440
ANDHRAPAP,20201209,214.8,216.6,208.85,211.15,66674,36777
ANDHRSUGAR,20201209,300,316.05,300,310.15,117463,58298
ANGELBRKG,20201209,365.8,378,357.25,358.6,478312,213253
ANIKINDS,20201209,12.15,13.5,12,13.35,26668,23883
ANKITMETAL,20201209,1.2,1.2,1.05,1.2,209623,201309
ANSALAPI,20201209,6.45,6.45,6.05,6.45,248965,218483
ANSALHSG,20201209,5.3,5.35,5.15,5.35,52671,50470
ANUP,20201209,649,665,633.8,655.15,19032,13313
APARINDS,20201209,364.15,369.85,362,367,35873,24970
APCL,20201209,213.1,217.9,211.3,212.75,36498,22521
APCOTEXIND,20201209,173,174.6,169.9,170.95,59257,28962
APEX,20201209,295,303.3,294.4,299.65,169641,67558
APLAPOLLO,20201209,3790,3839,3763.1,3801.35,154209,115021
APLLTD,20201209,1035,1058,1016,1054.15,296380,167356
