<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20201201,32.45,33.5,31.75,32.95,103833,61350
21STCENMGM,20201201,9.85,9.85,9.55,9.7,2954,2223
3IINFOTECH,20201201,3.4,3.55,3.4,3.55,4156135,2960716
3MINDIA,20201201,21877.8,22755,21427.85,21945.45,10241,3066
3PLAND,20201201,8.55,8.55,8.55,8.55,14085,14070
5PAISA,20201201,332.3,333.9,326.4,330.6,4868,3931
63MOONS,20201201,96.95,96.95,88,89.05,474925,299290
8KMILES,20201201,87,87,84,84.35,28770,0
A2ZINFRA,20201201,4.1,4.25,3.95,4.25,579701,392983
AAKASH,20201201,54,54,52.55,53.45,135729,55083
AARON,20201201,58.5,58.5,58.5,58.5,7297,7296
AARTIDRUGS,20201201,715,715,685.1,705.05,396001,144288
AARTIIND,20201201,1161.1,1170,1144,1156.95,270398,158948
AARTISURF,20201201,1099.9,1099.9,1068.5,1099.9,33915,22674
AARVEEDEN,20201201,11.55,11.65,11.1,11.2,18543,13806
AARVI,20201201,39,40,37.3,40,1663,1629
AAVAS,20201201,1615,1648.2,1602,1638.4,242059,187897
ABAN,20201201,30.35,30.8,29.15,29.45,183727,124441
ABB,20201201,1081.15,1145,1073.85,1138.05,280795,111233
ABBOTINDIA,20201201,15425,15504.95,15350,15398.6,11889,7963
ABCAPITAL,20201201,89.6,94.5,88.9,93.6,7432377,2709969
ABFRL,20201201,164.4,165.95,160.55,161.35,2984535,1807062
ABMINTLTD,20201201,24.7,24.7,23.5,24.7,1089,0
ABSLBANETF,20201201,288.2,297,285.6,296.2,897,858
ABSLNN50ET,20201201,298,298,283.2,296.09,324,318
ACC,20201201,1738,1785,1705.9,1747.9,3242401,619530
ACCELYA,20201201,871,875,859,871.6,3284,2323
ACE,20201201,115,128.45,115,126.95,2949736,849625
ADANIENT,20201201,398,423.95,395.1,421.9,7846125,1145408
ADANIGAS,20201201,358.9,371.8,350,360.95,8799937,2725071
ADANIGREEN,20201201,1133.9,1156,1082.35,1134.7,2599117,1764356
ADANIPORTS,20201201,415,426,412,423.8,9170159,2295655
ADANIPOWER,20201201,38.75,41.8,38.65,41.05,27763237,10344739
ADANITRANS,20201201,379.85,383,372.05,378.95,533772,218306
ADFFOODS,20201201,461.15,478.5,461,476.15,118199,98343
ADHUNIKIND,20201201,17.2,17.5,17,17.25,48882,41231
ADL,20201201,21.5,21.5,19.6,21.4,3906,0
ADORWELD,20201201,264.65,269,263,266.1,29382,16775
ADROITINFO,20201201,6.05,6.25,6,6.2,5625,0
ADSL,20201201,25.8,27.6,25.75,27.6,294061,200269
ADVANIHOTR,20201201,59.4,59.65,55.1,56.2,52352,34641
ADVENZYMES,20201201,361.5,368,352.9,360.35,425057,228891
AEGISCHEM,20201201,262,269.15,245.6,261.55,1140682,756458
AFFLE,20201201,3570,3589.4,3521.05,3589.4,91844,54024
