<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20210108,41.8,42,40.2,41.65,600137,336262
21STCENMGM,20210108,10.8,10.8,10.5,10.75,5991,4913
3IINFOTECH,20210108,8.5,8.5,8.5,8.5,1852252,1429817
3MINDIA,20210108,21553,21898.95,21331,21735.4,15435,12447
3PLAND,20210108,11,11.35,10.6,10.95,8982,7819
5PAISA,20210108,310.35,335.75,295,315.1,31421,16964
63MOONS,20210108,81,82.5,79.75,80.85,61488,0
8KMILES,20210108,78.5,81.85,78.5,81.25,55781,0
A2ZINFRA,20210108,5.25,5.4,4.95,5.05,1121333,871783
AAKASH,20210108,78.45,78.75,77.5,78.55,26572,7944
AARON,20210108,53.4,54.1,52.2,54,5568,3837
AARTIDRUGS,20210108,731,749,728,736.05,824889,222023
AARTIIND,20210108,1282,1301.85,1270.5,1280.4,326480,211674
AARTISURF,20210108,1011.5,1029.8,1005,1008.4,13379,8730
AARVEEDEN,20210108,18.35,18.6,17.3,18,32393,0
AARVI,20210108,47.85,48.5,46.65,46.75,20493,15021
AAVAS,20210108,1896,1948,1896,1933.1,148479,108076
ABAN,20210108,31.15,31.2,30.2,30.55,73013,0
ABB,20210108,1307.55,1330,1300,1315,285838,236995
ABBOTINDIA,20210108,15549.9,15699.95,15445.05,15496.05,13199,8525
ABCAPITAL,20210108,93.7,94.2,91.55,92.4,4179333,1650340
ABFRL,20210108,168.6,170.55,165.5,166.45,1879933,614618
ABMINTLTD,20210108,25.5,25.5,24.25,24.9,649,0
ABSLBANETF,20210108,328.85,339.3,308.6,320.52,1084,1009
ABSLNN50ET,20210108,320,339.98,320,339.84,133,120
ACC,20210108,1720,1769.55,1713.05,1761.25,2133816,906875
ACCELYA,20210108,955.7,970,955.7,967.1,5085,3643
ACCURACY,20210108,37.95,39.25,37,39.25,158438,151771
ACE,20210108,144.9,146.35,140.8,141.95,267965,146362
ADANIENT,20210108,523,526.6,514.1,518,3702267,639016
ADANIGAS,20210108,371.45,374.5,367,369.35,1133002,774372
ADANIGREEN,20210108,1071,1076,1009.95,1014.9,1646213,931642
ADANIPORTS,20210108,520,527.35,514.5,517,7272250,1519864
ADANIPOWER,20210108,51.5,53.55,51.2,53.45,18350326,8664871
ADANITRANS,20210108,456.7,460,452.5,454.75,354700,165487
ADFFOODS,20210108,634.95,646.8,618.2,632,51750,26343
ADHUNIKIND,20210108,25.5,25.8,24.6,25.5,27016,0
ADL,20210108,33.35,33.75,32.5,33,8044,0
ADORWELD,20210108,301.2,317.5,300.4,310.55,123321,60121
ADROITINFO,20210108,11,11.55,10.45,11.5,31638,0
ADSL,20210108,43.8,44.45,41.5,43.55,304542,212211
ADVANIHOTR,20210108,51.7,51.7,50.2,51.35,7192,0
ADVENZYMES,20210108,331.95,334.5,325.55,328.1,137967,70099
AEGISCHEM,20210108,259.9,261.9,253.25,256.75,600620,445728
AFFLE,20210108,3967.05,4010.05,3935.95,3965.5,33515,18645
AGARIND,20210108,104.65,115.45,103,110.95,87806,47635
AGCNET,20210108,762,769.9,730.2,750.15,1282,0
AGRITECH,20210108,39.7,40.3,38.65,38.95,4454,0
AGROPHOS,20210108,15.85,16.2,15.6,15.7,92132,62759
AHLEAST,20210108,167.45,170,164.8,168.35,1686,1298
AHLUCONT,20210108,264.8,266,262.35,264.35,26530,16544
AHLWEST,20210108,259.35,264.75,259.3,259.95,1286,768
AIAENG,20210108,1976.95,2014,1975.05,2000.8,54808,41294
AIRAN,20210108,19.7,19.95,19,19.2,94431,73577
AJANTPHARM,20210108,1790,1834,1711.15,1790.45,318431,142273
AJMERA,20210108,140.95,142.9,137.2,138.8,96168,40885
AKASH,20210108,238,247.15,235,241.95,135923,130234
AKSHARCHEM,20210108,279.15,299,274,291,254861,77458
AKSHOPTFBR,20210108,9.35,9.5,8.35,8.6,1620145,1054844
AKZOINDIA,20210108,2430.5,2474,2380.2,2401.6,10368,5475
ALANKIT,20210108,19.2,19.4,18.65,19.15,201852,130176
ALBERTDAVD,20210108,470.9,471,458.55,460.8,15770,8243
ALEMBICLTD,20210108,106.05,108.45,105.4,105.75,477085,215828
ALICON,20210108,378.65,384.95,369,370.15,6342,2507
ALKALI,20210108,55.9,55.9,53.85,54.6,80772,50884
ALKEM,20210108,3020,3068.8,3000,3041.25,98299,44766
ALKYLAMINE,20210108,4830,4914.7,4690.45,4830.6,60588,18737
ALLCARGO,20210108,141.35,141.35,135.6,136.35,432316,209683
ALLSEC,20210108,288,288,276.1,277.3,16732,9348
ALMONDZ,20210108,20.55,21,20.3,20.55,8968,5030
ALOKINDS,20210108,23.05,23.1,22.7,22.75,7315418,3984567
ALPA,20210108,39.6,39.6,38.55,39,41385,0
ALPHAGEO,20210108,202.3,208.1,198,200.35,18805,0
ALPSINDUS,20210108,1.8,1.8,1.8,1.8,1590,0
AMARAJABAT,20210108,990,1006.65,990,1002,820276,199158
AMBER,20210108,2739,2743.85,2651,2671.15,179394,51662
AMBIKCO,20210108,929,1030,925,1011.45,123772,65701
AMBUJACEM,20210108,265,271.4,264.3,269.95,8135272,2979203
AMDIND,20210108,21.75,22,21.1,21.2,29980,26590
AMJLAND,20210108,27.6,28.75,27,27.35,25309,16203
AMRUTANJAN,20210108,546.3,566.7,543.6,550.3,147638,36708
ANANTRAJ,20210108,27.3,27.3,26.6,26.7,446624,263317
ANDHRACEMT,20210108,6.7,6.7,6.4,6.6,623582,443380
ANDHRAPAP,20210108,216.85,216.85,210.9,212.35,29118,17853
ANDHRSUGAR,20210108,334.8,336,326.5,327.55,80654,43938
ANGELBRKG,20210108,365,375.8,362,364,404986,200443
ANIKINDS,20210108,18.05,18.5,17.45,17.75,53103,0
ANKITMETAL,20210108,1.75,1.75,1.75,1.75,14432,0
ANSALAPI,20210108,11.2,11.2,11.2,11.2,82382,0
ANSALHSG,20210108,7.35,7.6,7.15,7.3,103662,79341
ANUP,20210108,770,770.95,717.6,725.1,24508,14317
APARINDS,20210108,352,369.8,352,358.75,141715,65903
APCL,20210108,216.5,220,211.55,212.35,63945,46670
APCOTEXIND,20210108,165.8,171.75,163.95,166.35,186649,92992
APEX,20210108,308,310.95,303,306.05,98616,50960
APLAPOLLO,20210108,922,967.9,918.95,962.1,1526888,1163790
APLLTD,20210108,1084.9,1109.55,1074.5,1092.9,251242,113775
APOLLO,20210108,122.85,131.5,120.45,130,548193,246637
APOLLOHOSP,20210108,2533.9,2579,2515.7,2553.5,862326,295645
APOLLOPIPE,20210108,711.95,718.45,705,708.2,22157,16957
APOLLOTYRE,20210108,194,196.55,191.75,192.6,9558639,2505901
APOLSINHOT,20210108,599.95,599.95,589.2,592.55,555,322
APTECHT,20210108,153.5,155.4,149.5,150.45,426497,171003
ARCHIDPLY,20210108,42.4,42.4,38.6,39.95,112537,63979
ARCHIES,20210108,14.55,14.75,14.3,14.35,172986,150934
ARENTERP,20210108,12.45,13,12.05,13,3419,2910
ARIES,20210108,107.8,110,106.35,106.95,128428,62756
ARIHANT,20210108,25.7,25.7,24,25.05,3773,2817
ARIHANTSUP,20210108,37.5,37.5,37.5,37.5,13950,13950
ARMANFIN,20210108,725,735,711.1,716.2,5279,3180
AROGRANITE,20210108,50.8,59.4,50.7,58.05,2539908,631182
ARROWGREEN,20210108,62.9,64.15,59.65,61.8,11714,4902
ARSHIYA,20210108,25.75,25.8,25.75,25.8,17817,17817
ARSSINFRA,20210108,28.85,28.85,28.85,28.85,6170,6170
ARTEMISMED,20210108,215.9,219,215,217.1,2033,0
ARVIND,20210108,50.8,51.5,50.25,50.95,1191491,538931
ARVINDFASN,20210108,169.75,172.4,165.4,167.2,433111,171917
ARVSMART,20210108,114,114.9,112,112.65,79980,43392
ASAHIINDIA,20210108,284.45,292.5,284.45,290.1,93510,60699
ASAHISONG,20210108,254.3,254.3,241.75,243.85,33811,25416
ASAL,20210108,28.9,29.8,28,29.15,17805,14032
ASALCBR,20210108,335.05,343,318,321.45,134427,65652
ASHAPURMIN,20210108,142.8,143,131.7,131.7,448375,272145
ASHIANA,20210108,104.55,105,103.2,103.9,70041,33964
ASHIMASYN,20210108,13.25,13.65,13,13.65,215053,0
ASHOKA,20210108,96,96.35,94.4,94.85,1202749,680232
ASHOKLEY,20210108,112.3,113.75,111.05,112.8,40182892,6251587
ASIANHOTNR,20210108,79.5,79.5,64.3,77.3,32922,10457
ASIANPAINT,20210108,2818,2849.8,2789.05,2844.7,1660967,678569
ASIANTILES,20210108,294.8,295,287.15,291.25,218844,74663
ASPINWALL,20210108,171.5,173,165.85,170.95,5583,4896
ASTEC,20210108,1294.8,1294.8,1250,1270.3,39881,20225
ASTERDM,20210108,167.25,168.75,165,166.45,139863,88890
ASTRAL,20210108,1739.5,1785,1725,1762.7,533530,472909
ASTRAMICRO,20210108,123.1,131.5,123.1,128.75,1185598,659043
ASTRAZEN,20210108,4391,4450,4360,4392.45,69303,17495
ASTRON,20210108,52.5,53.4,51,52.1,69089,38355
ATFL,20210108,845,865,844.05,849.8,22318,15775
ATLANTA,20210108,10.5,10.55,9.85,9.95,68199,50534
ATUL,20210108,6590,6679.9,6590,6640.55,97592,85131
ATULAUTO,20210108,187,188,184,184.6,113617,72761
AUBANK,20210108,899,916.3,887.9,893.6,987790,548422
AURIONPRO,20210108,89,93,86.4,87.5,27636,21370
AUROPHARMA,20210108,957,967,940.6,945.45,2685467,900517
AUSOMENT,20210108,52.65,53.45,52.25,52.3,7019,6305
AUTOAXLES,20210108,1085,1110,1081,1092.35,71827,61818
AUTOIND,20210108,35.5,36,34.25,34.75,26395,20838
AUTOLITIND,20210108,25.15,25.2,23.8,23.95,12856,9902
AVADHSUGAR,20210108,225,225.65,220,221.5,140666,55766
AVANTIFEED,20210108,517.1,523.9,517.1,521.45,201583,99847
AVTNPL,20210108,52.5,54.7,51,51.1,232190,136738
AWHCL,20210108,367.9,378.7,365.05,374.9,1002929,333462
AXISBANK,20210108,678,678.85,668.5,672.7,12272794,5669577
AXISBNKETF,20210108,320.25,321.12,318.88,319.46,396,210
AXISCADES,20210108,58.6,59.4,57.5,57.75,41613,20652
AXISGOLD,20210108,44.79,44.79,43.83,43.91,183476,160555
AXISNIFTY,20210108,146.48,148.34,146.48,148.07,4035,2655
AYMSYNTEX,20210108,43,44.1,41.3,43,7791,0
BAFNAPH,20210108,173,173,162,164.25,2516,0
BAGFILMS,20210108,3.45,3.45,3.25,3.4,179944,0
