<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20210212,39.65,39.9,37.7,38.25,265219,141196
21STCENMGM,20210212,12.25,12.25,12.25,12.25,14565,14565
3IINFOTECH,20210212,6.9,6.9,6.9,6.9,959621,959621
3MINDIA,20210212,20800,21035.85,20675,20710.9,2154,999
3PLAND,20210212,9.9,9.9,9.45,9.5,12059,6414
5PAISA,20210212,256.9,258.5,250.65,252.85,23789,13211
63MOONS,20210212,79.9,84.2,78,82.7,199490,119680
A2ZINFRA,20210212,4.2,4.55,4.15,4.45,443660,319897
AAKASH,20210212,110.5,115.95,109.2,112.2,10230,0
AARON,20210212,55.9,61.1,53.95,58.1,23592,15253
AARTIDRUGS,20210212,662.25,668.7,652.5,656,227265,117608
AARTIIND,20210212,1211.95,1237,1205,1214.15,322784,124331
AARTISURF,20210212,908.25,917.95,889,895.8,18401,11894
AARVEEDEN,20210212,20.35,20.8,18.7,18.95,70333,56706
AARVI,20210212,47.5,47.5,44.45,46.65,22017,14014
AAVAS,20210212,2370,2370,2277.1,2300.2,95779,44748
ABAN,20210212,29,29.45,28.65,28.95,85679,50496
ABB,20210212,1429,1480,1425.6,1466.85,224960,125057
ABBOTINDIA,20210212,14400,14460,14375,14439.1,12309,8094
ABCAPITAL,20210212,89.35,89.7,88.15,88.7,1305619,453516
ABFRL,20210212,168.6,168.85,164.5,166.45,1456945,399041
ABMINTLTD,20210212,42.75,42.75,42.75,42.75,765,765
ABSLBANETF,20210212,356.54,358.77,356.1,358.77,2363,1363
ABSLNN50ET,20210212,338,347,331.15,344,524,514
ACC,20210212,1751,1813.6,1716.1,1765.75,3673122,795063
ACCELYA,20210212,915,930,901.05,910,8736,2956
ACCURACY,20210212,58.25,58.25,53.1,55.05,36891,29056
ACE,20210212,163,164.85,161.8,164.4,332392,146829
ACRYSIL,20210212,265.85,265.85,243,265.85,256314,163586
ADANIENT,20210212,657,724.45,655.2,718.95,16810897,1103612
ADANIGREEN,20210212,1064.95,1081.7,1052,1068.95,4532486,2688437
ADANIPORTS,20210212,592.3,621.65,586.1,616.6,24953701,2468385
ADANIPOWER,20210212,54,58.5,53.3,57.25,36327365,11868248
ADANITRANS,20210212,593.5,632.9,589.15,627.55,2414639,621597
ADFFOODS,20210212,745.2,796,737.1,787.75,196006,46173
ADHUNIKIND,20210212,21.9,21.95,21.05,21.15,24331,15291
ADL,20210212,27.7,30.3,27.65,28.1,4747,0
ADORWELD,20210212,301.8,312.5,294.1,302.45,71563,21725
ADROITINFO,20210212,8.9,9,8.55,8.55,6825,6785
ADSL,20210212,38.95,41.45,38.55,39.3,153941,82758
ADVANIHOTR,20210212,48.95,52.35,48.85,52.25,76922,56955
ADVENZYMES,20210212,375.65,393.3,370.1,375.65,1245521,326222
AEGISCHEM,20210212,302.9,307.35,295,295.85,144800,74577
AFFLE,20210212,5347.15,5347.15,5347.15,5347.15,78588,78574
AGARIND,20210212,141,146.9,141,143.3,16578,0
AGCNET,20210212,900,920,879.95,907,13998,10073
AGRITECH,20210212,35.95,36,35.2,35.95,5232,3408
AGROPHOS,20210212,13.4,13.95,13.4,13.6,43076,29265
AHLADA,20210212,74.45,75,70,73.85,15539,11267
AHLEAST,20210212,162.3,163.2,155.55,157.4,1356,961
AHLUCONT,20210212,310,313.95,306.5,307.45,23945,13333
AHLWEST,20210212,246.4,259.3,240.8,245.15,6616,2520
AIAENG,20210212,1933,1978,1931.95,1967.15,33698,20793
AIRAN,20210212,18.15,19.6,17.8,18.9,335075,224149
AJANTPHARM,20210212,1829,1829,1792.15,1804.6,37163,13947
AJMERA,20210212,129.95,130.3,127.5,128.1,79932,20321
AKASH,20210212,238,242,218.05,230.8,31359,27967
