<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20210121,38.95,39.5,37.2,37.55,141568,80931
21STCENMGM,20210121,11.2,11.35,11,11.3,3851,3504
3IINFOTECH,20210121,8,8.3,7.7,7.75,21447649,13913013
3MINDIA,20210121,21400,21400,20700,20791.05,11113,8570
3PLAND,20210121,10,10.5,10,10,11687,8653
5PAISA,20210121,308.8,309,292.2,295.45,28985,18946
63MOONS,20210121,78.5,79.85,78.5,78.8,20361,0
A2ZINFRA,20210121,4.95,5,4.8,4.85,261598,191309
AAKASH,20210121,92.85,92.85,91,91.8,35066,16491
AARON,20210121,51.45,51.45,49,49.55,910,569
AARTIDRUGS,20210121,705.5,707,690.4,693.65,243515,129126
AARTIIND,20210121,1220.1,1225.15,1175,1183.9,542336,348334
AARTISURF,20210121,970,975,950,958.45,11612,8238
AARVEEDEN,20210121,21.15,21.15,19.8,20.05,6533,0
AARVI,20210121,46.6,46.6,45.5,45.8,19502,18562
AAVAS,20210121,1930,1981,1905.15,1928.1,675405,529652
ABAN,20210121,29,29.65,28.6,28.75,38231,0
ABB,20210121,1403.5,1408.75,1372,1377.3,69623,24090
ABBOTINDIA,20210121,14508.85,14647.95,14411.2,14487.8,28348,18737
ABCAPITAL,20210121,91,91.7,86.8,87.25,2898765,1332617
ABFRL,20210121,189,194.8,170.15,173.85,9245527,2244575
ABMINTLTD,20210121,24.5,24.5,24.5,24.5,122,0
ABSLBANETF,20210121,331.56,331.56,312.11,319.65,117,83
ABSLNN50ET,20210121,327,340,327,337.43,91,68
ACC,20210121,1720.4,1726.65,1656,1665.75,1486010,514853
ACCELYA,20210121,960,965,936.5,940.15,4943,3090
ACCURACY,20210121,39.45,39.9,38,39,93740,83943
ACE,20210121,138.95,138.95,132,132.8,279462,163607
ACRYSIL,20210121,197.95,197.95,191.5,192.2,31290,21998
ADANIENT,20210121,551.4,552.95,531.55,536.9,4208383,630128
ADANIGREEN,20210121,1021.75,1056,1016.5,1048.8,902543,581252
ADANIPORTS,20210121,561.85,561.85,542.65,547.65,8870257,2225834
ADANIPOWER,20210121,56,56.3,53.1,53.75,5170279,2923013
ADANITRANS,20210121,458.35,478,448,471.65,1905251,592885
ADFFOODS,20210121,590,607.15,590,594.7,34683,12466
ADHUNIKIND,20210121,24.7,24.7,23.6,23.9,27456,0
ADL,20210121,28,29,27.9,28.95,1451,0
ADORWELD,20210121,289.6,289.6,279.25,281.95,13598,7723
ADROITINFO,20210121,10.85,10.85,10.75,10.75,50,0
ADSL,20210121,40.2,40.85,38.35,38.8,116918,74115
ADVANIHOTR,20210121,50.8,50.8,47.5,47.7,5562,0
ADVENZYMES,20210121,325.95,327.95,311.25,314.2,145542,69914
AEGISCHEM,20210121,279,280.75,274.05,275.75,252522,171387
AFFLE,20210121,3824.9,3869,3655,3734.95,62598,36452
AGARIND,20210121,162.9,162.9,152.65,155.95,34959,19750
AGCNET,20210121,730,755.5,730,750.25,9362,0
AGRITECH,20210121,37.85,37.85,36,37.35,3868,0
AGROPHOS,20210121,13.95,14.3,13.85,13.95,52115,37597
AHLEAST,20210121,164.35,169.25,164.35,165.05,2653,2332
AHLUCONT,20210121,275,287,271.4,282.7,142242,84384
AHLWEST,20210121,252.85,258.5,249.4,250.85,1175,797
AIAENG,20210121,2200,2234,2165,2193.5,171124,133596
AIRAN,20210121,19.45,19.5,18.5,18.9,29102,22736
AJANTPHARM,20210121,1795.55,1795.55,1735.6,1743.55,73640,31628
AJMERA,20210121,135.2,136.5,130,131.2,44079,22327
AKASH,20210121,239.9,239.9,230.25,230.85,3616,2988
AKSHARCHEM,20210121,276.8,284.45,268.45,273.5,38320,16507
AKSHOPTFBR,20210121,7.45,7.7,7.25,7.3,313896,203892
AKZOINDIA,20210121,2450.05,2473.9,2405,2427.45,19856,13221
ALANKIT,20210121,18.3,18.3,17.75,17.9,42601,30214
ALBERTDAVD,20210121,448,448.55,437.25,440.75,6937,5162
ALEMBICLTD,20210121,102.6,103.25,99.2,99.9,312143,133532
ALICON,20210121,433.05,439,415.2,416.7,14158,5810
ALKALI,20210121,60,60.7,57.5,58.75,53802,31477
ALKEM,20210121,3095,3129.25,3032.2,3075.55,77641,49281
ALKYLAMINE,20210121,4950,4997.05,4840.4,4878.95,36331,11077
ALLCARGO,20210121,134.95,135,133.55,133.9,239862,170061
ALLSEC,20210121,292.85,292.85,271,273.6,27650,17031
ALMONDZ,20210121,19.5,19.75,18.45,18.85,76131,67296
ALOKINDS,20210121,21.9,23.35,21.7,21.8,10005459,5196458
