<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20210319,36.8,36.8,32,35.6,122629,77984
21STCENMGM,20210319,14.25,14.25,14.25,14.25,1864,1864
3IINFOTECH,20210319,7.45,8,7.3,8,26852282,9343934
3MINDIA,20210319,27200,28000.05,26675,27585.1,11797,7487
3PLAND,20210319,8.45,8.9,8.3,8.4,16918,13478
5PAISA,20210319,270.05,283.75,260,278.9,33734,21450
63MOONS,20210319,75.05,78.3,73.6,76,88810,57924
A2ZINFRA,20210319,3.85,3.85,3.7,3.85,388288,264375
AAKASH,20210319,126.8,131,126.8,130.35,63616,0
AARON,20210319,60.9,60.9,57.35,59.3,2421,1892
AARTIDRUGS,20210319,694,786,669,749.85,7824602,1445630
AARTIIND,20210319,1231.35,1275,1192.55,1256.75,508829,319581
AARTISURF,20210319,959.65,980,901.1,965.7,13913,7775
AARVEEDEN,20210319,17.75,17.75,17,17.1,4103,3333
AARVI,20210319,55,55,50.55,52.35,3543,2825
AAVAS,20210319,2193.3,2285,2193.3,2253.75,441974,390757
ABAN,20210319,33.25,33.25,32.35,32.35,98676,94671
ABB,20210319,1422,1433,1333,1413.85,157876,51189
ABBOTINDIA,20210319,14470,14860,14314.15,14794.95,17230,9871
ABCAPITAL,20210319,122.4,123.65,115.55,120.8,3895703,1319034
ABFRL,20210319,198.65,209.2,196,206.15,3555931,2010722
ABMINTLTD,20210319,53.25,54.95,53.25,53.25,477,413
ABSLBANETF,20210319,339,342.2,333.64,341.44,363,141
ABSLNN50ET,20210319,377.45,377.45,346.95,368.44,698,556
ACC,20210319,1721.8,1770,1692,1755,1091315,401944
ACCELYA,20210319,876.9,940,860.45,895.7,11707,3412
ACCURACY,20210319,52.7,52.85,52.1,52.6,2494,2121
ACE,20210319,152.9,159.5,145.05,156.15,417495,196466
ACRYSIL,20210319,311,335.45,304,335.45,115476,63058
ADANIENT,20210319,866,895.4,840.2,889.65,4794995,645991
ADANIGREEN,20210319,1129.9,1192.6,1081.1,1192.6,622620,359380
ADANIPORTS,20210319,677.4,691.5,657.1,686.25,10373422,1900394
ADANIPOWER,20210319,88,93,84.8,92.2,40856831,11433691
ADANITRANS,20210319,771,772,714,767.8,819318,264646
ADFFOODS,20210319,847,877.45,825,871.3,50067,14643
ADHUNIKIND,20210319,20.75,20.75,19.05,19.85,6434,4574
ADL,20210319,28.4,29.5,27.8,29.25,2502,0
ADORWELD,20210319,305.55,310,295.1,307.05,10044,3632
ADROITINFO,20210319,10.8,11.2,10.8,10.8,7027,0
ADSL,20210319,47.1,50.5,46.1,50,282552,128322
ADVANIHOTR,20210319,62,62,58.65,60.35,17488,12202
ADVENZYMES,20210319,364,364,341,355.5,319595,165437
AEGISCHEM,20210319,287.9,304.75,273.25,300.2,426341,231791
AFFLE,20210319,5524,5524,5311.3,5347.5,321380,237333
AGARIND,20210319,135.05,141,129.1,138.25,9680,0
AGCNET,20210319,1025.55,1048.7,991,1036.35,8026,6503
AGRITECH,20210319,33.1,35.5,31.2,33.55,7015,4547
AGROPHOS,20210319,11.6,11.6,10.55,10.95,65498,51078
AHLADA,20210319,94,97.35,90.4,96,2397,1936
AHLEAST,20210319,156.65,158.5,155.1,156.8,1811,977
AHLUCONT,20210319,301.2,308,287.75,304.3,55909,27798
AHLWEST,20210319,217.85,220.4,205.55,209.05,3404,1789
AIAENG,20210319,1838.9,1875,1793.25,1869.35,36645,27025
AIRAN,20210319,16.2,17.3,15.05,16.85,104627,59410
AJANTPHARM,20210319,1783.6,1832,1731.5,1809.75,95475,57227
AJMERA,20210319,117.05,118.9,111.45,114.3,90900,31355
AKASH,20210319,213,219.9,192.1,195.95,38876,27190
AKG,20210319,95.05,95.05,95.05,95.05,540,540
AKSHARCHEM,20210319,237.2,243.5,228.65,236.35,17672,9434
AKSHOPTFBR,20210319,6.1,6.2,5.6,6.1,308638,186770
AKZOINDIA,20210319,2260,2266.75,2147.85,2199.6,272598,245025
ALANKIT,20210319,15.9,16.2,15.4,15.75,105279,52143
ALBERTDAVD,20210319,387.1,395.55,380.1,391.6,8957,5249
ALEMBICLTD,20210319,101.5,101.5,98.15,100.65,352802,209402
ALICON,20210319,422.8,501.6,401.65,501.6,161025,81027
ALKALI,20210319,47.65,49.35,46.4,48.05,78048,70890
ALKEM,20210319,2608,2635,2584.4,2624.85,143667,96150
ALKYLAMINE,20210319,5447,5447,5147.75,5335.3,41895,13248
ALLCARGO,20210319,129.5,131.85,127.25,130.85,235401,126468
ALLSEC,20210319,308.85,308.85,285.5,306.7,7301,4512
ALMONDZ,20210319,27.35,28.35,27.3,28.15,6361,5861
ALOKINDS,20210319,19.8,20.15,19.25,19.9,35279371,28798085
ALPA,20210319,36,36.5,35,35.9,19615,13731
ALPHAGEO,20210319,189.1,198.9,182,197.45,23216,7377
