<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20210129,37.85,38,36.3,36.65,46077,24274
21STCENMGM,20210129,10.9,11.15,10.9,11.15,725,404
3IINFOTECH,20210129,7.2,7.25,6.65,6.65,29646491,18058265
3MINDIA,20210129,19631,19684.65,18928.75,19161.5,18837,14158
3PLAND,20210129,9.55,9.95,9.35,9.5,4528,2777
5PAISA,20210129,275,275,260.1,265.05,30621,20670
63MOONS,20210129,75.15,77.3,75.15,76.8,26262,0
A2ZINFRA,20210129,4.65,4.75,4.55,4.55,320555,200454
AAKASH,20210129,90.7,90.7,89.5,90,65843,24131
AARON,20210129,49.3,49.55,45.05,49.1,7111,2955
AARTIDRUGS,20210129,692.1,696.9,670,673.4,322134,116682
AARTIIND,20210129,1175,1193.75,1136.45,1159.25,979050,521640
AARTISURF,20210129,949.9,970,894.9,919.95,17013,9034
AARVEEDEN,20210129,20.3,20.9,19.5,19.7,3905,0
AARVI,20210129,42.4,44.35,41.7,41.95,4913,3293
AAVAS,20210129,1832.65,1833,1780,1807.75,62169,37201
ABAN,20210129,28.2,28.2,26.8,27,25865,0
ABB,20210129,1365.4,1405,1364.3,1388.3,166513,90290
ABBOTINDIA,20210129,14600,14640.65,14100,14222.05,29267,18151
ABCAPITAL,20210129,81.55,82.85,79.75,80.8,1947233,585925
ABFRL,20210129,154.9,157.6,149,150.1,3390594,1403104
ABMINTLTD,20210129,26.9,26.9,26.9,26.9,1169,0
ABSLBANETF,20210129,303,307,293.94,304.07,155,62
ABSLNN50ET,20210129,345.47,348,320,321.86,246,90
ACC,20210129,1645,1655,1593.4,1603.85,859756,256398
ACCELYA,20210129,934.25,934.95,916,920.35,1757,974
ACCURACY,20210129,37.75,38.05,35.85,36.1,1512,1284
ACE,20210129,136,136,127.3,128.45,374320,213713
ACRYSIL,20210129,190.05,193.25,184,186.85,15607,11227
ADANIENT,20210129,515.2,525.2,502.5,506.65,3822560,567084
ADANIGREEN,20210129,1035.6,1050,981.3,1004.9,1497461,835682
ADANIPORTS,20210129,527.55,533.1,507.1,509.7,6781488,1734454
ADANIPOWER,20210129,49.95,51.45,49.5,51.3,5298883,3080662
ADANITRANS,20210129,463.9,473.1,453,460.15,336323,93864
ADFFOODS,20210129,640.1,670,627.55,638.25,115591,46695
ADHUNIKIND,20210129,23.95,23.95,22.65,23,5354,0
ADL,20210129,28.5,28.5,26.25,27.85,1084,0
ADORWELD,20210129,268,271,265.95,268.5,9114,5617
ADROITINFO,20210129,9.3,9.5,9.3,9.3,4521,0
ADSL,20210129,38.9,39.75,38,39.75,122242,73803
ADVANIHOTR,20210129,45.8,47.45,45.65,46.2,4267,0
ADVENZYMES,20210129,321,323,312.5,316.6,77229,31127
AEGISCHEM,20210129,285,286.9,277.2,284.15,326986,173277
AFFLE,20210129,3745,3768.7,3630,3646,26140,13839
AGARIND,20210129,154,154.45,137.85,138.6,55817,47269
AGCNET,20210129,772,772,745,753.1,3025,0
AGRITECH,20210129,34.15,36.95,34.15,36.45,3314,0
AGROPHOS,20210129,12.65,13,12.3,12.85,52081,41255
AHLADA,20210129,70.45,71,68.7,71,21182,18769
AHLEAST,20210129,158.55,158.55,154.1,156.35,139,71
AHLUCONT,20210129,268.35,271.35,267.05,269.8,22575,12363
AHLWEST,20210129,251.85,251.85,246,246.35,305,166
AIAENG,20210129,1935,1959.9,1917,1954.15,35593,20493
AIRAN,20210129,19,19.2,18.7,18.75,21560,17459
AJANTPHARM,20210129,1769.5,1798.9,1745.4,1766,108535,44649
AJMERA,20210129,130.8,130.8,126.55,127.25,26053,10852
AKASH,20210129,234,234,224,226.55,62373,55565
AKSHARCHEM,20210129,265.75,268.15,258.85,260.85,9875,5779
AKSHOPTFBR,20210129,7.3,7.4,7,7.05,246243,144859
AKZOINDIA,20210129,2320,2339.9,2213.25,2228,22583,8669
ALANKIT,20210129,16.75,17.2,16.45,16.65,73908,36505
ALBERTDAVD,20210129,425.25,429.95,424.95,425.8,3438,2519
ALEMBICLTD,20210129,95.95,96.6,93.05,93.8,300501,123774
ALICON,20210129,429.45,429.45,407.75,410.7,3345,2197
ALKALI,20210129,54.15,55.1,53.05,53.65,11245,6572
ALKEM,20210129,3051.8,3071,2981.55,3006.95,122079,84767
ALKYLAMINE,20210129,4909,4994,4705,4783.4,33266,11154
ALLCARGO,20210129,130.4,131.8,130,130.6,144393,91698
ALLSEC,20210129,304.1,309,280,283.95,33687,16817
ALMONDZ,20210129,20.4,20.45,19.6,20,5580,4331
ALOKINDS,20210129,21.4,21.8,21.2,21.25,5918142,2255016
ALPA,20210129,35.8,36.2,35.6,36.05,7321,0
ALPHAGEO,20210129,202.65,202.65,202.65,202.65,4424,0
ALPSINDUS,20210129,2.75,2.75,2.65,2.65,22212,0
AMARAJABAT,20210129,969.35,972.2,911,918.2,962606,224193
AMBER,20210129,2586.7,2598.5,2546,2579.75,76618,35550
AMBIKCO,20210129,991.1,1023,986.7,993.5,15755,9365
AMBUJACEM,20210129,251.75,251.75,241.75,243.35,9156862,4977821
AMDIND,20210129,19.4,19.4,18.4,18.6,6805,3599
AMJLAND,20210129,26.1,26.1,24.8,24.9,10279,5430
AMRUTANJAN,20210129,500.55,508.3,490,493.95,30746,12065
ANANTRAJ,20210129,39.25,41.1,39.25,41,872255,620936
ANDHRACEMT,20210129,5.3,5.45,5.15,5.35,263713,170524
ANDHRAPAP,20210129,205,209,202,205.9,69022,44248
ANDHRSUGAR,20210129,320.9,322.95,307.75,309.6,32196,14658
ANGELBRKG,20210129,375,377.9,337.25,342.5,712678,262203
ANIKINDS,20210129,14.75,14.75,14.05,14.35,15032,0
ANSALAPI,20210129,7.6,8.25,7.55,8.25,78659,0
ANSALHSG,20210129,6.75,6.75,6.25,6.6,25777,17553
ANUP,20210129,725,728,702.35,708.85,11700,4347
APARINDS,20210129,362.95,409,360.2,363.7,192234,48802
APCL,20210129,204.05,207.7,203.25,205.35,22853,12899
APCOTEXIND,20210129,185,189.8,175.95,180.2,208385,77924
APEX,20210129,279.15,279.9,272,273.55,71971,33208
APLAPOLLO,20210129,937.65,938.5,904,906.65,556216,512623
APLLTD,20210129,950,963,928,952.7,568756,272055
APOLLO,20210129,121.65,124.9,120.6,121.2,92830,45793
APOLLOHOSP,20210129,2622.6,2676.5,2551,2561.25,921579,295187
APOLLOPIPE,20210129,706.5,715.75,697.15,709.5,51162,36338
APOLLOTYRE,20210129,206.5,208.75,195.35,196.65,21472526,1575370
APOLSINHOT,20210129,551.2,551.2,545,545.65,337,314
APTECHT,20210129,177.5,188.8,175.5,179.15,1415428,247977
ARCHIDPLY,20210129,34.7,35.85,34.35,35,9945,0
ARCHIES,20210129,12.5,12.55,11.9,12.1,47988,39047
ARENTERP,20210129,11.85,11.85,10.85,11.25,681,343
ARIES,20210129,96.5,99.5,93.9,95.65,78567,22584
ARIHANT,20210129,25.25,25.3,23.85,24.05,2136,1608
ARIHANTSUP,20210129,38.45,38.45,36.5,37,9685,6109
ARMANFIN,20210129,678,745,678,700.3,44889,22383
AROGRANITE,20210129,49,51,43.7,44.2,67373,44536
ARROWGREEN,20210129,60.9,61,52.7,53.6,11963,6128
ARSHIYA,20210129,28.55,29.15,28,28,26210,19057
ARSSINFRA,20210129,24.5,25.05,24.5,25,18089,14907
ARTEMISMED,20210129,212.95,212.95,204,210,3124,0
ARVIND,20210129,54.35,54.75,52.45,53.2,2146182,400119
ARVINDFASN,20210129,146.05,148.75,142.5,144.45,201718,116127
ARVSMART,20210129,99.9,101.7,97,97.7,78101,33769
ASAHIINDIA,20210129,266.95,268.9,263,264.4,54440,35515
ASAHISONG,20210129,252,254.95,245.5,246.15,41837,33811
ASAL,20210129,35.5,36.8,33.6,36.1,8886,6503
ASALCBR,20210129,307.7,316.75,305.6,308.9,41498,17380
ASHAPURMIN,20210129,118.55,123,115.1,117,226978,127382
ASHIANA,20210129,102,102.9,100.25,101.55,41258,25850
ASHIMASYN,20210129,13.5,13.75,13,13.1,11996,0
ASHOKA,20210129,88.85,90.7,87,87.4,693429,284180
ASHOKLEY,20210129,114.5,116.5,109.5,110.8,29598954,4829860
ASIANHOTNR,20210129,70.6,71.8,68.3,69.25,3914,2804
ASIANPAINT,20210129,2456,2484,2400,2407.35,2768673,1163289
ASIANTILES,20210129,291,292.1,286.7,288.85,203325,66724
ASPINWALL,20210129,152.15,158.9,152.15,152.5,1013,549
ASTEC,20210129,1061,1074.35,1030.5,1040.9,27392,14621
ASTERDM,20210129,155,161.3,155,158.45,201991,91819
ASTRAL,20210129,1720,1744.8,1696.4,1716.8,95996,37100
ASTRAMICRO,20210129,117,118.4,115.5,116.5,127203,59688
ASTRAZEN,20210129,3755,3780,3600,3625.45,41670,15930
ASTRON,20210129,42.85,43.2,41.8,42.45,29308,20336
ATFL,20210129,801.3,835,793.25,809.8,10322,5849
ATGL,20210129,382.3,389.4,377.75,381.05,1112580,760326
ATLANTA,20210129,8.8,8.9,8.2,8.35,60489,44046
ATUL,20210129,6340,6480,6324.55,6372.6,77724,31611
ATULAUTO,20210129,180,182.05,176,177.45,56550,27452
AUBANK,20210129,880,887.85,862.6,872.5,1127886,848189
AURIONPRO,20210129,76.45,77.6,74.3,75.25,13438,10138
AUROPHARMA,20210129,950,954.7,900.45,905.25,3208278,1098922
AUSOMENT,20210129,50.85,50.9,47.9,48.25,2382,1794
AUTOAXLES,20210129,1005,1025.05,995,1000.3,5123,2741
AUTOIND,20210129,33.15,33.15,31.05,31.25,10182,5953
AVADHSUGAR,20210129,199,199.9,192.2,193.45,35620,14603
AVANTIFEED,20210129,511,515.6,502,508.75,140541,65839
AVTNPL,20210129,44.4,44.85,42.8,43,209221,95676
AWHCL,20210129,279.5,288.5,279.5,282.65,194966,62297
AXISBANK,20210129,671,675.85,653,662.9,31273252,11654415
AXISBNKETF,20210129,305,310.48,302.02,305.31,694,381
AXISCADES,20210129,53.7,53.7,50.25,50.85,28980,15589
AXISGOLD,20210129,46.4,46.4,42.5,42.62,70447,53093
AXISNIFTY,20210129,153.88,153.88,143,144.98,7138,4611
AYMSYNTEX,20210129,43,45.9,42.2,45.9,54882,0
BAFNAPH,20210129,132.1,133.35,123,124.25,5475,0
BAGFILMS,20210129,2.5,2.6,2.4,2.6,154006,0
BAJAJ-AUTO,20210129,4168,4205.35,3990,4005.8,1406268,293774
BAJAJCON,20210129,213.5,214.5,208.2,209.25,422356,261388
BAJAJELEC,20210129,731.9,747.65,721,725.15,167871,26139
BAJAJFINSV,20210129,9041.95,9109.35,8675.55,8722.75,727352,152688
BAJAJHIND,20210129,6.8,6.8,6.5,6.55,2284879,1346625
BAJAJHLDNG,20210129,3245,3271.35,3226,3246.6,38051,26121
BAJFINANCE,20210129,4886.7,4950,4707.1,4734.55,4260795,717134
BALAJITELE,20210129,61.3,61.4,60.5,60.7,51888,19680
BALAMINES,20210129,1139.5,1153.05,1118.35,1124.4,58161,21449
BALAXI,20210129,545.25,579,524.3,527.2,2478,1624
BALKRISHNA,20210129,24,24,23.95,23.95,75,0
BALKRISIND,20210129,1668.65,1698.5,1580,1588.35,773217,390542
BALMLAWRIE,20210129,116.5,121.95,116.15,118.85,432998,136039
BALPHARMA,20210129,52.9,52.9,51.2,51.6,6880,0
BALRAMCHIN,20210129,172.8,174.2,170,171.25,200084,65617
BANARBEADS,20210129,58,59.4,57.5,58.15,27414,9395
BANARISUG,20210129,1470,1470,1446.45,1459.65,1129,961
BANCOINDIA,20210129,137.4,139.55,135.2,136.4,151183,55936
BANDHANBNK,20210129,316.2,318.2,306.5,309.45,14889735,5109221
BANG,20210129,26.75,27.2,25.85,26.4,3840,1462
BANKA,20210129,64.6,65.8,62.7,65.8,14665,13913
BANKBARODA,20210129,67.95,70.15,66.4,68.05,72845577,7312986
BANKBEES,20210129,343.7,343.7,303.48,307.06,815471,219735
BANKINDIA,20210129,49,51.05,48.8,49.8,4690747,867655
BANSWRAS,20210129,107.9,107.9,101.65,103.1,5613,3311
BASF,20210129,1610,1610,1550,1561.5,13028,7265
BASML,20210129,142.8,142.8,135.05,141.85,5004,0
BATAINDIA,20210129,1536.95,1544,1495,1501.3,340412,88013
BAYERCROP,20210129,5415,5473.95,5330,5373.25,18549,9623
BBL,20210129,886.2,896.3,870,874.8,10976,8537
BBTC,20210129,1218,1228,1192.9,1205.45,25754,11051
BCG,20210129,7.15,7.25,7,7.1,2330682,1272549
BCP,20210129,6.05,6.05,5.85,6,417353,0
BDL,20210129,330.3,335.45,330,331,99849,44296
BEARDSELL,20210129,9.7,9.7,9.3,9.35,6118,5487
BECTORFOOD,20210129,388,389.75,372.5,374.95,382485,187494
BEDMUTHA,20210129,26.8,26.8,26,26.35,4155,2984
BEL,20210129,130.8,136.25,127,130.05,25872491,9055230
BEML,20210129,905,929,901,910.8,386738,56210
BEPL,20210129,142,148.2,141.65,143.1,1020691,356645
BERGEPAINT,20210129,740,741.65,700,706.85,2035019,1058447
BFINVEST,20210129,275.95,278.35,268.15,271,14288,4120
BFUTILITIE,20210129,275.25,277.7,267.1,269.1,185548,45385
BGRENERGY,20210129,41.95,42.45,41,41.4,20438,0
BHAGERIA,20210129,160.25,165,153.5,157.55,56110,34291
BHAGYANGR,20210129,29.6,31.55,29.6,31,6521,0
BHAGYAPROP,20210129,23.5,24.45,23.5,23.55,15176,12766
BHANDARI,20210129,3.25,3.55,3.25,3.25,5163664,2237349
BHARATFORG,20210129,592.15,605,578.6,583.8,2767087,706335
BHARATGEAR,20210129,69.05,69.9,63.9,64.25,25469,0
BHARATRAS,20210129,9979.95,10099,9925,9990.05,2416,1363
BHARATWIRE,20210129,31.8,33.3,31.8,32.45,18871,14965
BHARTIARTL,20210129,578.5,578.5,550.6,553.6,25051621,11219875
BHEL,20210129,37,37.5,35.8,36.05,52158893,7181072
BIGBLOC,20210129,98.5,100.95,98,98.4,5151,0
BIL,20210129,143,143,132.35,138.5,1358,886
BINDALAGRO,20210129,17.1,17.9,17.05,17.35,45692,30944
BIOCON,20210129,385,386,369,371.8,6608798,2140885
BIOFILCHEM,20210129,102.9,102.9,102.9,102.9,23290,0
BIRLACABLE,20210129,61.8,63.5,59.5,60.35,127936,34070
BIRLACORPN,20210129,716.35,723.95,712.85,718.15,156264,95776
BIRLAMONEY,20210129,43.05,44.35,43.05,43.55,70473,32386
BIRLATYRE,20210129,30.85,30.95,29.65,30.9,706042,475958
BKMINDST,20210129,1.15,1.2,1.1,1.1,24958,0
BLBLIMITED,20210129,5.5,5.5,5.5,5.5,22347,22346
BLISSGVS,20210129,189,190,181.45,183.9,1115199,594615
BLKASHYAP,20210129,9.2,9.45,9,9.4,28895,0
BLS,20210129,104,104.5,102,102.55,52308,25389
BLUEDART,20210129,4358,4399.8,3950.1,3973.55,147702,59912
BLUESTARCO,20210129,739.65,744.75,702,734.15,281670,76227
BODALCHEM,20210129,71.3,72.65,70.3,70.9,261185,98407
BOMDYEING,20210129,75.05,76.25,73.25,73.85,1103433,291901
BOROLTD,20210129,186.85,190.95,181.55,183,121752,55747
BORORENEW,20210129,277.9,285,270,274.45,811389,378351
BOSCHLTD,20210129,15884.7,16071.2,15250,15327.5,68777,8047
BPCL,20210129,389.9,396.55,381.35,383.6,8258955,2966732
BPL,20210129,21.6,21.75,20.9,21,47553,28427
BRFL,20210129,11.4,11.8,10.95,11.7,424197,176445
BRIGADE,20210129,229.8,248.05,226.2,242.65,302177,140428
BRITANNIA,20210129,3605.2,3620.8,3480.2,3501.1,733173,403559
BRNL,20210129,33.4,33.4,32.4,32.6,61944,34656
BROOKS,20210129,64.9,64.9,61.55,62.7,18096,11747
BSE,20210129,592.6,600.85,582.6,588.15,143301,60250
BSELINFRA,20210129,1.15,1.15,1.15,1.15,16987,16741
BSHSL,20210129,140.1,142.95,128.15,134.85,17446,9186
BSL,20210129,32.3,32.95,31.65,32,995,0
BSLGOLDETF,20210129,4487,4517.6,4475,4499,253,177
BSLNIFTY,20210129,151,174,149.23,159.04,56249,48229
BSOFT,20210129,252.4,256.45,249,250.2,484466,271153
BURGERKING,20210129,140.65,142.5,135.5,137.6,1721136,673893
BURNPUR,20210129,2.2,2.25,2.2,2.25,21435,0
BUTTERFLY,20210129,513.15,544.8,510.2,512.7,92048,27937
BVCL,20210129,15.9,16.65,15.45,16.4,2472,0
BYKE,20210129,19.55,19.9,19.15,19.4,11923,0
CADILAHC,20210129,462.3,464.75,450,451.5,2561802,704713
CALSOFT,20210129,9.3,9.5,9.05,9.15,15377,12490
CAMLINFINE,20210129,103.9,109.8,101.45,106.7,279350,116876
CAMS,20210129,1810.4,1836,1758,1776.75,110295,75289
CANBK,20210129,130.05,135.95,127.75,132,36309236,3966399
CANFINHOME,20210129,493,493,477.75,480.3,1056163,775852
CANTABIL,20210129,375.15,375.25,370,370.95,106937,18030
CAPACITE,20210129,166.75,169.1,162,164.9,84576,20445
CAPLIPOINT,20210129,472,472.9,458,459.5,90106,51986
CAPTRUST,20210129,91.35,94.2,85.95,88.95,10810,6490
CARBORUNIV,20210129,421.2,424.05,395.55,403.9,376241,163109
CAREERP,20210129,160.1,161.95,158,158.45,21109,13283
CARERATING,20210129,491.9,491.95,480.65,484.1,50835,31650
CASTROLIND,20210129,127.1,128.75,126.3,128.2,1360412,864089
CCHHL,20210129,5.15,5.15,4.85,4.9,19100,0
CCL,20210129,244,244.5,238,238.75,279985,209370
CDSL,20210129,488.25,494.25,480,482.7,383457,139804
CEATLTD,20210129,1545,1554.75,1445.1,1470.9,424601,103606
CEBBCO,20210129,22.65,23.5,22.25,23.05,42881,0
CELEBRITY,20210129,5.55,5.7,5.5,5.6,6131,0
CENTENKA,20210129,227,227.5,222.95,224.05,28218,16123
CENTEXT,20210129,4.6,4.65,4.35,4.5,68859,0
CENTRALBK,20210129,13.55,13.7,13.3,13.55,4493626,1823947
CENTRUM,20210129,24,24.6,22.1,23.95,1813198,942646
CENTUM,20210129,464,468.95,431.1,435.6,6983,4024
CENTURYPLY,20210129,266.9,270,262.1,264.15,167787,66202
CENTURYTEX,20210129,419.35,423.9,410.65,418.9,674583,215333
CERA,20210129,3496.9,3549.55,3398.45,3419.2,4856,2307
CEREBRAINT,20210129,46.35,47.7,44.8,46.7,214667,131011
CESC,20210129,631,640,609,610.5,382655,117190
CESCVENT,20210129,304.8,304.8,294.05,297.6,26767,13789
CGCL,20210129,365,368.55,362,364.45,201066,147400
CGPOWER,20210129,40.4,40.8,39.55,39.75,932607,582594
CHALET,20210129,174,175.55,170,171.4,114038,49576
CHAMBLFERT,20210129,241.1,241.8,234,237.75,623750,154264
CHEMBOND,20210129,177.55,184.6,175.1,175.75,24558,13013
CHEMCON,20210129,431.5,434,421.1,423,125394,42789
CHEMFAB,20210129,136.7,137.3,133.05,133.85,2401,1412
CHENNPETRO,20210129,92.55,93.7,89.75,90.75,1813932,780851
