<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20201110,30.8,30.8,29.3,30.15,69691,39030
21STCENMGM,20201110,9.8,9.9,9.65,9.8,2722,2722
3IINFOTECH,20201110,2.9,3,2.9,3,1904191,1429060
3MINDIA,20201110,20444,20700,20110,20347.35,2904,1448
3PLAND,20201110,6.7,6.8,6.5,6.55,1267,1267
5PAISA,20201110,332.95,332.95,315.8,321.8,14287,12884
63MOONS,20201110,72.4,73.6,72.4,72.75,32819,26086
8KMILES,20201110,91.15,91.15,91.15,91.15,10471,0
A2ZINFRA,20201110,3.75,3.85,3.7,3.8,168369,128885
AAKASH,20201110,53.25,53.75,52.5,53,40287,17636
AARON,20201110,33.45,33.45,30.25,31.75,3622,1604
AARTIDRUGS,20201110,652,653.8,626,628.5,629704,250825
AARTIIND,20201110,1129.35,1129.5,1030,1081.9,281149,131026
AARTISURF,20201110,679.1,679.1,679.1,679.1,90471,0
AARVEEDEN,20201110,10.2,10.35,10.05,10.05,2374,1982
AARVI,20201110,37,37,35.1,36.7,2735,2711
AAVAS,20201110,1484.85,1540,1452,1526.15,41810,25150
ABAN,20201110,23.5,23.6,23,23.25,34131,23506
ABB,20201110,952.6,970,940,948.75,107797,70052
ABBOTINDIA,20201110,15688,15688,15400,15504.55,7282,3823
ABCAPITAL,20201110,71.25,72.45,69.75,71.55,3155056,1343928
ABFRL,20201110,152.9,160.9,152.15,157.45,6480847,3421543
ABMINTLTD,20201110,24.05,24.05,24.05,24.05,611,0
ABSLBANETF,20201110,284.4,291.26,272.7,285.68,321,172
ABSLNN50ET,20201110,291,291.55,277.7,283.7,100,88
ACC,20201110,1679,1696.95,1648,1659.3,1349064,412438
ACCELYA,20201110,864,865.25,841.65,856.65,6228,3468
ACE,20201110,77,79.7,76.6,77.35,436031,251167
ADANIENT,20201110,358.1,361.75,353.2,359.5,3590100,356877
ADANIGAS,20201110,240,240.4,231.25,236.7,2520564,1305704
ADANIGREEN,20201110,914.95,919,854.4,854.85,1327147,670215
ADANIPORTS,20201110,370.7,374.5,364.15,366.75,6850175,2734127
ADANIPOWER,20201110,37.15,37.45,36.25,36.35,2675677,1366644
ADANITRANS,20201110,312,318.65,308.45,314.8,859782,390520
ADFFOODS,20201110,444.95,448,420.05,436.4,117541,59587
ADHUNIKIND,20201110,18.3,18.35,17.8,18,10014,6135
ADL,20201110,16.4,17.75,16.4,17.75,2960,0
ADORWELD,20201110,246.9,246.95,240.3,242.4,5718,4205
ADROITINFO,20201110,6.35,6.4,6.05,6.35,1043,0
ADSL,20201110,20.5,21.8,20,20.95,222150,71783
ADVANIHOTR,20201110,41.8,46.9,41.1,45.4,53925,40293
ADVENZYMES,20201110,312.7,315.4,300.6,303,179003,93502
AEGISCHEM,20201110,204.45,207.2,202.95,205.05,204628,137023
AFFLE,20201110,2950,2964.95,2791.4,2791.4,88494,56694
AGARIND,20201110,85.9,86,82,83.05,30805,28427
AGCNET,20201110,655,659,600.2,600.2,12830,0
AGRITECH,20201110,27.2,28.2,27.1,27.2,966,695
AGROPHOS,20201110,8,8.4,7.55,8.2,21207,13951
AHLEAST,20201110,139.45,145,130.7,136.15,4831,1753
AHLUCONT,20201110,227.25,235,225.15,227.95,33204,22111
AHLWEST,20201110,252,253.95,242,248.3,2299,1061
AIAENG,20201110,1721,1758.95,1710.1,1732.7,45623,39263
AIRAN,20201110,12.7,13.5,12.5,12.95,134616,82129
AJANTPHARM,20201110,1586,1586,1520.05,1530.1,252820,168159
AJMERA,20201110,87.65,88.45,86.2,87.2,38448,19580
AKASH,20201110,272,281,260,268.25,59007,21101
AKSHARCHEM,20201110,209,209.5,201,203.85,5306,3718
AKSHOPTFBR,20201110,5.55,5.7,5.45,5.65,137949,111132
AKZOINDIA,20201110,2044,2044,1969,2000.45,20314,9572
ALANKIT,20201110,15.4,15.95,15.4,15.65,36884,30590
ALBERTDAVD,20201110,409.05,410,398,400.7,12076,9348
ALCHEM,20201110,4.9,4.9,4.4,4.5,12537,7543
ALEMBICLTD,20201110,92.2,92.4,87.8,88.6,281156,149490
ALICON,20201110,314,314.1,301,301.25,5460,1659
ALKALI,20201110,51.55,52.75,51,51.2,96006,54311
ALKEM,20201110,2730,2760,2680,2722.2,215032,148877
ALKYLAMINE,20201110,3294,3343,3225,3286.75,61238,20776
ALLCARGO,20201110,120,120.9,119.4,119.9,118445,80481
ALLSEC,20201110,236.15,236.2,225.1,230.2,13756,8564
ALMONDZ,20201110,12.55,12.55,12.2,12.2,2481,2370
ALOKINDS,20201110,23.75,24.55,23.55,24.55,9003800,5372344
ALPA,20201110,39.45,39.45,37.3,38.3,24591,0
ALPHAGEO,20201110,151.4,154.8,147.25,149.25,14236,9353
ALPSINDUS,20201110,1.05,1.05,1.05,1.05,10900,10900
AMARAJABAT,20201110,815.05,836,814.85,832.5,1312983,332444
AMBER,20201110,2230.35,2235,2165,2174.9,132383,33919
AMBIKCO,20201110,713.95,714.95,681.5,692.55,10877,7814
AMBUJACEM,20201110,251,256.4,248.4,249.9,8645746,3704394
AMDIND,20201110,16,16.6,15.6,15.9,6751,3968
AMJLAND,20201110,20.35,22,20.35,21.8,20564,14479
AMRUTANJAN,20201110,435.9,436.95,425,427.1,26671,14760
ANANTRAJ,20201110,18.2,18.25,17.8,17.95,182620,172836
ANDHRACEMT,20201110,5.05,5.05,4.9,4.95,188572,118492
ANDHRAPAP,20201110,189.1,195.5,188.05,191.45,25158,8852
ANDHRSUGAR,20201110,302.1,304,293.85,295.5,46194,20825
ANGELBRKG,20201110,339.9,345.9,323,327.85,721991,241538
ANIKINDS,20201110,11.05,11.4,11.05,11.1,4101,3745
ANKITMETAL,20201110,1.05,1.05,0.95,1.05,82763,72416
ANSALAPI,20201110,4.45,4.45,4.25,4.3,40615,34089
ANSALHSG,20201110,3.85,3.85,3.75,3.85,5303,4003
ANUP,20201110,589.9,592.8,568,589.05,9885,4936
APARINDS,20201110,305,317,302.45,307.55,44651,27296
APCL,20201110,205.1,208.25,199.95,201.3,52019,26644
APCOTEXIND,20201110,148.1,152.45,146.5,147.55,36348,20118
APEX,20201110,263.55,264.3,259,261.3,64900,36729
APLAPOLLO,20201110,3275,3290,3210,3239.55,90759,77531
APLLTD,20201110,975,979.95,937,938.3,356461,262748
APOLLO,20201110,109.7,111,108.1,109.5,72260,34464
APOLLOHOSP,20201110,2090,2090,1986,2033.4,2804380,1127629
APOLLOPIPE,20201110,602,624.9,575.25,616.85,213299,169286
APOLLOTYRE,20201110,159,165.5,157.65,164.6,8969133,2880482
APOLSINHOT,20201110,592.5,630,582.35,591.55,3206,1517
APTECHT,20201110,114.5,117.8,113.1,115.6,234267,54224
ARCHIDPLY,20201110,25.6,26.75,25,25.05,72286,18103
ARCHIES,20201110,12.6,12.6,11.85,11.95,23061,17038
ARCOTECH,20201110,1.9,1.95,1.9,1.95,16067,16067
ARENTERP,20201110,10.4,10.4,9.6,9.75,3139,2295
ARIES,20201110,83.85,84.6,81.6,82.35,33690,24499
ARIHANT,20201110,15.45,16.25,15.45,16.05,66,63
ARIHANTSUP,20201110,20.85,22.2,20.85,22,360,354
ARMANFIN,20201110,603.05,609.8,585.25,601.55,16172,9696
AROGRANITE,20201110,29.45,30.7,29.1,29.9,13442,6559
ARROWGREEN,20201110,46.05,46.5,45.95,45.95,3380,3076
ARSHIYA,20201110,13,13.55,12.9,13.15,11615,8236
ARSSINFRA,20201110,12.2,12.45,12.15,12.3,10053,10049
ARTEMISMED,20201110,158,161.45,158,158,376,348
ARVIND,20201110,34.1,35.9,33.9,35.5,1583134,1080445
ARVINDFASN,20201110,125.05,127.6,123.7,124.7,197221,112346
ARVSMART,20201110,85.85,86.55,85.05,85.4,31581,15544
ASAHIINDIA,20201110,225.6,228.85,222.15,224.15,22361,14460
ASAHISONG,20201110,240.15,241.5,235,236.4,43080,32384
ASAL,20201110,21.5,21.6,20.9,21,6945,6238
ASALCBR,20201110,255,270,252.55,257.3,44253,24469
ASHAPURMIN,20201110,85.25,85.25,79.7,81.6,161123,100048
ASHIANA,20201110,78,81.5,77.2,79.7,61566,47905
ASHIMASYN,20201110,8.5,8.7,8.05,8.2,31389,16714
ASHOKA,20201110,63.25,64,62.35,62.75,509283,313282
ASHOKLEY,20201110,85.7,91.95,84.55,91.05,89848392,21377493
ASIANHOTNR,20201110,55.5,57.4,51.65,55.65,12518,5604
ASIANPAINT,20201110,2225.2,2238.55,2189,2199.75,1879561,647806
ASIANTILES,20201110,282,283.5,277.2,279.75,223317,89646
ASPINWALL,20201110,119.7,121.35,116.55,116.95,1163,571
ASTEC,20201110,1088.5,1088.5,1036.7,1046.1,63161,26700
ASTERDM,20201110,137,138.45,134.25,134.95,102563,55547
ASTRAL,20201110,1229.9,1278,1220,1270.15,284374,153074
ASTRAMICRO,20201110,109.3,109.3,107,107.05,121984,84608
ASTRAZEN,20201110,4279,4298.75,4180,4196.45,33995,17979
ASTRON,20201110,45.5,47.05,42.2,43.7,110894,62312
ATFL,20201110,714.4,721.8,703.2,705.3,6013,3427
ATLANTA,20201110,6.6,6.75,6.4,6.45,12558,7816
ATLASCYCLE,20201110,37.5,38,35.65,36.05,47945,0
ATUL,20201110,6242.95,6320,6212.25,6249.8,25054,15022
ATULAUTO,20201110,160,160.5,157,158.4,125710,89765
AUBANK,20201110,820,862,814.95,857.4,1875771,1236594
AURIONPRO,20201110,71.2,72,69.1,70.2,24217,20185
AUROPHARMA,20201110,789,790.4,754,761.05,3301896,1109578
AUSOMENT,20201110,79.8,83.3,74,78.8,211679,82959
AUTOAXLES,20201110,727.75,738,716.6,722.1,18102,11109
AUTOIND,20201110,27.55,28.5,27,27.5,14900,10934
AUTOLITIND,20201110,18.55,19.15,18.5,18.9,2584,1917
AVADHSUGAR,20201110,189,192,180.05,182.4,86909,25773
AVANTIFEED,20201110,508,508.65,500.5,501.85,277302,123766
AVTNPL,20201110,44.2,44.25,41.65,42.95,130577,93339
AXISBANK,20201110,572,588,568.25,583.6,34935409,11715211
AXISBNKETF,20201110,274,285,274,282.24,30330,28393
AXISCADES,20201110,42.8,46.4,42.8,44.2,53025,28599
AXISGOLD,20201110,44.5,44.5,43,44.14,214989,147228
AXISNIFTY,20201110,129.73,130.95,127.94,130.41,7678,5799
AYMSYNTEX,20201110,31,31,29.25,30.15,25055,16649
BAFNAPH,20201110,162.25,162.25,162.25,162.25,4282,0
BAGFILMS,20201110,2.4,2.5,2.4,2.5,43171,40721
BAJAJ-AUTO,20201110,3015,3022.5,2967,2997.5,664054,212524
BAJAJCON,20201110,186.75,187.5,182.8,183.1,289136,182822
BAJAJELEC,20201110,498,500.55,490,491.45,128130,39323
BAJAJFINSV,20201110,6450,6733.75,6311.05,6687.65,2170438,326199
BAJAJHIND,20201110,4.65,4.65,4.45,4.5,2011632,1371024
BAJAJHLDNG,20201110,2447.45,2538,2447.45,2523.25,64546,26757
BAJFINANCE,20201110,3898.95,4243.95,3882.8,4208.55,11421448,1886167
BALAJITELE,20201110,63,63.9,60.8,61.7,123483,62208
BALAMINES,20201110,870.1,911,846.4,873.85,321718,110812
BALAXI,20201110,829.95,829.95,753.8,753.8,2306,2084
BALKRISHNA,20201110,13.1,14.1,13.1,13.45,22397,20527
BALKRISIND,20201110,1500,1502.95,1442,1475,1056802,213100
BALLARPUR,20201110,1.25,1.25,1.15,1.2,473516,440561
BALMLAWRIE,20201110,102.15,102.15,100.5,100.7,139698,97665
BALPHARMA,20201110,60.9,60.9,56.05,56.15,31038,0
BALRAMCHIN,20201110,150.4,151.4,148,148.7,1026977,658521
BANARBEADS,20201110,53.6,55.6,52.3,53.55,3785,2294
BANARISUG,20201110,1301.55,1311.8,1300.15,1306.75,250,173
BANCOINDIA,20201110,93,93.65,91.2,92.75,61989,32853
BANDHANBNK,20201110,345,354,335.2,344.95,17711644,4529250
BANG,20201110,19.85,20.7,18.55,19.3,5102,3736
BANKA,20201110,40,40,37.1,38.6,1665,1617
BANKBARODA,20201110,47,48.8,46.5,48.2,39007158,7931666
BANKBEES,20201110,279.4,289.85,279.11,288.14,2369396,1016125
BANKINDIA,20201110,41.1,41.8,40.9,41.25,3041406,1227264
BANSWRAS,20201110,73,74.5,72.1,72.75,5474,4371
BASF,20201110,1500,1509.7,1456.55,1468.7,44464,31780
BASML,20201110,90,90.7,87,88.15,2373,1827
BATAINDIA,20201110,1360,1388.75,1360,1367.45,1458330,685903
BAYERCROP,20201110,5600,5600,5280,5290,66429,40042
BBL,20201110,770,789,755.05,765.4,18765,10315
BBTC,20201110,1244.95,1247,1216.05,1223.95,30620,13607
BCG,20201110,5.4,5.45,5.2,5.3,2005685,1174295
BCP,20201110,4.85,4.95,4.65,4.75,115081,67246
