<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20210204,37.2,38.4,37,37.85,87927,54158
21STCENMGM,20210204,11.05,11.05,11,11.05,1124,1124
3IINFOTECH,20210204,7.35,7.55,7.1,7.25,11309856,5599530
3MINDIA,20210204,21100,21300,20714.75,21183.45,11736,9291
3PLAND,20210204,9.9,10.2,9.35,9.7,9092,6248
5PAISA,20210204,283.95,283.95,275.65,278.35,28727,18920
63MOONS,20210204,77.1,78.9,77.1,77.7,40744,23107
A2ZINFRA,20210204,4.65,4.65,4.45,4.6,301131,189818
AAKASH,20210204,101.1,103,98.5,102.5,13473,0
AARON,20210204,49.55,49.85,47.65,48.1,3768,1811
AARTIDRUGS,20210204,686.8,694,684.6,689.65,212662,93838
AARTIIND,20210204,1189,1211.7,1185,1194.15,425706,303668
AARTISURF,20210204,975.05,975.05,975.05,975.05,5393,5393
AARVEEDEN,20210204,20.55,20.75,20,20.5,24650,21185
AARVI,20210204,44.5,45,42.8,44.2,8003,3554
AAVAS,20210204,1942.7,1998,1905.05,1987.25,48490,23874
ABAN,20210204,31.2,31.2,29.3,29.5,249059,167977
ABB,20210204,1448,1534,1443,1518.05,282242,99949
ABBOTINDIA,20210204,14575,14586.9,14360,14488.2,33793,25133
ABCAPITAL,20210204,89.45,91.5,87.55,90.4,3877014,1254221
ABFRL,20210204,151.5,163.5,150.5,158.85,7711345,4590494
ABMINTLTD,20210204,32.6,32.6,32.6,32.6,2983,2858
ABSLBANETF,20210204,376,376,341.42,349.73,2126,1201
ABSLNN50ET,20210204,338,342,328.95,334.58,153,60
ACC,20210204,1734.5,1761.4,1716.35,1748.95,952288,278847
ACCELYA,20210204,987,999,979.15,993.85,12580,7815
ACCURACY,20210204,40.95,41.8,40.3,41.8,31446,24771
ACE,20210204,157.95,158.85,151.85,153.5,513727,251382
ACRYSIL,20210204,194.9,199.2,190.6,198.5,83015,60558
ADANIENT,20210204,561.95,611.7,556,589.7,11184167,950124
ADANIGREEN,20210204,1047.95,1078,1035,1078,1089299,549592
ADANIPORTS,20210204,557.9,573.4,554.05,568.4,6850462,1712730
ADANIPOWER,20210204,52.7,54.85,52.55,53.25,9754786,3931456
ADANITRANS,20210204,505.9,525,503.15,516.2,854581,255596
ADFFOODS,20210204,698.15,702.95,680.25,686.65,31278,13964
ADHUNIKIND,20210204,23.7,23.7,22.55,23.1,21666,12456
ADL,20210204,28,28.7,27.15,28.65,833,0
ADORWELD,20210204,295.25,305,295,299.9,35213,17116
ADROITINFO,20210204,10.25,10.3,9.4,9.6,14380,12630
ADSL,20210204,43.5,43.5,40,40.25,347900,167129
ADVANIHOTR,20210204,46.3,47.75,46.3,46.9,5992,4458
ADVENZYMES,20210204,338.5,341,333.15,334.7,116033,65345
AEGISCHEM,20210204,292,296,288.15,295,184745,105106
AFFLE,20210204,3787.2,3825,3770,3795.05,37574,23159
AGARIND,20210204,138.55,144,137,142.2,9554,0
AGCNET,20210204,859,889.6,852,889.3,18309,12033
AGRITECH,20210204,36.85,38.2,35.25,37.5,31116,17987
AGROPHOS,20210204,14.7,14.7,13.4,14.1,79047,26416
AHLADA,20210204,67.75,67.9,65,65.9,26865,18805
AHLEAST,20210204,156.1,162,156.05,158.25,1688,800
AHLUCONT,20210204,282.85,284.6,275,276.5,23939,9827
AHLWEST,20210204,249.5,252.75,245.1,249.1,852,401
AIAENG,20210204,1984,2079.85,1984,2041.3,72775,36964
AIRAN,20210204,18,19,18,18.55,17139,12792
AJANTPHARM,20210204,1819.9,1848,1800,1813.2,145113,36884
AJMERA,20210204,132.8,139.6,132,136.2,233101,63066
AKASH,20210204,235,236.95,225.25,227.15,10943,9976
AKSHARCHEM,20210204,270.95,272.9,265,266.9,11937,5061
AKSHOPTFBR,20210204,7.35,7.35,7.05,7.1,193738,120762
AKZOINDIA,20210204,2300.3,2320,2278.2,2288.05,7730,3821
ALANKIT,20210204,16.9,17.15,16.7,16.9,59137,39940
ALBERTDAVD,20210204,449.05,460,449.05,454.55,12448,9012
