<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20201218,36.5,40,35.2,39.65,1123132,388853
21STCENMGM,20201218,10.7,10.7,10.4,10.45,1303,1303
3IINFOTECH,20201218,5.45,5.45,4.95,5,17108172,11392873
3MINDIA,20201218,22460,22888,21800,21980.4,9246,6808
3PLAND,20201218,10.65,10.65,10.65,10.65,923,923
5PAISA,20201218,310.05,310.05,284.8,299.35,35730,28935
63MOONS,20201218,82.6,82.85,79.8,81.1,25473,0
8KMILES,20201218,74,77,73.5,76.7,31026,0
A2ZINFRA,20201218,5,5,4.6,4.75,533776,279561
AAKASH,20201218,62.95,62.95,59,60,18072,9049
AARON,20201218,52.75,52.75,50.05,51.15,4971,3847
AARTIDRUGS,20201218,754,768.9,740,741.7,419159,171287
AARTIIND,20201218,1235,1272.95,1205.1,1218.2,903283,534108
AARTISURF,20201218,1122,1122,1041.55,1044.1,42993,28482
AARVEEDEN,20201218,22.9,22.9,21.7,21.7,59851,59452
AARVI,20201218,47.95,47.95,44,45.75,11187,1305
AAVAS,20201218,1686.8,1719.9,1602.6,1688.35,141517,94700
ABAN,20201218,30.9,30.95,29.45,30,51198,0
ABB,20201218,1244.4,1260,1201.05,1246.95,378273,164981
ABBOTINDIA,20201218,16200,16268,15910,16178.1,18119,8151
ABCAPITAL,20201218,90.3,90.35,87.5,88.9,2266151,827445
ABFRL,20201218,164.5,164.55,159.05,160.25,1171231,686094
ABMINTLTD,20201218,25.2,25.2,24.1,24.5,2867,0
ABSLBANETF,20201218,305.7,306,302.38,305.89,79,51
ABSLNN50ET,20201218,313.5,313.5,306.86,306.86,26,19
ACC,20201218,1647,1654.75,1625,1648.3,1653822,899465
ACCELYA,20201218,991.35,1019.7,966,992.25,5868,2081
ACCURACY,20201218,39.75,39.75,37,37.75,67100,47583
ACE,20201218,125.3,135,121.5,134,1027163,470469
ADANIENT,20201218,461,464.2,450.8,455.15,2159692,285806
ADANIGAS,20201218,363.7,364.05,353,361.85,1170853,508794
ADANIGREEN,20201218,1058.4,1058.4,1001,1016.15,1037435,622123
ADANIPORTS,20201218,467.75,472.95,458.5,463.3,5980780,1889805
ADANIPOWER,20201218,47.25,47.75,45.05,47.35,8642882,4931234
ADANITRANS,20201218,427,429,420.75,424.85,288795,123283
ADFFOODS,20201218,599.9,600.5,572.1,577,69110,29095
ADHUNIKIND,20201218,26.5,26.5,25.25,25.95,23782,0
ADL,20201218,29.2,30.15,29,29.95,3582,0
ADORWELD,20201218,280,288.9,271.8,279,60442,25920
ADROITINFO,20201218,7.8,8.15,7.8,8.15,9725,0
ADSL,20201218,29.35,30.5,29.05,30.35,142496,70397
ADVANIHOTR,20201218,53.5,53.5,51.45,52.6,9531,0
ADVENZYMES,20201218,344.75,346.3,337.9,341.2,129272,61608
AEGISCHEM,20201218,243.75,247,237.25,245.15,201427,82970
AFFLE,20201218,3998,3998.95,3754.1,3779.15,1528241,1240583
AGARIND,20201218,106.95,106.95,100,102.15,23649,20508
AGCNET,20201218,680,682.05,659,682.05,21578,0
AGRITECH,20201218,38.15,40.4,38.1,39.8,5985,0
AGROPHOS,20201218,18.05,18.05,18.05,18.05,18877,18877
AHLEAST,20201218,178,178,166,171.55,9177,2240
AHLUCONT,20201218,265,265,257.25,261.85,14366,10780
AHLWEST,20201218,265,272.7,265,267.2,3048,1756
AIAENG,20201218,2025.2,2065,1988.9,2020.05,202858,176186
AIRAN,20201218,16.6,17.15,16,16.15,50268,32869
AJANTPHARM,20201218,1661.8,1678.9,1633,1648.8,69137,28988
AJMERA,20201218,137.5,139.2,131.05,133.6,200237,74441
AKASH,20201218,250,257.5,236.85,255.7,14633,13083
AKSHARCHEM,20201218,237,245,230,242.55,37536,23390
AKSHOPTFBR,20201218,7.8,8,7.6,7.7,276544,195156
AKZOINDIA,20201218,2239.55,2308,2235,2265.6,6995,3488
ALANKIT,20201218,17,17.25,16.8,16.9,65009,50053
ALBERTDAVD,20201218,452.85,452.85,445.85,448.05,11767,9529
ALCHEM,20201218,9.5,9.5,9.5,9.5,4298,0
ALEMBICLTD,20201218,104.4,104.8,100.85,101.35,370064,195856
ALICON,20201218,335,337,327.9,331.7,9769,2792
ALKALI,20201218,49.6,50.8,48,48.2,44648,32144
ALKEM,20201218,2937,2967.25,2905,2953.8,77252,47079
ALKYLAMINE,20201218,3858,3869.95,3804.4,3855.65,11593,5961
ALLCARGO,20201218,134.6,142.85,131,140.6,1289608,388441
ALLSEC,20201218,263.8,263.8,253.85,258.7,3379,2255
ALMONDZ,20201218,20.15,20.15,19.45,20.15,26364,23001
ALOKINDS,20201218,23.1,23.25,22.5,22.65,6730095,3988668
ALPA,20201218,36.25,36.85,35.1,36.15,26189,0
ALPHAGEO,20201218,209.85,209.85,203,206.45,9304,0
ALPSINDUS,20201218,1.85,2,1.85,2,61570,58870
AMARAJABAT,20201218,940.2,960,937.3,955.7,1201969,535251
AMBER,20201218,2342,2377,2336.85,2352.3,115399,76533
AMBIKCO,20201218,844.05,858,822.95,838.85,13618,8775
AMBUJACEM,20201218,247.05,252.2,246.5,251.05,7695230,3001775
AMDIND,20201218,21.95,21.95,19.05,19.8,121563,60360
AMJLAND,20201218,26.75,27.4,25.15,27.1,50564,36496
AMRUTANJAN,20201218,509.9,518.05,507.35,510.15,91354,33913
ANANTRAJ,20201218,26.45,26.5,24.75,24.95,995927,805149
ANDHRACEMT,20201218,6.4,6.4,6,6.1,269667,157367
ANDHRAPAP,20201218,216.9,221,208.6,217.25,101834,43030
ANDHRSUGAR,20201218,334,339.8,325.7,335.05,130594,47409
ANGELBRKG,20201218,358.2,361.9,343.05,348,424373,274600
ANIKINDS,20201218,22.2,22.2,22.2,22.2,3653,0
ANKITMETAL,20201218,1.45,1.45,1.35,1.45,251542,214081
ANSALAPI,20201218,7.9,7.9,7.45,7.9,230125,0
ANSALHSG,20201218,5.8,5.9,5.65,5.7,82639,51256
ANUP,20201218,774,774,728.5,731.45,15347,10426
APARINDS,20201218,372.85,372.85,353.1,355.45,37200,27052
APCL,20201218,207.75,208.8,198.35,202.85,45202,28155
APCOTEXIND,20201218,165.5,166.6,161.75,164.5,35149,16794
APEX,20201218,312,317,302,314.85,156865,62101
APLAPOLLO,20201218,788.05,788.05,734,769.7,356196,255034
APLLTD,20201218,1132.3,1142.65,1097.5,1108.05,252845,174825
APOLLO,20201218,129.9,129.9,126,126.95,150542,59894
APOLLOHOSP,20201218,2405,2428,2367.15,2387.75,1065060,296618
APOLLOPIPE,20201218,659.15,679.95,642,673.75,25428,18721
APOLLOTYRE,20201218,196.75,198.65,189.6,191.5,10923364,1414505
APOLSINHOT,20201218,588.15,588.15,567.15,573.65,743,411
APTECHT,20201218,137.9,154,137,147.9,3489166,805979
ARCHIDPLY,20201218,29.9,29.95,28.25,28.9,79982,29078
ARCHIES,20201218,14.15,14.5,14.15,14.3,65925,49809
ARCOTECH,20201218,2.95,3.05,2.85,2.9,145397,0
ARENTERP,20201218,10.95,11.45,10.55,10.8,3473,2757
ARIES,20201218,105.5,105.5,97.8,101.8,115778,40515
ARIHANT,20201218,19.1,21.65,19.1,21.55,8459,6064
ARIHANTSUP,20201218,36.15,36.15,34.35,34.4,14461,14115
ARMANFIN,20201218,757.95,764,736.55,743.05,17674,10751
AROGRANITE,20201218,43.1,43.75,40,41.85,71945,39502
ARROWGREEN,20201218,56.8,61.45,54.4,56.85,11895,7011
ARSHIYA,20201218,17.35,17.35,16.2,16.7,14485,10927
ARSSINFRA,20201218,22.5,22.85,21.2,22.8,67928,55553
ARTEMISMED,20201218,225,229.95,220,228.3,2726,0
ARVIND,20201218,51.2,51.25,48.3,50,1878438,661845
ARVINDFASN,20201218,159,162,155.2,157.65,406792,234543
ARVSMART,20201218,116,118,109.25,114.45,366065,169491
ASAHIINDIA,20201218,260.55,260.8,253.55,257.45,41758,25504
ASAHISONG,20201218,245.55,251.55,238.8,247.65,45676,23830
ASAL,20201218,27,28.05,27,27.7,3161,3023
ASALCBR,20201218,297.45,300,285.35,293.6,54225,26230
ASHAPURMIN,20201218,87.5,87.5,82.85,86.7,237504,156855
ASHIANA,20201218,103.1,105,101.75,103.45,32442,15636
ASHIMASYN,20201218,12.4,12.95,11.9,12,48755,0
ASHOKA,20201218,91.25,91.85,88.25,90,1114030,528069
ASHOKLEY,20201218,99.5,99.9,96.8,98.25,24548564,6279094
ASIANHOTNR,20201218,75,84.8,73.55,76,24617,13021
ASIANPAINT,20201218,2577,2636,2575.55,2601.5,4402604,1742565
ASIANTILES,20201218,294.4,294.4,285.15,287.95,111797,25451
ASPINWALL,20201218,142.7,145,134.55,139,6980,4183
ASTEC,20201218,1117,1142,1077.1,1125.95,110954,47880
ASTERDM,20201218,166.75,171.8,163,168.45,439202,289140
ASTRAL,20201218,1472.25,1510,1460,1505,212146,160929
ASTRAMICRO,20201218,128.4,128.4,124,124.75,571185,196555
ASTRAZEN,20201218,4399,4417.75,4334,4346.8,30141,17275
ASTRON,20201218,56.3,57.5,55.2,55.9,317945,155689
ATFL,20201218,851.85,860,825,845.8,48246,41073
ATLANTA,20201218,8.85,8.95,8.7,8.7,26028,20413
ATUL,20201218,6100,6309,6091.15,6290.05,48757,21646
ATULAUTO,20201218,186.95,188.9,182,183,156433,92168
AUBANK,20201218,923.95,923.95,880.5,897,5563902,2100716
AURIONPRO,20201218,82,90.05,80.1,90.05,135963,81357
AUROPHARMA,20201218,875.1,888.55,862.65,886,1833362,539841
AUSOMENT,20201218,54.95,54.95,53.1,53.65,10403,8589
AUTOAXLES,20201218,1003.75,1050,970,1014.75,52901,13721
AUTOIND,20201218,35,35.5,33.9,34.55,16861,11131
AUTOLITIND,20201218,24.8,24.8,23,23.35,6912,5953
AVADHSUGAR,20201218,220.9,220.9,210,216.95,126686,54812
AVANTIFEED,20201218,538.95,553,529,549.8,479937,265129
AVTNPL,20201218,52.35,52.5,50.05,51.55,307812,142552
AXISBANK,20201218,604.4,611,596.5,609.5,17301814,4457590
AXISBNKETF,20201218,306.38,306.38,302.65,305.95,439,357
AXISCADES,20201218,58.15,59.15,56.1,57.6,97196,35665
AXISGOLD,20201218,43.99,43.99,43.54,43.62,96805,64655
AXISNIFTY,20201218,142.41,142.89,141.53,142.73,1621,1115
AYMSYNTEX,20201218,39.85,39.85,36.75,38.3,13670,0
BAFNAPH,20201218,233.55,233.55,211.35,211.35,7446,0
BAGFILMS,20201218,3.45,3.45,3.45,3.45,30395,0
BAJAJ-AUTO,20201218,3275.9,3363,3270.9,3347.55,1362381,329023
BAJAJCON,20201218,211,223.4,211,215.1,914735,413147
BAJAJELEC,20201218,603.8,638,597,632.8,376689,119681
BAJAJFINSV,20201218,9249.9,9315,9125,9215.6,480333,66484
BAJAJHIND,20201218,6.55,6.55,6.15,6.3,3229531,2157382
BAJAJHLDNG,20201218,3103,3129,3053.8,3081.9,37569,17604
BAJFINANCE,20201218,5250,5284.95,5165,5252.5,3255043,786887
BALAJITELE,20201218,68.75,68.8,66.05,68.35,201274,96150
BALAMINES,20201218,930,932.3,910.25,921.25,61355,24957
BALAXI,20201218,615,629.85,600.6,615.3,3932,2243
BALKRISHNA,20201218,19.75,20.5,19.05,19.4,2323,0
BALKRISIND,20201218,1643.5,1653.45,1605,1613.45,752508,268654
BALMLAWRIE,20201218,119,123.4,116,120.3,1131368,262316
BALPHARMA,20201218,57,57,55.5,56.55,6525,0
BALRAMCHIN,20201218,178.85,178.9,172.95,173.9,871442,403965
BANARBEADS,20201218,59.75,59.75,56.1,57.5,21791,15588
BANARISUG,20201218,1452.25,1464,1450,1451,2206,2077
BANCOINDIA,20201218,141.5,142.2,134,135.9,305222,125658
BANDHANBNK,20201218,405.8,414.2,404.05,408.2,9202955,4046172
BANG,20201218,31.9,34.75,31.4,32.75,376389,121676
BANKA,20201218,57.1,59.95,54.25,54.7,7138,5155
BANKBARODA,20201218,63.95,64.25,62,63.1,38450486,5884707
BANKBEES,20201218,310.95,312.9,305.68,309.17,586892,163174
BANKINDIA,20201218,50.8,50.9,48.9,49.6,4122456,1360232
BANSWRAS,20201218,117,121.2,111.5,118.9,23456,18178
BASF,20201218,1660,1660,1620,1627.4,18354,9769
BASML,20201218,118,127.85,115.15,126.8,97739,51309
BATAINDIA,20201218,1585,1601.25,1576.15,1583.85,470894,177903
BAYERCROP,20201218,5380,5388,5213.25,5278.2,36592,18252
BBL,20201218,923.65,923.65,897.55,906.95,11112,6310
BBTC,20201218,1323.8,1333.65,1292,1297.6,70330,40325
BCG,20201218,4.9,5.3,4.9,5.3,9066877,5413096
BCP,20201218,7,7,6.65,6.65,124661,0
BDL,20201218,347.5,347.5,340,341.9,396622,196233
BEARDSELL,20201218,9.7,10.55,9.2,10.55,54044,49342
BEDMUTHA,20201218,26.6,28.6,26.25,27.25,34688,27235
