<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20210210,37.5,37.5,36.5,37.2,63668,43293
21STCENMGM,20210210,11.85,11.85,11.85,11.85,1823,1813
3IINFOTECH,20210210,6.55,6.7,6.25,6.3,9796479,5116726
3MINDIA,20210210,21185,21637.95,21150,21577.55,22164,11438
3PLAND,20210210,9.15,9.65,9,9.3,2920,2698
5PAISA,20210210,269.05,271.95,246.8,252.75,136174,86031
63MOONS,20210210,78,81,77.95,78.35,64661,44111
A2ZINFRA,20210210,4.35,4.4,4.25,4.3,261507,175886
AAKASH,20210210,105.1,110.4,105,109.75,10317,0
AARON,20210210,49.8,54.75,49.8,52.85,9284,6744
AARTIDRUGS,20210210,672,677.75,662,664.2,190835,90380
AARTIIND,20210210,1241.1,1241.1,1200,1203.25,215327,89128
AARTISURF,20210210,960.1,960.1,915.1,928.95,19115,11737
AARVEEDEN,20210210,21.5,21.5,20.35,20.5,4849,4006
AARVI,20210210,43.75,45.05,43.15,44.4,14521,11356
AAVAS,20210210,2275,2380,2266,2353.6,207699,75867
ABAN,20210210,29.45,29.9,28.6,29.1,129173,45209
ABB,20210210,1462,1487.45,1430.1,1445,356376,196315
ABBOTINDIA,20210210,14630,14630,14291.05,14371.5,39275,20519
ABCAPITAL,20210210,89.1,90.85,88.65,89.3,2128773,694314
ABFRL,20210210,167.85,168.15,162,165,3285415,1738542
ABMINTLTD,20210210,38.6,38.85,37,38.85,3269,3128
ABSLBANETF,20210210,367,367,353.95,355.56,52,42
ABSLNN50ET,20210210,334,335,330,335,33,28
ACC,20210210,1769,1802.45,1747,1761.75,1419214,208785
ACCELYA,20210210,943,943,898,901.85,11665,8093
ACCURACY,20210210,55,55,51.2,52.2,34257,26036
ACE,20210210,161.5,171.3,161.5,166.45,999406,400503
ACRYSIL,20210210,241.15,241.15,229.7,241.15,311668,176029
ADANIENT,20210210,633.05,654.9,622.1,650.7,5991927,436173
ADANIGREEN,20210210,1076,1097.9,1060,1080.45,4856552,2780796
ADANIPORTS,20210210,584.75,587,550.5,576.85,19987392,3957004
ADANIPOWER,20210210,53,53.1,52,52.1,4263047,2788872
ADANITRANS,20210210,565.65,572.8,556.1,564.45,380597,134854
ADFFOODS,20210210,699,732.8,693,718.35,88296,19359
ADHUNIKIND,20210210,21.95,22.2,21.35,21.5,19706,12973
ADL,20210210,27.25,28.65,26.55,27.9,5529,0
ADORWELD,20210210,301.95,309,299.9,303,131680,118981
