<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20210217,37.25,37.4,36,36.6,113109,76709
21STCENMGM,20210217,12.05,12.45,12.05,12.35,6511,4784
3IINFOTECH,20210217,6.9,7,6.75,6.85,3979040,2408311
3MINDIA,20210217,21210,22000,21104,21792.6,10730,6483
3PLAND,20210217,10.15,10.15,9.1,9.25,8225,4136
5PAISA,20210217,254.6,259.75,250.35,257.7,30826,19554
63MOONS,20210217,77.75,80.8,77.5,78.5,56684,31382
A2ZINFRA,20210217,4.35,4.35,4.15,4.2,498575,331544
AAKASH,20210217,115.95,116.25,114,115.9,10083,0
AARON,20210217,59.1,60,55.15,57.1,6012,2621
AARTIDRUGS,20210217,668.75,677,652,655,309431,141874
AARTIIND,20210217,1228.9,1259.4,1220.75,1232.25,444083,167428
AARTISURF,20210217,929.8,929.8,896.1,901.15,9095,6045
AARVEEDEN,20210217,18.5,18.6,17.7,18.15,11910,8904
AARVI,20210217,45.4,46.05,44.2,44.45,1474,946
AAVAS,20210217,2245,2289,2161,2251.85,74782,37009
ABAN,20210217,29.95,30.35,29.2,29.55,210961,97803
ABB,20210217,1480,1504.75,1480,1498.95,93001,42427
ABBOTINDIA,20210217,14710.7,14760.45,14485.2,14651.55,16801,9799
ABCAPITAL,20210217,97.75,104.8,97.35,104.05,13781651,3858630
ABFRL,20210217,164.4,164.55,161,162.25,1141905,484205
ABMINTLTD,20210217,49.4,49.4,49.4,49.4,1498,1498
ABSLBANETF,20210217,366.2,368,358.2,366.52,156,55
ABSLNN50ET,20210217,350,356,343.13,343.13,49,42
ACC,20210217,1820,1837,1807,1819.75,860949,85928
ACCELYA,20210217,902,909.6,895,898,3526,2067
ACCURACY,20210217,56,59.7,56,58.95,28189,26795
ACE,20210217,155.9,161,155.55,158.45,247653,131272
ACRYSIL,20210217,256.05,277.8,254.4,277.8,120882,91134
ADANIENT,20210217,787.15,802,782.25,785.45,8908279,632464
ADANIGREEN,20210217,1085,1127,1051.05,1104.25,6145401,3458542
ADANIPORTS,20210217,658,670,646.9,655.75,34868085,6455210
ADANIPOWER,20210217,55.3,55.4,52.8,54.25,13374028,6456352
ADANITRANS,20210217,767,820,712,756.25,5757036,1077655
ADFFOODS,20210217,776.35,802.7,760.6,797.05,73505,22694
ADHUNIKIND,20210217,21.05,21.45,20.25,21.15,17299,11107
ADL,20210217,26.6,26.6,25.3,26.05,958,0
ADORWELD,20210217,304.8,318.2,301.65,308.95,94524,31286
ADROITINFO,20210217,8.45,8.45,7.75,7.85,1211,932
ADSL,20210217,37,39.5,36.65,38.85,282846,92650
ADVANIHOTR,20210217,51.95,52.2,51.05,52.1,8597,7408
ADVENZYMES,20210217,371,376.9,366,368.05,242882,105318
AEGISCHEM,20210217,300.6,302.95,293,295,194421,100443
AFFLE,20210217,5200,5448.85,5189.75,5370.5,258186,160811
AGARIND,20210217,165.8,165.8,161,165.55,39963,0
AGCNET,20210217,909.55,933,909.5,928.15,6443,3546
