<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20201021,28,28.25,27.6,28,27214,17128
21STCENMGM,20201021,9.7,9.8,9.55,9.7,2194,1934
3IINFOTECH,20201021,3.1,3.15,2.95,3,7513045,4854785
3MINDIA,20201021,19200,19200,18802,18951.7,2943,2047
3PLAND,20201021,6.85,6.85,6.3,6.3,996,517
5PAISA,20201021,350,350,340,344.3,4737,0
63MOONS,20201021,73.9,75,72.6,73.15,63803,55789
8KMILES,20201021,112.85,112.85,102.15,102.15,351546,0
A2ZINFRA,20201021,3.55,3.7,3.5,3.55,165075,119098
AAKASH,20201021,53,54,52,53.3,38277,14000
AARTIDRUGS,20201021,793.7,793.7,761,769.1,596390,237975
AARTIIND,20201021,984.85,991.85,973.4,984.5,263109,155817
AARTISURF,20201021,583.8,607,574,577.75,30081,0
AARVEEDEN,20201021,11,11.15,10.65,10.95,3137,1608
AARVI,20201021,38.75,41,35.45,39,665,418
AAVAS,20201021,1471,1524.5,1462.6,1482.3,143481,135164
ABAN,20201021,23.6,23.6,22.6,22.75,28035,18846
ABB,20201021,882,904.5,882,901.65,150828,114927
ABBOTINDIA,20201021,15843.5,16020.1,15715.75,15885.15,4699,2606
ABCAPITAL,20201021,62.2,69,62.15,68.1,14057760,4805665
ABFRL,20201021,145.95,153.9,144.25,150.8,8973304,3464030
ABMINTLTD,20201021,29.95,29.95,29.95,29.95,593,0
ABSLBANETF,20201021,241,244.4,225.64,242.13,1980,1555
ABSLNN50ET,20201021,277,289,277,277.14,49,38
ACC,20201021,1585.35,1625.6,1581.05,1620.15,2491967,788262
ACCELYA,20201021,986.65,1005,970,978.85,5225,2121
ACE,20201021,69.7,72.4,69.7,71.8,195966,87492
ADANIENT,20201021,322,324.7,306,312,4998996,600507
ADANIGAS,20201021,192.2,195.65,189.3,192.9,1201959,436329
ADANIGREEN,20201021,690,713.9,678,692.35,335318,110541
ADANIPORTS,20201021,350.25,360.15,349.55,355.35,4398526,1414671
ADANIPOWER,20201021,35.5,35.7,34.85,35.1,983052,454166
ADANITRANS,20201021,291.45,298.4,288,294.05,413938,270885
ADFFOODS,20201021,432,447,421,437.2,193473,51761
