<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20210118,39.4,39.65,36.6,36.9,239897,155271
21STCENMGM,20210118,10.95,11.15,10.75,10.85,7201,6299
3IINFOTECH,20210118,8.6,8.8,8.1,8.4,56018736,17009892
3MINDIA,20210118,20874,21399.9,20501.15,21238.7,4922,2977
3PLAND,20210118,10.8,10.95,10.1,10.2,7379,7209
5PAISA,20210118,309,309,287.15,288.7,115872,65631
63MOONS,20210118,78.6,82,78.5,80.6,104155,0
8KMILES,20210118,81.8,82.2,78.5,81.5,35265,0
A2ZINFRA,20210118,4.95,5.15,4.8,5,767854,632344
AAKASH,20210118,87.5,90,84.4,87.1,49897,17365
AARON,20210118,53.5,53.5,50.1,51.4,2152,1445
AARTIDRUGS,20210118,709.5,711.8,695,697.4,226229,96528
AARTIIND,20210118,1257,1258.95,1212,1226.25,254770,165124
AARTISURF,20210118,972.9,980,930.1,943.3,11973,8502
AARVEEDEN,20210118,20.5,20.5,19.75,20.5,150637,0
AARVI,20210118,47.8,47.9,44.3,45.75,11440,7852
AAVAS,20210118,1899.8,1949,1872,1917.05,50854,29407
ABAN,20210118,29.8,30.1,28.8,29.25,42522,0
ABB,20210118,1291,1349.4,1286.7,1344.5,370993,139011
ABBOTINDIA,20210118,15074,15074,14730,14748.65,23904,15559
ABCAPITAL,20210118,93.6,93.65,87.75,89.65,3392927,1162942
ABFRL,20210118,176,176.5,169.25,170.15,1460667,655534
ABMINTLTD,20210118,24.5,24.5,24.5,24.5,64,0
ABSLBANETF,20210118,317.95,320.68,311.95,315.96,46,33
ABSLNN50ET,20210118,345.05,347.98,323.01,336.07,68,38
ACC,20210118,1738,1746.35,1670.25,1701.5,965219,303329
ACCELYA,20210118,945.35,953.65,932.5,936.8,3460,1846
ACCURACY,20210118,37.5,40,36.5,38.65,15010,10181
ACE,20210118,132.8,133.1,126,128.15,393181,241283
ACRYSIL,20210118,198.95,198.95,189.05,191.9,42292,30751
ADANIENT,20210118,528,529.1,502.05,507.85,5204588,759027
ADANIGREEN,20210118,945,980,920.1,949.75,1294049,575109
ADANIPORTS,20210118,531,532.3,503.8,515.5,6258367,1429229
ADANIPOWER,20210118,54.2,54.9,52.6,53.55,6751449,4312274
ADANITRANS,20210118,433.4,433.4,397.15,406.1,526937,253436
ADFFOODS,20210118,610,610,590,591.75,124785,102851
