<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20210308,37.6,38.75,36.35,37.5,111529,57973
21STCENMGM,20210308,12.3,12.3,12.3,12.3,920,920
3IINFOTECH,20210308,7.1,7.35,7.05,7.35,22487130,14393156
3MINDIA,20210308,26149.75,26951.1,25710,26553.65,5446,3014
3PLAND,20210308,9.45,10.15,9.3,9.5,25334,16073
5PAISA,20210308,282.55,290,263,276.05,50440,28031
63MOONS,20210308,81.7,82.9,80,80.15,53700,32083
A2ZINFRA,20210308,4.4,4.4,4.25,4.35,307102,217443
AAKASH,20210308,127.8,127.8,125.4,126.75,7121,0
AARON,20210308,62.05,62.05,57.7,58.9,1888,775
AARTIDRUGS,20210308,708.45,713.8,681,692.15,1623331,345251
AARTIIND,20210308,1266.8,1282.5,1251.25,1258.85,110343,48339
AARTISURF,20210308,1039.8,1039.8,1005,1013.65,12182,7196
AARVEEDEN,20210308,17.7,18.55,17.6,18.45,12526,10646
AARVI,20210308,57.5,58.9,56.25,57,24912,21079
AAVAS,20210308,2298,2298,2226,2238.85,20080,12528
ABAN,20210308,40.4,40.95,38.45,39.3,488018,314053
ABB,20210308,1504,1512.55,1476.8,1495.5,96026,50054
ABBOTINDIA,20210308,14770.05,14850.05,14625.15,14759.7,5777,3273
ABCAPITAL,20210308,126,133,124.5,131.25,3894234,1574608
ABFRL,20210308,218,223.6,215.15,220.85,2978385,1096386
ABMINTLTD,20210308,68.7,68.7,68.7,68.7,591,591
ABSLBANETF,20210308,345.6,357,345.6,349.19,343,303
ABSLNN50ET,20210308,352.1,364,347.2,355.77,34,10
ACC,20210308,1836.45,1853.4,1813.5,1822.8,757659,71828
ACCELYA,20210308,914,914,892.55,907.05,3154,1827
ACCURACY,20210308,54.15,56.85,54.15,54.4,11402,9375
ACE,20210308,159,171,158.5,168.6,966040,508241
ACRYSIL,20210308,350,358.8,335,358.8,115436,86781
ADANIENT,20210308,918.1,926.4,905.1,910.2,3904469,386713
ADANIGREEN,20210308,1178,1185,1162.25,1171.6,267891,154806
ADANIPORTS,20210308,762.7,767.8,744.2,748.4,15286852,1985582
ADANIPOWER,20210308,76.35,78.05,76,78.05,8994128,4656168
ADANITRANS,20210308,816,827.4,776.1,793.9,774750,462394
ADFFOODS,20210308,908.8,931,905.9,925.75,53396,22859
ADHUNIKIND,20210308,21.25,22.4,21,21.1,26680,20354
ADL,20210308,31.25,32.5,30.55,30.95,4220,0
ADORWELD,20210308,305.3,309.8,302.95,307.2,22960,14104
ADROITINFO,20210308,11,11,11,11,13341,13340
ADSL,20210308,40.4,40.4,39,39.55,91915,65088
ADVANIHOTR,20210308,58.5,63.1,57.45,63.1,46212,45932
ADVENZYMES,20210308,349.95,363,345,348.85,464978,334201
AEGISCHEM,20210308,316.9,321.3,311.15,314.2,257180,106311
AFFLE,20210308,5980,6100,5800,5854.4,84442,62284
AFL-RE,20210308,46,46,30,39.25,114428,0
AGARIND,20210308,153,154.9,148.3,152.15,5036,0
AGCNET,20210308,1005.7,1025,931,1002.6,8803,7045
AGRITECH,20210308,36.9,37.95,34.2,34.55,8877,5487
AGROPHOS,20210308,13.1,13.1,12.65,12.8,35498,21869
AHLADA,20210308,111.45,111.45,100.85,111.35,130498,85411
AHLEAST,20210308,155.2,160.95,155.2,158.35,1491,1212
AHLUCONT,20210308,288.75,293.55,286.5,289.65,8200,4562
AHLWEST,20210308,240,241.45,236.1,237.1,904,401
