<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20201230,39.25,42,39,40.45,162138,114328
21STCENMGM,20201230,10.35,10.35,10.15,10.25,1328,1326
3IINFOTECH,20201230,6.15,6.15,6.15,6.15,725359,725359
3MINDIA,20201230,21365,21365,20711,20865.6,5617,3386
3PLAND,20201230,11.05,11.05,10.55,10.95,14678,13748
5PAISA,20201230,317.2,317.95,308,310.15,9796,5281
63MOONS,20201230,80,81.5,78,79.45,46149,0
8KMILES,20201230,77.3,79.9,77.1,78,39462,0
A2ZINFRA,20201230,4.8,4.8,4.6,4.7,248841,170052
AAKASH,20201230,72,72,69.7,71.25,53761,24754
AARON,20201230,53.05,53.05,50.8,52,2054,897
AARTIDRUGS,20201230,708.4,717,695.55,703.6,365365,122022
AARTIIND,20201230,1231,1237.05,1207.3,1219.4,194180,96653
AARTISURF,20201230,1018,1028.95,990,1002.55,12751,8087
AARVEEDEN,20201230,18.85,18.85,17.3,18.35,17228,9475
AARVI,20201230,46.5,54.65,44.1,54.45,382869,243157
AAVAS,20201230,1694,1695,1660,1688.1,15171,7336
ABAN,20201230,28.4,29,27.9,28.75,36483,0
ABB,20201230,1205.7,1239.9,1201.25,1208.9,197431,67514
ABBOTINDIA,20201230,15800,15840.05,15600,15628.4,11997,6440
ABCAPITAL,20201230,84.5,86,83.25,85.7,2260956,688476
ABFRL,20201230,166,166.65,162.95,165.3,734100,306138
ABMINTLTD,20201230,25.9,25.9,25,25,137,0
ABSLBANETF,20201230,308.17,310,308.17,310,6,6
ABSLNN50ET,20201230,312,312,302,307.14,210,102
ACC,20201230,1619.9,1652.55,1600,1648.25,1718433,538113
ACCELYA,20201230,950.5,967.6,950.3,954.75,2360,1549
ACCURACY,20201230,36.95,36.95,35.45,36.8,818,816
ACE,20201230,137.7,138.7,134.65,136,208781,100974
ADANIENT,20201230,489.2,496,478.4,484.15,5419517,888795
ADANIGAS,20201230,377,389.65,369.5,380.4,3641617,1032438
ADANIGREEN,20201230,1039.9,1060,1028,1052.95,374589,187953
ADANIPORTS,20201230,484,487.6,478.15,485.4,3736356,330789
ADANIPOWER,20201230,50.7,51.1,49.25,50.05,6146258,2874514
ADANITRANS,20201230,432.65,447.4,425,436.2,1324653,466581
ADFFOODS,20201230,600,602.65,580,591.1,46558,26999
ADHUNIKIND,20201230,25.8,25.8,24.15,25.25,14841,0
ADL,20201230,31.3,32.7,30,32.35,4426,0
ADORWELD,20201230,269,273.45,267.1,268.9,18979,11994
ADROITINFO,20201230,10.75,10.8,9.8,10.3,9828,0
ADSL,20201230,35.5,35.5,35.5,35.5,12747,12747
ADVANIHOTR,20201230,51,52.8,49.15,50.7,3238,0
ADVENZYMES,20201230,325,327.95,320,321.85,104536,42631
AEGISCHEM,20201230,250.9,254.6,245.3,250.2,186165,74080
AFFLE,20201230,3790,3817.55,3761,3771.45,27253,12446
AGARIND,20201230,101.25,108,100.05,105.7,54404,35266
AGCNET,20201230,780,780,723.85,739.35,16568,0
AGRITECH,20201230,40.5,40.5,37.65,38.75,6150,0
AGROPHOS,20201230,16.75,17,16.2,17,150086,117913
AHLEAST,20201230,163.05,169.7,161,164.85,3099,1115
AHLUCONT,20201230,266.2,269.2,258.05,263.45,50432,40494
AHLWEST,20201230,265.85,269,262,265.85,269,255
AIAENG,20201230,2023.45,2030,1984.95,1995,23591,14582
AIRAN,20201230,18.7,19.1,18.05,19.1,79762,73489
AJANTPHARM,20201230,1675,1685,1665,1669.35,43738,23588
AJMERA,20201230,141,142.95,137.55,141.1,166972,41542
AKASH,20201230,235,235,223.1,231.55,51187,47253
AKSHARCHEM,20201230,249.3,263,247.75,257.85,154358,65835
AKSHOPTFBR,20201230,7.85,7.85,7.55,7.75,254750,149169
AKZOINDIA,20201230,2339.05,2444.4,2299.95,2401.55,28789,18850
ALANKIT,20201230,18.5,19,17.75,18.9,939358,629850
ALBERTDAVD,20201230,442.45,447.05,433.1,444.45,8544,4545
ALEMBICLTD,20201230,106.1,109,103,107.5,646287,251300
ALICON,20201230,337.25,344.6,336.2,339.3,3220,1211
ALKALI,20201230,47.5,47.5,46.6,47.1,8093,6376
ALKEM,20201230,2952,2958,2905.05,2928.45,42969,21785
ALKYLAMINE,20201230,3863.3,3917,3801.15,3846.35,17074,6472
ALLCARGO,20201230,133.95,137,131.5,133.65,676395,266934
ALLSEC,20201230,298.35,314.5,282,303.85,109557,34784
ALMONDZ,20201230,19.8,20.95,19.8,20.55,8350,5284
ALOKINDS,20201230,21.3,21.45,20.9,21.25,5516297,2610167
ALPA,20201230,35,35.8,34.6,35.05,15725,0
ALPHAGEO,20201230,200.8,201,190,199.65,11250,0
