<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20210125,38,38,36.1,36.85,106363,63797
21STCENMGM,20210125,11.15,11.35,10.95,10.95,3018,1913
3IINFOTECH,20210125,7.35,7.4,7.05,7.05,16325111,8432774
3MINDIA,20210125,20688,20744,19900,20005.2,5633,3013
3PLAND,20210125,9.6,10,9.6,9.95,1461,948
5PAISA,20210125,296.9,296.9,277.1,279,25296,15193
63MOONS,20210125,79.35,79.35,74.15,75.6,28418,0
A2ZINFRA,20210125,4.95,4.95,4.6,4.65,342460,254720
AAKASH,20210125,90.2,92.7,89.5,90.2,39804,14286
AARON,20210125,48.25,50.65,46.5,49.65,4886,2405
AARTIDRUGS,20210125,692.5,734.8,679.5,718,1671924,389410
AARTIIND,20210125,1150.7,1161.3,1125.05,1145.3,192923,95034
AARTISURF,20210125,970,970,902.8,912.3,15149,11559
AARVEEDEN,20210125,20.25,20.7,19.75,19.9,8819,0
AARVI,20210125,41.85,43.6,40.4,41.25,10421,8304
AAVAS,20210125,1870,1870,1755.55,1777.2,68163,41147
ABAN,20210125,27.6,29,27.5,27.9,29259,0
ABB,20210125,1391.4,1391.4,1349.75,1354.8,100682,45784
ABBOTINDIA,20210125,14539.55,14588.6,14399.9,14546.65,13183,7081
ABCAPITAL,20210125,87.3,87.6,83.75,84.1,2419729,584499
ABFRL,20210125,171.65,173.2,162,163.75,1655246,700343
ABMINTLTD,20210125,24.5,24.5,23.3,23.3,309,0
ABSLBANETF,20210125,313.3,318.3,275.95,310.82,376,246
ABSLNN50ET,20210125,335.99,336,321.1,329.26,162,122
ACC,20210125,1724.55,1725.65,1658,1663.15,905403,178674
ACCELYA,20210125,944.75,944.75,908.05,915.8,3432,1873
ACCURACY,20210125,39,39,36.05,37.9,1237,1014
ACE,20210125,131.55,134,126.2,127.95,288942,134752
ACRYSIL,20210125,190,196.9,181.25,183.35,65281,48243
ADANIENT,20210125,530.25,534.4,509,513.9,3728411,349196
ADANIGREEN,20210125,1055,1064,1005,1031.1,528369,318256
ADANIPORTS,20210125,543,547.45,522,523.65,5816153,740651
ADANIPOWER,20210125,53.35,53.85,50.55,51.2,3944411,1847544
ADANITRANS,20210125,486,489.4,465,471.6,732208,227948
ADFFOODS,20210125,614,624,605.2,610.2,163797,67425
ADHUNIKIND,20210125,23.1,23.95,22.05,22.65,8241,0
ADL,20210125,29,29,27.55,28,3010,0
ADORWELD,20210125,276.25,280.65,271.2,272.7,5668,3145
ADROITINFO,20210125,9.95,9.95,9.95,9.95,1607,0
ADSL,20210125,37.2,38.3,35.15,36.9,206215,95632
ADVANIHOTR,20210125,47.9,48.15,45.4,45.95,4010,0
ADVENZYMES,20210125,312.4,313.05,301.1,308.05,126464,53647
AEGISCHEM,20210125,285.45,290.65,279.75,283.05,445190,156259
AFFLE,20210125,3800,3830,3687.5,3748.65,40441,21692
AGARIND,20210125,155.8,159.95,153,153.5,7567,5739
AGCNET,20210125,760.3,762,745,760,5250,0
AGRITECH,20210125,35,36.9,34.1,34.35,2497,0
AGROPHOS,20210125,14.05,14.05,13.05,13.2,53880,36081
AHLEAST,20210125,161,163.9,155.15,156.5,2515,1808
AHLUCONT,20210125,284.9,286.4,270,271.9,43192,16781
AHLWEST,20210125,253.2,255.5,241.25,245.55,1314,1157
AIAENG,20210125,2085,2085,1979,1984.1,37631,18966
AIRAN,20210125,18.8,19.45,18,18.75,38811,16249
AJANTPHARM,20210125,1730.1,1794.4,1700,1758.95,137055,28255
AJMERA,20210125,130.95,133.95,128.15,129.1,64744,20239
AKASH,20210125,232,233.35,216.6,231.55,28481,26726
AKSHARCHEM,20210125,266,270.65,260.2,264.25,17983,9871
AKSHOPTFBR,20210125,7.25,7.25,6.55,7,230199,134829
AKZOINDIA,20210125,2515,2519.95,2384.1,2401.5,25437,14974
ALANKIT,20210125,17.05,17.45,16.8,16.9,40986,31472
ALBERTDAVD,20210125,435.85,435.85,420,422.65,5581,3651
ALEMBICLTD,20210125,98.3,100,95.1,95.65,501072,121123
ALICON,20210125,425,425,408,415.25,4518,2358
ALKALI,20210125,57.85,58.6,55,55.65,29489,14470
ALKEM,20210125,3056,3149,2943.85,3110.3,102024,49830
ALKYLAMINE,20210125,4849,4855.05,4750,4769.25,19619,7835
ALLCARGO,20210125,133.1,133.45,130.5,131.45,297445,173471
ALLSEC,20210125,263.8,266,255.7,256.65,9093,5339
ALMONDZ,20210125,19.4,20.55,19.4,19.85,12676,6763
ALOKINDS,20210125,21.7,21.7,20.8,20.9,10320574,4416721
ALPA,20210125,36,37.25,35.1,36.55,18643,0
ALPHAGEO,20210125,194.85,194.85,181.6,184.6,8327,0
ALPSINDUS,20210125,2.7,2.7,2.5,2.65,47549,0
AMARAJABAT,20210125,986,990.65,948.55,971.45,636369,85241
AMBER,20210125,2500,2554,2401,2514.25,89291,27078
AMBIKCO,20210125,1008,1019.85,943,954.7,22399,14612
AMBUJACEM,20210125,261.4,264.25,254.9,257,9713572,4200689
AMDIND,20210125,19.65,19.75,18.65,18.75,25643,17580
AMJLAND,20210125,29.05,29.05,26.15,26.2,13166,5958
AMRUTANJAN,20210125,517,518.05,493.15,501.15,36758,15347
ANANTRAJ,20210125,40.2,40.95,38.1,39.65,2943679,2172745
ANDHRACEMT,20210125,5.85,5.95,5.55,5.6,287054,194695
ANDHRAPAP,20210125,211.05,211.85,200.55,202.65,18159,10190
