<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20201208,35.4,37.15,35.05,36.25,331615,200171
21STCENMGM,20201208,9.9,10.05,9.75,9.9,8940,7538
3IINFOTECH,20201208,4.1,4.1,4,4.1,6965516,4690399
3MINDIA,20201208,22721,23000,22450.25,22776.95,4175,1505
3PLAND,20201208,10.75,10.75,10.75,10.75,5720,5720
5PAISA,20201208,345.25,372,335.75,354.55,27528,17765
63MOONS,20201208,76.9,84.9,76.9,83.9,184507,0
8KMILES,20201208,76.3,81,76.3,78.65,34548,0
A2ZINFRA,20201208,5.3,5.3,4.85,4.9,655341,483554
AAKASH,20201208,53.8,55.5,53.05,54.7,53528,21348
AARON,20201208,49.25,51.95,49.25,49.55,34863,18638
AARTIDRUGS,20201208,800,811,776.3,789.95,1194939,432356
AARTIIND,20201208,1266.25,1287,1241,1266.8,419293,218184
AARTISURF,20201208,980,1031.25,970.2,995.95,95009,45125
AARVEEDEN,20201208,14.5,14.75,12.65,13.65,72657,44929
AARVI,20201208,41.5,41.95,40,40.7,3416,2826
AAVAS,20201208,1688.8,1688.8,1635,1649.55,34288,18292
ABAN,20201208,29.4,30.3,28.75,29.6,87234,0
ABB,20201208,1165,1190,1148,1154.8,225515,140905
ABBOTINDIA,20201208,15300,15500,15280.1,15389.85,27356,16495
ABCAPITAL,20201208,92.75,95.3,90.55,92.85,5405059,1760343
ABFRL,20201208,164,164.4,158.1,159.65,1481770,709829
ABMINTLTD,20201208,23.5,24.85,22.55,24.8,2513,0
ABSLBANETF,20201208,302.9,310.41,296.7,301.09,40,34
ABSLNN50ET,20201208,295.7,309.9,293.5,307.89,175,139
ACC,20201208,1669,1700,1665.2,1684.5,2224442,485153
ACCELYA,20201208,914,914,890.45,892.3,6852,4068
ACE,20201208,124.4,125.4,120.1,122.95,309954,190620
ADANIENT,20201208,457.55,462.3,446.55,451.9,3872952,407525
ADANIGAS,20201208,362.65,364.35,353,355.2,2373827,1256881
ADANIGREEN,20201208,1109,1123.1,1088,1098.65,998344,584381
ADANIPORTS,20201208,472.7,474.7,457.55,463.35,9218366,2356232
ADANIPOWER,20201208,57.05,57.85,52,52.4,33820042,14310768
ADANITRANS,20201208,435.95,439.7,415.1,431.9,956906,390388
ADFFOODS,20201208,617.85,618.75,565,583.8,323732,107305
ADHUNIKIND,20201208,28.5,30.1,27,30.1,721882,292231
ADL,20201208,23.45,24.8,23.2,24.35,7138,0
ADORWELD,20201208,256.85,266,256.2,257.55,51785,30060
