<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20210105,39.8,41.95,39.55,40.95,375387,216479
21STCENMGM,20210105,10.8,10.8,10.4,10.7,16536,12551
3IINFOTECH,20210105,7.4,7.4,7.4,7.4,800501,795301
3MINDIA,20210105,21154.65,21899,21011,21594.2,3048,2001
3PLAND,20210105,11.4,11.65,10.8,11.15,15207,12688
5PAISA,20210105,301.5,307.45,299,302.65,11478,6705
63MOONS,20210105,81.65,81.7,79,79.95,43048,0
8KMILES,20210105,80,82,75.45,80.2,35820,0
A2ZINFRA,20210105,5.9,6.2,5.45,5.8,1984105,1190004
AAKASH,20210105,76.5,76.5,74,76.05,47453,19231
AARON,20210105,55.9,55.9,51.65,53.4,3134,2356
AARTIDRUGS,20210105,732,733.35,682.6,720.9,1717005,366558
AARTIIND,20210105,1279,1365.9,1260.45,1337.2,690580,175770
AARTISURF,20210105,1030,1038.15,1010.1,1020.85,20197,13027
AARVEEDEN,20210105,17.85,18.4,17.2,18.2,27204,0
AARVI,20210105,49.25,51,48.05,48.45,33957,21209
AAVAS,20210105,1872,2117.95,1872,2021.7,266074,57039
ABAN,20210105,28.6,29,28.35,28.65,53495,0
ABB,20210105,1259.5,1305,1225,1293.6,150290,45030
ABBOTINDIA,20210105,15668,15839.9,15551.9,15605.7,22730,14574
ABCAPITAL,20210105,88.2,90.8,87.6,89.65,3205184,1138207
ABFRL,20210105,164.4,167.3,163.5,166.95,1469231,675477
ABMINTLTD,20210105,24.85,24.85,24.85,24.85,60,0
ABSLBANETF,20210105,302.6,321.3,302.6,316.33,131,97
ABSLNN50ET,20210105,320,329.9,320,327.71,40,35
ACC,20210105,1639.95,1655.25,1629.25,1645.3,1229551,342348
ACCELYA,20210105,964.35,979.9,955.05,972.1,6448,3479
ACCURACY,20210105,36.25,37.95,35.1,36.9,18639,15609
ACE,20210105,141.75,149.5,140.5,146.65,1361252,405638
ADANIENT,20210105,492,501.4,489.6,494.4,3654033,443025
ADANIGAS,20210105,375.4,376.8,371,373.65,1271457,799526
ADANIGREEN,20210105,1070.2,1106.9,1065,1096.45,526896,274771
ADANIPORTS,20210105,498.9,504.5,492,499.45,5135408,673387
ADANIPOWER,20210105,49.9,50.25,49,49.8,5864260,3612508
ADANITRANS,20210105,441,443.9,436,437.95,399092,181734
ADFFOODS,20210105,644.4,654.8,630.1,641.4,50544,20956
ADHUNIKIND,20210105,26.4,26.4,25,25.7,28222,0
ADL,20210105,37.2,38.6,35,36.9,10232,0
ADORWELD,20210105,274.35,324.9,262.35,315.9,866657,178788
ADROITINFO,20210105,10.85,11.2,10.7,10.95,9193,0
ADSL,20210105,42.4,43.1,39,42.5,911467,448917
ADVANIHOTR,20210105,51,51.5,50.2,50.25,9221,0
ADVENZYMES,20210105,331,331,325,326,253451,124285
AEGISCHEM,20210105,255.5,265,252.1,256.5,743151,378099
AFFLE,20210105,3958,4045,3900,4005.9,91426,53896
AGARIND,20210105,102.15,104,102.1,102.7,9315,6911
AGCNET,20210105,758.05,794,758.05,776.9,7602,0
AGRITECH,20210105,39,40.45,37.9,39.25,7711,0
AGROPHOS,20210105,15.9,16.45,15.55,16.35,137090,96092
AHLEAST,20210105,165.55,169.75,163,166.05,3846,2748
AHLUCONT,20210105,269.9,269.9,260,263.85,29953,23960
AHLWEST,20210105,261.8,264.15,258.4,261.9,702,571
AIAENG,20210105,2050,2050.9,1985,2011.6,33328,17679
AIRAN,20210105,19.45,19.45,18.1,18.6,60948,52924
AJANTPHARM,20210105,1645,1682,1642.05,1670.95,85451,29267
AJMERA,20210105,138,144,136.85,138.85,136070,49304
AKASH,20210105,242.5,247,229.25,230.45,8518,4091
AKSHARCHEM,20210105,267.1,273.95,260.5,263.2,54903,28258
AKSHOPTFBR,20210105,7.55,7.6,7.4,7.4,380641,281854
AKZOINDIA,20210105,2475,2518.8,2460,2469.25,29036,6564
ALANKIT,20210105,19,19.9,18.6,19.2,232554,139177
ALBERTDAVD,20210105,452,452,445.65,448.65,8159,4545
ALEMBICLTD,20210105,104.9,110.8,103.45,109.45,1951561,742679
ALICON,20210105,375,376,364.95,372.8,7613,3615
ALKALI,20210105,49.15,50.65,48.6,50.05,16514,9909
ALKEM,20210105,2940,3030.9,2931,2984.05,111953,57589
ALKYLAMINE,20210105,4580,5250,4568.85,5142.85,1027131,86006
ALLCARGO,20210105,134.5,134.5,132,133.5,200640,122848
ALLSEC,20210105,291,291,285.5,285.9,15859,8877
ALMONDZ,20210105,20.85,21.5,20.1,20.7,20038,13757
ALOKINDS,20210105,22.4,23.45,22.3,22.75,13625607,5046375
ALPA,20210105,38.05,38.9,36.5,38.15,66345,0
ALPHAGEO,20210105,197.2,202.9,197.2,199.2,6710,0
ALPSINDUS,20210105,1.65,1.65,1.65,1.65,10955,0
AMARAJABAT,20210105,968,989,957.25,985.1,1858201,259884
AMBER,20210105,2390,2410,2375.55,2393.75,137810,93256
AMBIKCO,20210105,876.15,893.5,862.55,870.7,27177,19143
AMBUJACEM,20210105,252,256.65,250.45,254.2,9383253,3273588
AMDIND,20210105,21.1,22.65,21.05,22,85390,59098
AMJLAND,20210105,26.65,27.5,26.2,26.3,20457,10900
AMRUTANJAN,20210105,555,581.95,546,563.8,443922,84901
