<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20210219,37.25,37.7,36.55,36.85,127632,69215
21STCENMGM,20210219,12.35,12.35,11.95,12,7654,5721
3IINFOTECH,20210219,6.9,6.9,6.6,6.6,14764647,9607200
3MINDIA,20210219,21711,21900,21481,21707.35,3462,1801
3PLAND,20210219,9.75,9.95,9.25,9.25,14001,10761
5PAISA,20210219,259,265,255.3,257.75,25724,15164
63MOONS,20210219,80,82,78.5,79.1,71042,48120
A2ZINFRA,20210219,4.25,4.3,4.2,4.25,229350,168740
AAKASH,20210219,117.5,119,115,119,10228,0
AARON,20210219,62.3,63.9,58.1,59.6,5302,3292
AARTIDRUGS,20210219,651.9,659.95,638.65,642.6,310752,141188
AARTIIND,20210219,1234.3,1239.9,1176.8,1187.9,310371,185886
AARTISURF,20210219,908,942.5,885.9,925.75,32620,14101
AARVEEDEN,20210219,17.1,18.35,17.1,17.75,13520,11330
AARVI,20210219,48.05,50.35,45.85,47.95,19764,12321
AAVAS,20210219,2236,2303.5,2184,2275.75,38596,18623
ABAN,20210219,30.35,32.85,29.85,31.9,631340,274413
ABB,20210219,1542,1635,1510,1521.6,425564,87709
ABBOTINDIA,20210219,14950,14950,14650,14716.3,9407,3940
ABCAPITAL,20210219,103.5,104.65,96.1,98.65,7567849,1886635
ABFRL,20210219,162.95,169.8,161.9,166,2918190,1121844
ABMINTLTD,20210219,54.4,54.4,54.4,54.4,1428,1428
ABSLBANETF,20210219,360.28,362.77,353.03,355.29,1210,1002
ABSLNN50ET,20210219,351.12,365.9,340.3,356.55,641,594
ACC,20210219,1800,1801.75,1735.5,1747.35,767848,119992
ACCELYA,20210219,928.65,936.65,902,905.5,9880,2791
ACCURACY,20210219,56.1,59.25,54.2,57.25,46558,27999
ACE,20210219,157.8,165.5,151.65,159.45,819286,388287
ACRYSIL,20210219,293,301.25,278.8,301.25,116516,56695
ADANIENT,20210219,813,831,729.5,781.9,20210882,1147154
ADANIGREEN,20210219,1109.8,1128,1069.05,1117.7,1004331,548251
ADANIPORTS,20210219,664.95,676.65,628.65,653.5,17553743,2021274
ADANIPOWER,20210219,56,58.6,54.45,55.85,18821118,6650636
ADANITRANS,20210219,790,792,720,770.15,1763347,486634
ADFFOODS,20210219,794.55,810,785,794.35,32994,10732
ADHUNIKIND,20210219,21.7,21.7,21.05,21.25,7542,5642
ADL,20210219,26.5,27.35,25.6,26,2096,0
ADORWELD,20210219,317.05,324.5,311.8,319.7,261533,229123
ADROITINFO,20210219,7.8,7.8,7.65,7.7,2512,2512
ADSL,20210219,37.75,38.75,37.5,37.7,73970,54441
ADVANIHOTR,20210219,54,54,51.2,52.6,6468,2998
ADVENZYMES,20210219,394.9,417,386.05,394.55,1147749,322244
