<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
KOTAKGOLD,20201126,430,430,427.05,429,36057,29786
KOTAKNIFTY,20201126,135.2,136.49,133.6,135.29,39913,20841
KOTAKNV20,20201126,68,68,65.05,66.01,3220,1769
KOTAKPSUBK,20201126,149,152,145,150.1,12716,5584
KOTARISUG,20201126,15,16.35,14.9,15.9,231160,170986
KOTHARIPET,20201126,15.55,15.55,14.9,15.15,47420,37853
KOTHARIPRO,20201126,64.3,64.3,60.65,61.8,2710,1883
KPITTECH,20201126,102,102.95,99.4,101.7,371155,154161
KPRMILL,20201126,786,800,780.55,797.5,15726,9426
KRBL,20201126,255.45,268.5,254.1,260.95,1300982,381451
KREBSBIO,20201126,86.3,88.15,85,86.4,2366,2026
KRIDHANINF,20201126,2.65,2.65,2.5,2.6,66466,57404
KRISHANA,20201126,80.95,80.95,73.5,73.7,6068,0
KSB,20201126,564.65,574,557.1,567.7,21340,9908
KSCL,20201126,504.25,505.15,494,498.35,189890,99006
KSK,20201126,0.4,0.4,0.35,0.4,922389,577767
KSL,20201126,233.2,239.8,230.25,238.4,97231,37656
KTKBANK,20201126,47.55,47.55,45.95,47,1294283,464094
KUANTUM,20201126,41.75,43,41.2,42.9,8789,7625
KWALITY,20201126,2.7,2.7,2.7,2.7,143261,109711
L&TFH,20201126,74.7,78.8,73.9,78.3,34322810,10763696
LALPATHLAB,20201126,2238,2269,2205.05,2228.7,61594,24636
LAMBODHARA,20201126,28.7,29.7,28.25,29.05,9478,5480
LAOPALA,20201126,233.4,235.75,226.4,229.8,196299,65943
LASA,20201126,86.9,86.9,82.05,84.5,254465,113489
LAURUSLABS,20201126,295,298.8,289.3,292.35,4631170,2222316
LAXMIMACH,20201126,4275,4397.9,4253.35,4290.7,1890,677
LEMONTREE,20201126,32.65,33.35,31.9,32.4,2311813,1268604
LFIC,20201126,59.2,61.8,58.15,58.15,3590,3021
LGBBROSLTD,20201126,272,274.9,264.5,268.25,42096,21797
LGBFORGE,20201126,2.6,2.65,2.55,2.6,163152,163137
LIBAS,20201126,29.1,29.35,29.05,29.15,5780,5423
LIBERTSHOE,20201126,146.05,152,144.95,150.85,403057,156198
LICHSGFIN,20201126,325.25,327.45,321.3,325.4,5035059,1838906
LICNETFGSC,20201126,21.82,21.85,21.67,21.83,3180,2212
LICNETFN50,20201126,135.5,135.5,131.05,131.57,441,206
LICNETFSEN,20201126,435.6,464,435.6,455.81,30,13
LICNFNHGP,20201126,129.07,132.94,129.05,130.43,85,72
LIKHITHA,20201126,154.4,154.6,152.35,153.8,113829,35643
LINCOLN,20201126,238.95,241.95,235.95,240.75,77830,42912
LINCPEN,20201126,169.95,191.75,160.1,188.55,193430,41882
LINDEINDIA,20201126,879.95,884.7,862.25,877.6,56276,32082
LIQUIDBEES,20201126,1000.93,1000.93,999.99,1000,849552,620433
LIQUIDETF,20201126,1000.04,1000.04,999.99,999.99,10065,7213
LOKESHMACH,20201126,23.75,24.25,23.1,24.1,23264,17431
LOTUSEYE,20201126,32,33.4,32,32.9,8400,7673
LOVABLE,20201126,63.8,75.3,62.2,75.3,1243282,256436
LPDC,20201126,1.25,1.3,1.25,1.3,1154,1152
LSIL,20201126,0.7,0.75,0.65,0.7,312377,271884
LT,20201126,1130,1134.95,1101.55,1118.85,7360928,3010531
LTI,20201126,3134.4,3179.95,3032.8,3088.9,409436,148450
LTTS,20201126,1697,1742,1683.2,1706.85,149694,44808
LUMAXIND,20201126,1306.4,1348,1301.1,1305.9,4928,2588
LUMAXTECH,20201126,100,103.95,100,102.45,39048,18149
LUPIN,20201126,897,906.95,893.3,899.55,2330965,420541
LUXIND,20201126,1556,1628,1544,1586.6,46301,10283
LYKALABS,20201126,20.7,20.8,19.6,20.35,37000,28349
LYPSAGEMS,20201126,3.1,3.1,2.95,3.05,17996,17486
M&M,20201126,722,736.8,720,728.5,6798860,1667476
M&MFIN,20201126,162,168.25,158.8,167.3,13814825,2382415
M100,20201126,20.08,20.15,19.81,19.93,26638,15921
M50,20201126,128,128.95,124.62,127.88,983,724
MAANALU,20201126,81.9,84.6,78.35,83.65,35319,18702
MACPOWER,20201126,60.8,61.75,59.15,61,3578,3342
MADHAV,20201126,27.1,28.45,27.1,28.4,2051,1813
MADHUCON,20201126,3.15,3.2,2.95,3.15,24755,21659
MADRASFERT,20201126,16.85,18.3,16.75,17.3,204879,67557
MAESGETF,20201126,22.16,22.34,22.11,22.34,2385,2164
MAGADSUGAR,20201126,105.95,118.9,102.5,112.85,221377,116610
MAGMA,20201126,46.35,47.2,44.8,46.25,281421,138035
MAGNUM,20201126,4.8,4.9,4.65,4.85,2994,1993
MAHABANK,20201126,11.9,11.95,11.75,11.8,1302712,688806
MAHAPEXLTD,20201126,80.1,80.1,80.1,80.1,2526,0
MAHASTEEL,20201126,95,99.5,95,98.75,11036,4484
MAHEPC,20201126,145.25,147.35,144.45,146.5,61653,25226
MAHESHWARI,20201126,82.25,84.25,82.25,83.9,8864,0
MAHINDCIE,20201126,156,160,155.1,158.1,44305,22405
MAHLIFE,20201126,274.8,288,271.4,281.45,85423,46695
MAHLOG,20201126,398,399,375.15,380.15,133116,65528
MAHSCOOTER,20201126,3717.8,3792.35,3645.45,3772.8,7311,3248
MAHSEAMLES,20201126,256.8,259.5,252.9,255.45,71741,35644
