<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20210101,40.75,40.8,39.8,40.05,126229,87881
21STCENMGM,20210101,10.65,10.65,10.45,10.65,978,976
3IINFOTECH,20210101,6.75,6.75,6.75,6.75,666689,666689
3MINDIA,20210101,20830.7,21243.95,20830.7,21127.6,1663,871
3PLAND,20210101,11.35,11.65,10.8,11.2,18637,15734
5PAISA,20210101,307.9,307.9,295,302.15,10239,5922
63MOONS,20210101,81.8,83,80.05,82.1,32625,0
8KMILES,20210101,80,80.9,78.6,80.45,22243,0
A2ZINFRA,20210101,4.75,5.3,4.75,5.3,1764688,1107511
AAKASH,20210101,74.25,76.5,74.25,75.3,45460,17189
AARON,20210101,52.9,52.9,50.4,51.85,10752,8157
AARTIDRUGS,20210101,710,747.5,708.5,735,1450044,366777
AARTIIND,20210101,1244,1275,1242.1,1260.5,406198,125007
AARTISURF,20210101,1030,1060.2,1009,1025.6,17725,8032
AARVEEDEN,20210101,18.2,18.85,17.45,18,15006,0
AARVI,20210101,50.5,51.9,46.25,50.3,106231,55013
AAVAS,20210101,1703,1736.45,1685.15,1720.65,18196,6762
ABAN,20210101,28.9,29.35,28.5,28.9,37768,0
ABB,20210101,1212,1238.5,1212,1232.7,95451,53210
ABBOTINDIA,20210101,15800,15856.3,15698,15746,22888,18123
ABCAPITAL,20210101,85,89.8,84.8,89.1,4001702,1271306
ABFRL,20210101,166.65,168.8,165.9,166.5,1109915,347671
ABMINTLTD,20210101,23.75,24.9,23.75,24.9,492,0
ABSLBANETF,20210101,305.7,319.62,305.7,312.28,119,91
ABSLNN50ET,20210101,318.6,318.6,308.16,313.81,34,23
ACC,20210101,1617.2,1632,1615.65,1626.1,647892,96651
ACCELYA,20210101,963.65,968,947.9,958.85,4158,2206
ACCURACY,20210101,36.05,37.75,35.85,36.8,5092,2914
ACE,20210101,136.85,144.9,136.2,142.75,907253,376679
ADANIENT,20210101,477,493.25,477,491.15,5035248,601796
ADANIGAS,20210101,377.4,379.8,374.1,376.8,785857,392408
ADANIGREEN,20210101,1079.9,1079.9,1053.05,1065.95,297560,141749
ADANIPORTS,20210101,485,508,482.55,503.85,7815730,834159
ADANIPOWER,20210101,49.8,50.5,49.8,50.15,4126797,2282751
ADANITRANS,20210101,438.9,440.95,431,434.25,244567,92608
