<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20201216,36,37.5,35.3,36.8,144941,106668
21STCENMGM,20201216,10.7,10.75,10.35,10.6,6077,5202
3IINFOTECH,20201216,5.35,5.35,5.35,5.35,1183395,1183395
3MINDIA,20201216,23098.1,23100,22700,22849.1,8180,6900
3PLAND,20201216,11.75,11.75,11.75,11.75,5397,5397
5PAISA,20201216,328.95,328.95,315,317.15,20126,17743
63MOONS,20201216,82.1,82.9,81,81.9,50352,0
8KMILES,20201216,75.05,76,73.05,74.9,28495,0
A2ZINFRA,20201216,4.75,4.95,4.45,4.9,730918,485563
AAKASH,20201216,59,65.2,58,60.4,33680,12946
AARON,20201216,50.35,52.85,49,50.7,23191,20239
AARTIDRUGS,20201216,779.8,782.8,766,767.6,342836,182881
AARTIIND,20201216,1225.85,1226,1207.15,1216.7,633485,576357
AARTISURF,20201216,1129.8,1174.6,1081.2,1124.55,93999,39670
AARVEEDEN,20201216,21.75,21.75,20,21.75,251735,155581
AARVI,20201216,45.15,47.9,43.15,45.7,7282,4729
AAVAS,20201216,1665.2,1686.5,1651.4,1657,41470,24725
ABAN,20201216,30.7,31.15,30,30.25,63871,0
ABB,20201216,1159.3,1206.75,1157.65,1194.9,323251,151700
ABBOTINDIA,20201216,16451,16599,16202,16276.6,19505,10365
ABCAPITAL,20201216,91.5,92.3,90.95,91.25,1607510,544469
ABFRL,20201216,161.3,167.3,160.05,163.6,4495845,1364986
ABMINTLTD,20201216,25.95,26.25,25,25,1058,0
ABSLBANETF,20201216,304.09,307.62,294.8,306.34,460,244
ABSLNN50ET,20201216,310,310,300.5,310,20,16
ACC,20201216,1644.95,1649.8,1624.25,1633.1,821837,167538
ACCELYA,20201216,1032,1047,1020,1020.95,11617,6612
ACCURACY,20201216,36.1,36.1,36.1,36.1,400,400
ACE,20201216,133,133.25,130,131.55,392387,196155
ADANIENT,20201216,462.5,467.55,457.55,463.25,4088505,326366
ADANIGAS,20201216,356.5,361.25,355.15,358.85,1303648,724076
