<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20210225,36.8,37.8,36.65,37.05,157743,85306
21STCENMGM,20210225,11.9,11.9,11.6,11.9,2666,2627
3IINFOTECH,20210225,6.1,6.3,6,6.15,31811335,15991141
3MINDIA,20210225,21602,22500,21516.55,22361.05,8776,4468
3PLAND,20210225,9.05,9.85,9,9.25,17192,5543
5PAISA,20210225,259,265,250.3,262.8,51068,20839
63MOONS,20210225,80.95,81.4,80,80.55,37982,28478
A2ZINFRA,20210225,4.2,4.3,4.2,4.25,198587,171666
AAKASH,20210225,125.5,125.5,123.1,124.85,7738,0
AARON,20210225,61.25,62.45,60,61.2,1824,1219
AARTIDRUGS,20210225,640,643.35,634.55,635.55,202903,106570
AARTIIND,20210225,1238,1243,1220.45,1235.65,197379,96851
AARTISURF,20210225,918.35,929,913.6,923.2,9188,6406
AARVEEDEN,20210225,18.4,18.4,17.4,17.75,6293,4290
AARVI,20210225,52.7,54.5,52.1,53.6,27047,22590
AAVAS,20210225,2201.7,2290,2201.7,2253.7,137948,86153
ABAN,20210225,42.45,42.45,42.45,42.45,53423,53423
ABB,20210225,1584.8,1590.8,1511.35,1537.9,184689,49626
ABBOTINDIA,20210225,14591.6,14688.45,14270.05,14352.55,24900,11993
ABCAPITAL,20210225,125.25,127.35,118.35,120.8,13709277,3544072
ABFRL,20210225,182.3,185,176.35,182.35,5618914,2429973
ABMINTLTD,20210225,66,66,66,66,580,580
ABSLBANETF,20210225,365,369.57,362,365.62,897,413
ABSLNN50ET,20210225,350,365,348,358.42,107,72
ACC,20210225,1742,1810,1730.1,1801.25,1114144,321160
ACCELYA,20210225,900.2,909.4,892,898.6,5012,2690
ACCURACY,20210225,68.45,68.6,64.3,66.15,55497,34658
ACE,20210225,155.4,157.5,155,155.6,150823,83136
ACRYSIL,20210225,294.8,302.05,289.5,302.05,71371,52484
ADANIENT,20210225,814,862.4,809,843.5,12118095,1189916
ADANIGREEN,20210225,1174.6,1192,1117.45,1128.55,678592,439065
ADANIPORTS,20210225,669.4,711.35,667.15,704.3,18596690,2949431
ADANIPOWER,20210225,55.8,57.25,55.5,56.5,9600214,3822013
ADANITRANS,20210225,749.9,758,735.5,739.6,505499,228827
ADFFOODS,20210225,842,869.65,842,853.85,35076,15090
ADHUNIKIND,20210225,21.9,21.9,21,21.55,18794,12639
ADL,20210225,27.4,28.85,26.5,28.85,9527,0
ADORWELD,20210225,320.9,332.4,316.1,318.7,62543,40501
ADROITINFO,20210225,7.9,8.25,7.6,7.95,15841,13566
ADSL,20210225,41.4,42.45,39.7,40,165001,112708
ADVANIHOTR,20210225,50.65,52.7,50.65,52.05,10926,9538
ADVENZYMES,20210225,373.95,377,359,360.3,238524,113879
AEGISCHEM,20210225,282.1,306.25,282.1,303.75,531292,199861
AFFLE,20210225,5390,5390,5159.45,5196.2,90652,62313
AGARIND,20210225,157,157,150.5,153.2,6684,0
AGCNET,20210225,1029,1051,974.05,1000.25,19055,14977
AGRITECH,20210225,35.85,35.85,33.8,35.4,7726,6151
AGROPHOS,20210225,13.3,13.3,12.85,13.25,33915,25114
AHLADA,20210225,74.5,76,74.5,75.35,8597,7998
AHLEAST,20210225,168,168,156,158.7,7043,5429
AHLUCONT,20210225,287.15,293.25,285.1,291.5,17367,10081
AHLWEST,20210225,241.65,245.95,241.65,243.15,997,690
AIAENG,20210225,1817,1835.1,1786.45,1818.75,116972,74269
AIRAN,20210225,18.4,18.5,17.95,18.45,19258,14494
AJANTPHARM,20210225,1759.45,1760,1734.25,1750.05,195857,136997
AJMERA,20210225,130.4,133.4,129.4,130.45,124269,43197
AKASH,20210225,238.15,238.15,231.05,235,2344,595
AKG,20210225,94,94.95,86.05,88.5,2222,1561
AKSHARCHEM,20210225,250.05,251,242,245.9,44247,33085
AKSHOPTFBR,20210225,6.8,7.1,6.75,6.95,369618,303725
AKZOINDIA,20210225,2185,2190,2134.85,2154.65,55636,41608
ALANKIT,20210225,16.05,16.6,16.05,16.2,65942,48062
ALBERTDAVD,20210225,406.8,406.8,396.05,401.5,17456,11015
ALEMBICLTD,20210225,104,104.7,102.15,102.65,320357,179540
ALICON,20210225,427.55,430.9,410.45,421.55,11245,5132
ALKALI,20210225,53.25,54,52.7,53.05,14563,8375
ALKEM,20210225,2782.3,2788.5,2720.05,2733.5,135048,77436
ALKYLAMINE,20210225,5052.3,5142.1,5013,5132.05,26266,7384
ALLCARGO,20210225,131.5,131.8,130.5,130.9,133917,85553
