<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20210218,36.7,37.3,36.55,36.65,53701,32308
21STCENMGM,20210218,12.55,12.55,12.15,12.15,721,688
3IINFOTECH,20210218,6.95,7,6.8,6.9,4378190,2674047
3MINDIA,20210218,21850,21999.45,21600,21802.7,4537,2353
3PLAND,20210218,9.8,9.8,9.1,9.7,6364,4133
5PAISA,20210218,255.15,259,255.05,256.45,12902,7852
63MOONS,20210218,78.25,84.95,78.1,80.4,109285,67295
A2ZINFRA,20210218,4.2,4.35,4.15,4.2,230880,147769
AAKASH,20210218,113,117.5,113,117,11869,0
AARON,20210218,58.25,62.8,57.1,61.05,8785,5936
AARTIDRUGS,20210218,656.7,661.7,648,650.8,239451,105037
AARTIIND,20210218,1242.75,1242.75,1219.2,1229.2,255090,169136
AARTISURF,20210218,911,920.95,888.05,897.65,10062,7047
AARVEEDEN,20210218,18.8,18.8,17.6,18.3,16892,14587
AARVI,20210218,44.3,49.7,44.1,48.45,45981,38739
AAVAS,20210218,2260,2316.6,2205.25,2236.85,34891,16422
ABAN,20210218,29.7,31.65,29.7,29.9,451935,220625
ABB,20210218,1509.8,1570,1502,1532.85,310358,104374
ABBOTINDIA,20210218,14649,14949,14555.8,14918.8,14887,9481
ABCAPITAL,20210218,105.5,107.6,102.4,104.1,10635411,3314654
ABFRL,20210218,163,166.5,161.2,163.7,1523486,599453
ABMINTLTD,20210218,51.85,51.85,51.85,51.85,1079,1079
ABSLBANETF,20210218,365.95,367.18,360.9,362,44,21
ABSLNN50ET,20210218,350,350,340.2,340.9,228,224
ACC,20210218,1833.1,1838.1,1775.15,1787.9,634760,89490
ACCELYA,20210218,895,930,895,924.1,10257,3915
ACCURACY,20210218,60,61.5,56.2,56.45,71762,63372
ACE,20210218,159,161,156.3,157.85,208926,120542
ACRYSIL,20210218,284.8,291.65,263.95,286.95,221215,125002
ADANIENT,20210218,787.25,824.5,786,808.2,9694238,627733
ADANIGREEN,20210218,1100,1129.4,1085.5,1109.5,5456103,3194156
ADANIPORTS,20210218,660.8,670,649.05,664.05,13189027,1913820
ADANIPOWER,20210218,54.35,56.8,54.35,55.7,12151778,4716665
ADANITRANS,20210218,768,798.9,720,786.2,2664007,795196
ADFFOODS,20210218,799.95,815,785,794.55,43718,15025
ADHUNIKIND,20210218,21.4,21.4,21.05,21.25,11553,7250
ADL,20210218,24.8,26.7,24.8,26.5,4787,0
ADORWELD,20210218,311,324.8,310.95,317.05,128352,86952
ADROITINFO,20210218,7.85,8.2,7.6,7.8,8879,5459
ADSL,20210218,39,39.3,37.8,38.25,100692,62416
ADVANIHOTR,20210218,52.15,55.6,50.65,54,36570,23363
ADVENZYMES,20210218,370.5,398.9,367.5,392.2,789565,319609
AEGISCHEM,20210218,296.3,298.15,289,289.9,162939,110435
AFFLE,20210218,5448,5454,5275,5364.35,73124,48848
AGARIND,20210218,167,169,167,167.3,21900,0
AGCNET,20210218,935,973.95,935,951.4,12252,9404
AGRITECH,20210218,33.15,36,33.15,34,12719,8721
AGROPHOS,20210218,13.35,13.6,12.8,13.35,86471,58183
AHLADA,20210218,74.5,74.5,73.5,74.3,22286,21467
AHLEAST,20210218,158.65,169.9,158.3,165.35,1483,857
AHLUCONT,20210218,283,283,280,281.4,108059,90260
AHLWEST,20210218,245,253,244,244.75,2607,674
AIAENG,20210218,1915,1971.7,1905.25,1931.35,43115,21285
AIRAN,20210218,18.8,18.8,18,18.6,117784,81971
AJANTPHARM,20210218,1794,1796.95,1764,1778.15,142484,83673
AJMERA,20210218,131,132.15,130,130.15,44726,24134
AKASH,20210218,226.25,235,216.25,225.95,121481,102134
AKG,20210218,97.3,97.3,92.45,92.45,575,575
AKSHARCHEM,20210218,257.5,258.9,247.8,256.9,43549,18630
AKSHOPTFBR,20210218,7.45,7.45,6.9,7.05,564472,386164
AKZOINDIA,20210218,2175.05,2184.95,2138.25,2142.3,23386,18106
